id|country|searchterm|job_title|company|job_location|time|applicants|workplace|working_time|job_level|company_size|industry|job_details|job_url|timestamp
1|Austria|Fullstack Developer|Lead Fullstack Developer (w/m/d)|Austrian Federal Computing Centre|Vienna, Austria|3 weeks ago| |Hybrid|Full-time|Associate|1,001-5,000 employees|IT Services and IT Consulting|"
          Das Bundesrechenzentrum (BRZ) ist der marktführende IT Service Provider im Public Sector und damit Teil der kritischen Infrastruktur, die Österreich auch in Zeiten wie diesen stets verlässlich am Laufen hält. Unsere Anwendungen und Services erleichtern Behördenwege und einen schnellen Zugang zu hoch relevanten Infos für die Bevölkerung als auch für die Wirtschaft unseres Landes. Sicherheit und Gesundheit stehen für uns an erster Stelle. Daher führen wir derzeit unsere Recruiting-Interviews, aus sicherer Entfernung und mit offenem Ohr, primär in Teleworking. In der Finalrunde freuen wir uns dann wie gewohnt auf ein persönliches Kennenlernen mit unseren Kandidatinnen und Kandidaten. BRZ - mit starker IT durch diese herausfordernden Zeiten.Wir vergeben Topjobs mit Sinn, denn unsere Services erleichtern über 8 Millionen Bürgerinnen und Bürgern das Leben!
Lead Fullstack Developer (w/m/d)Ref. 1221
Sie suchen einen spannenden Job, in dem Sie auch wirklich etwas bewirken können? Dann bewerben Sie sich!In der Abteilung Development werden Sie Teil eines qualifizierten Entwickler:innen-Teams, welches die österreichische Verwaltung nachhaltig verbessert und digitalisiert. Sie entwickeln Applikationen im Umfeld des Bundes aktiv weiter, um damit das Leben von Millionen Menschen positiv zu beeinflussen und zu erleichtern.
Ihre AufgabenKonzeption und Weiterentwicklung der Systeme für strategische Komponenten, welche in einer javabasierten Servicelandschaft eingebettet sindÜbernahme komplexer Programmierungen bei diffizilen ProblemstellungenMitgestaltung von Architekturvorgaben sowie die Überwachung der korrekten UmsetzungAnsprechpartner:in für komplexe und technische Themenstellungen innerhalb des TeamsAnleitung und Unterstützung von Projektteams, Berufseinsteiger:innenSupport der Project- und Productmanager:innen bei der Klärung von fachlichen und technischen KundenanforderungenMitwirkung im gesamten Entwicklungsprozess der zu betreuenden Produkte und ProjekteThird Level Support für bestehende Lösungen sowie laufendes Testen
Sie bringen mitMindestens 7 Jahre Berufserfahrung in der Software EntwicklungErfahrung als technischer Lead sowie in der Festlegung von Architekturvorgaben sind von VorteilIdealerweise Vertrautheit mit Continuous Integration, Continuous DeploymentHohes Verantwortungs- und Qualitätsbewusstsein
 Erfahrung mit den im Einsatz beﬁndlichen Frameworks und Tools:Backend-Entwicklung mit Java 8 und höherWeb UI Entwicklung mit Angular 9 und höherJava Frameworks (Spring, Spring Boot, Hibernate)Datenbanken (PostgreSQL)Frontend Technologien (HTML, CSS, Angular)Javascript, TypescriptLinux und Apache TomcatTools: IntelliJ IDEA, Git, Maven, Jenkins, SonarQubeAtlassian Tool Suite (JIRA, Conﬂuence)
Je nach Ausbildungsgrad und facheinschlägiger Berufserfahrung gilt laut BRZ-Kollektivvertrag ein Jahresbruttogehalt ab EUR 68.460,56. Diese Gehaltsangabe bezieht sich auf eine Vollzeitanstellung im Ausmaß von 38,5 Wochenstunden inkl. einer monatlichen Überstundenpauschale von 10 Stunden. Darüber hinaus geleistete Mehrleistung wird ausgeglichen. Bei mehrjähriger Berufserfahrung ist abhängig von den fachspezifischen Qualifikationen eine Überzahlung möglich. In dieser Position können Sie ab sofort in Vollzeit starten.Wir sind bestrebt den Anteil von Frauen in allen Geschäftsbereichen zu erhöhen und leben Chancengleichheit.
    "|https://www.linkedin.com/jobs/view/3155180819|2022-07-25 16:41:32.195158
2|Austria|Fullstack Developer|(Senior) Fullstack Developer|Tietoevry|Linz, Upper Austria, Austria|3 days ago|1 applicant|On-site|Full-time|Associate|10,001+ employees|Technology and Information|"
          You may apply to Tietoevry by selecting Apply and fill your application details to the form. You may also Apply by using LinkedIn and populate details to your application from your LinkedIn profile.

About Us In Austria

With about 280 Tietoevry experts and offices in Vienna, Linz and Graz, Tietoevry Austria is committed to develop enterprises and society through IT by realizing new opportunities in customer’s business transformation. We believe in professional development and results by supporting our customers on their journey into a meaningful digital world.

Our development and consulting portfolio ranges from Cloud and Data Driven Solutions to Design & Experience to SAP services and Digital Advisory.

Due to our positive business development, we want to keep growing in Austria and are therefore looking for colleagues who share our attitude: cherishing an autonomous style of work, understanding learning as a lifestyle and seeking to make real, sustainable differences through digitalization for our customers in business and society.

With us you will be responsible for
supporting our local and international project teams with great IT solutions supporting our existing team as a Developer and Architect to implement technical solutions suiting for our customers' needschallenging and future oriented projects which range from basic conceptions to realizations at the clients' site globally and locally 

We expect you to have
excellent technical skills and a consulting attitude 3+ years of full stack development experience several years’ experience in application development in the backend (preferably in C#) and frontend (TypeScript, JavaScript, CSS, Frontend Frameworks e.g. Angular, Vue, React and related technologies) for web development projectsa graduation from a technical college (HTL with IT-specialization)a passion for future developments in this area and the desire to learn more about great and innovative IT solutions 

As a person you are
proactive and act with open mind by challenging the status quo and drive actions for changepassionately driving execution to add customer value and take ownership of your results and delivered qualityhaving fun at work, passionate about customer's success and personal growth

We offer
an exciting career path with a wide variety of personal and professional development opportunitiesa large customer network and an industrialized consulting solution portfolioactive participation in the development of our company together with talented colleagues and inspiring international environmentexcellent teamwork which is part of our values and the possibility to share your competences with your colleaguesbenefits like flexible working hours, home office, laptop and smartphone also for private use, health programs, team events, excellent public transport connection, food vouchers, fresh fruits, the perfect environment to prosper professionally etc.a salary above the defined IT collective agreement of minimum EUR 3.190,00 per month. The amount of overpayment depends on your skills as well as your experience

Further information

If you are interested to work for a highly customer focused company together with an ambitious team you are warmly welcome to send in your application.

Kristina Hristova, HR Manager, Tietoevry Austria
    "|https://www.linkedin.com/jobs/view/3182101039|2022-07-25 16:41:41.303102
3|Austria|Fullstack Developer|Fullstack Developer|TheVentury|Vienna, Austria|1 week ago|27 applicants|Hybrid|Full-time|Associate|11-50 employees|Business Consulting and Services|"
          Looking for a new job? We are expanding our team and are looking for a Fullstack Developer to join us as soon as possible. 
At TheVentury, we are passionate about innovation, technology and the positive change these can create. We bring brilliant minds together to provide lean & hands-on services in innovation management, data & software engineering and growth marketing to startups and corporates along the whole journey from idea generation to global impact. Do you want to work with major European brands, as well as incredibly cool startups from around the world? Would you like to support the development of a team working on the bleeding edge of technology?
Then join our wonderful team of developers, growth marketers, innovators, nerds and crazies!
What you will be doing:
You will be part of an E.P.I.C. team working on different and exciting projects. We believe that you are capable to decide when and when which tasks should be completed.To understand the scope, here are some insights:
interacting with client's users and owning feature development along the entire stacklearning/educating through Merge Reviews/Pair Programming/Agile Ceremonies and market experimentsplanning the workload together with the team (in case of being a lead developer on a project)supporting people to grow
What makes you the right fit:
For us, being a Fullstack Developer means that you can cover the whole stack of Frontend, Backend, Database and DevOps. Essentially we are looking for a someone who can take 1 feature and deliver the whole functionality.
Software Stack we work on:Frontend: React, FlutterBackend: PHP, NodeJSDatabase: mostly mySQL/Maria, but also PostgreSQLDevOps: GitLab CI/CD, Kubernetes (AWS+GC)
Of course we don't expect you to know everything from that list. For the start we would like to find somebody who has solid experience in PHP, ideally with Laravel, and wants to develop in the other areas of the stack. Any other things on the stack you can already do are a big plus.
Some other parameters we are looking for:at least 3 years of experience working on multiple projectsa strong self-learning hacker mind-set OR solid technical educationexperience in working with agile frameworks such as Scrumeagerness to share your knowledge and become a mentor for others
What we want you to learn:
Education is dear to us! Sharing knowledge and expanding skills is part of getting ready for missions (i.e. projects).We know that barely anyone can juggle the entire stack - it is broad after all!Let us know during the interview what parts of the stack you are an expert in and what parts you would like to know more about. We see it as our mission to then empower you in learning the rest.
What you will find at TheVentury:
A team with diverse backgrounds and colourful narrativesAn acceptive, flexible and open working environmentSpace to learn and experimentDedicated Education Time to foster personal growth and expand professional skillsFlexible working hoursPosibility to work from homeA pet friendly officeYearly ticket for Vienna's public transportation
At TheVentury you will be working with a dynamic and diverse team of Marketers, Data & Software Engineers and Innovation Managers. You will be welcomed to bring your ideas to the table and encouraged to voice your opinion.
If you have a “yes – can do” attitude, then you should definitely apply.
Salary: According to the collective agreement, the minimum gross salary can be €50,000 per year. The actual salary may be higher depending on experience and qualification.
    "|https://www.linkedin.com/jobs/view/3166304973|2022-07-25 16:42:06.425492
4|Austria|Fullstack Developer|Freelancer:in|"The Connectory | Digital Solutions"|DACH|1 week ago|33 applicants|Remote|Full-time|Associate|1-10 employees|IT Services and IT Consulting|"
          Lieber Freelancer,wir laden wir Dich zu unserem Bosch-internen freelancernetwork freelancer.technology ein. Die Mission von freelancernetwork ist es, die besten Freelancer mit großartigen Entwicklungsprojekten innerhalb der gesamten Bosch-Gruppe und ihrer Partner zu verbinden.Durch Deine Anmeldung auf dem Portal bekommst Du Zugang zu einer Vielzahl von Projekten bei Bosch und hast die Möglichkeit, dich direkt auf Projekte zu bewerben und mit den Bosch-Projektverantwortlichen in Verbindung zu treten.
Aktuell sind unter anderem folgende Projekte ausgeschrieben:
Fullstack Developer / Node.js / Javascript / TypescriptCloud Backend DeveloperUI/UX-DesignerProduct OwnerEmbedded DeveloperAngular Developer
Und viele andere spannende Themen aus der Bosch Welt.
Außerdem können Bosch-Mitarbeiter dein Profil sehen und dir je nach Bedarf anbieten, an ihren Projekten teilzunehmen. Bei allen Projekten ist Dein Vertragspartner jeweils das Connectory Digital Solutions Team von ITK – so hast Du immer die gleichen Ansprechpartner und Abläufe.
Wir freuen uns auf deine Registrierung!
    "|https://www.linkedin.com/jobs/view/3163324036|2022-07-25 16:42:15.288874
5|Austria|Fullstack Developer|Fullstack Developer (English)|Hays|Vienna, Austria|2 weeks ago|76 applicants|Remote|Full-time|Associate|5,001-10,000 employees|Staffing and Recruiting|"
          My tasksDevelop and improve own software solution based on modern UI frontend development and established UX design patternsContribute to the optimisation of architecture solutions with a focus on performance and reliabilityCollaborate on continuous improvements to development processes and guidelinesProactive team player with the ability to lead, motivate and inspire othersPartly technical advisory function
My QualificationsExcellent skills in either PHP / Laravel or JavaScript / React.jsIf you have experience with other technologies doesn´t matter - just be open to work with PHPStrong experience with integrating internal and third-party API end-points and servicesExperience with modern CSS approaches and frameworks such as Tailwind or Bootstrap is an advantageIdeally fintech or payment service backgroundStrong team playerHighly solution oriented and motivatedVery good English skills / German is an advantage
My AdvantagesHigh remote possibilitiesPossibility to work remotely also from another EU countryBe open to come to Vienna 1x/quarter for events and MeetUpsTraining budget for each employeeHigh Teambudgets for events and social activities
Salary informationThe minimum salary for this position according to collective agreement is EUR 55.000 gross per year. Of course, we are willing to pay a higher salary depending on your qualification and experience.
About HaysIT specialists have good cards to play - because Hays is looking for dedicated experts for companies from the business and public sectors who like to think outside the box and grow with their challenges. We ensure that you benefit from our many years of experience in IT recruitment and find suitable assignments with us - completely free of charge for you. Register and look forward to interesting and suitable projects and positions.
My contact at HaysIrma HasslingerReference number: 604362/1E-mail: irma.hasslinger@hays.at
    "|https://www.linkedin.com/jobs/view/3159721948|2022-07-25 16:42:38.262108
6|Austria|Fullstack Developer|(Senior) Fullstack Developer|Tietoevry|Graz, Styria, Austria|2 weeks ago|7 applicants|On-site|Full-time|Associate|10,001+ employees|Technology and Information|"
          You may apply to Tietoevry by selecting Apply and fill your application details to the form. You may also Apply by using LinkedIn and populate details to your application from your LinkedIn profile.

About Us In Austria

With about 280 Tietoevry experts and offices in Vienna, Linz and Graz, Tietoevry Austria is committed to develop enterprises and society through IT by realizing new opportunities in customer’s business transformation. We believe in professional development and results by supporting our customers on their journey into a meaningful digital world.

Our development and consulting portfolio ranges from Cloud and Data Driven Solutions to Design & Experience to SAP services and Digital Advisory.

Due to our positive business development, we want to keep growing in Austria and are therefore looking for colleagues who share our attitude: cherishing an autonomous style of work, understanding learning as a lifestyle and seeking to make real, sustainable differences through digitalization for our customers in business and society.

With us you will be responsible for
supporting our local and international project teams with great IT solutions supporting our existing team as a Developer and Architect to implement technical solutions suiting for our customers' needschallenging and future oriented projects which range from basic conceptions to realizations at the clients' site globally and locally 

We expect you to have
excellent technical skills and a consulting attitude 3+ years of full stack development experience several years’ experience in application development in the backend (preferably in C#) and frontend (TypeScript, JavaScript, CSS, Frontend Frameworks e.g. Angular, Vue, React and related technologies) for web development projectsa graduation from a technical college (HTL with IT-specialization)a passion for future developments in this area and the desire to learn more about great and innovative IT solutions 

As a person you are
proactive and act with open mind by challenging the status quo and drive actions for changepassionately driving execution to add customer value and take ownership of your results and delivered qualityhaving fun at work, passionate about customer's success and personal growth

We offer
an exciting career path with a wide variety of personal and professional development opportunitiesa large customer network and an industrialized consulting solution portfolioactive participation in the development of our company together with talented colleagues and inspiring international environmentexcellent teamwork which is part of our values and the possibility to share your competences with your colleaguesbenefits like flexible working hours, home office, laptop and smartphone also for private use, health programs, team events, excellent public transport connection, food vouchers, fresh fruits, the perfect environment to prosper professionally etc.a salary above the defined IT collective agreement of minimum EUR 3.190,00 per month. The amount of overpayment depends on your skills as well as your experience

Further information

If you are interested to work for a highly customer focused company together with an ambitious team you are warmly welcome to send in your application.

Kristina Hristova, HR Manager, Tietoevry Austria
    "|https://www.linkedin.com/jobs/view/2986344903|2022-07-25 16:43:21.889818
7|Austria|Fullstack Developer|Senior Fullstack Developer - React/PHP|apsa personnel concepts gmbh|Austria|5 days ago|30 applicants|Remote|Full-time|Associate|11-50 employees|Human Resources Services|"
          We are currently looking for an agile Senior Fullstack Developer - React/PHP (f/m/x) for one of our international, innovative and steadily growing clients, a scale-up company in the payment industry based in Vienna and Berlin. FULLY REMOTE IN THE EU! 
These exciting tasks are waiting for you:
Build and improve cloud-based products and services on a range of platformsMentor and coach more junior developersTake responsibility as Tech Lead in one of the product development teamsOwn and execute modern UI front-end development with a strong appreciation of established UX design patterns and performance measurementsWriting reusable, testable, and efficient codeArchitect solutions using modern front-end stacks focusing on performance and reliabilityBuild and maintain best practices and guidelines for the wider teamProactive team player with the ability to lead, motivate and inspire others
Your experience so far:
Live our client's core values: Customer-centricity, Teamwork, Ownership, Open MindednessWe are looking for T-shaped developers with excellent skills in either PHP / Laravel or JavaScript / React.js or both 😊Excellent experience building responsive, performance apps designed to run on mobile devices, integrating internal and third-party API end-points and services with modern CSS approaches and frameworks such as Tailwind or BootstrapFamiliarity with modern development and build tools such as git, yarn, babel and webpackHighly solution-oriented and analytical and strong verbal and written communication skills
What our client offers:
100% RemoteChoose your equipment – Mac or WindowsInteresting projects and the opportunity for further development, team-oriented and technologically complex surroundingFlexible working hours and onboarding programCool social events, workstation, etc.
    "|https://www.linkedin.com/jobs/view/3179766298|2022-07-25 16:43:38.029944
8|Austria|Fullstack Developer|Fullstack Developer (DACH Region)|"Txture | Cloud Transformation Software"|Innsbruck, Tyrol, Austria|1 day ago|1 applicant|On-site|Full-time|Entry level|11-50 employees|Software Development|"
          As fullstack developer at Txture you have a huge impact on the success of our product portfolio. You will be part of a modern work environment, a strong technical team and will be able to contribute your knowledge and experience. You will be working closely with product management and our team of sales engineers to learn the desires of our clients.. In the morning you will talk with your team in our daily standup to see what is going on and where to team up. After that you will pick up a new task from the sprint board and get going by discussing user paths, required computations and storage layout with your teammates both from the frontend and the core backend. In the meanwhile you have received some code reviews from an already concluded task and you join the reviewers from your team to discuss how further optimize the storage footprint of the data objects in question. Later that day you start to gradually implement and test your solution for the new task. You're quite happy with the first draft of the new feature and share it with colleagues from frontend to get some support on tweaking the UI. The feature will then get tested with clients by the product management team, where you learn about gaps, but also about the overall usefulness of the feature.

Tasks
Building modern APIs, service level integrations and web based user interfacesCollaborate with teammates from frontend and core backend to advance our productsDiscuss with product management to understand solution requirements of customersContribute during product release and sprint planning meetingsHave ownership over parts of the product Steer and maintain our technology stack and discuss newest technological advancementsLearn about the cloud business domainPresent your great work to the entire team and get it presented to our clients and followers 
Requirements
A degree in computer science, a related field or equivalent experienceGood skills and 3+ years use of Kotlin/Java or Node/JavascriptExperience in API development, preferably GraphQL/RESTExperience with service layer design and data persistence, both relations databases and document storesKnowledge of React, Typescript, HTML/CSS and related web technologies is a big plusAbility to discuss with both frontend and backend developersUnderstanding of a software development and delivery process and related technologies like Git, CI/CD pipelines, testing, bundling, containerization and deploymentExperience with Scrum meetings and processesFluent English, German is as a plusCommunication strength, quality awareness, and team player qualities 
Benefits
Working at the forefront of global cloud transformationDevelop software products for the most successful IT consulting companies in the worldAn ambitious work environment and a highly motivated teamGrow yourself professionally with the fast pace of TxtureFlexible working hoursWork from home or our office in beautiful Innsbruck, Austria 
YOU ARE LOOKING FOR A NEW CHALLENGE?

You like to work in cross-functional teams and dare to develop innovative solutions with a lot of creativity, initiative, and professionalism, in order to advance us and our customers?

Then become part of our team as Fullstack Developer in Innsbruck!

Depending on your qualifications and experience, we offer a collectively agreed minimum gross wage of € 45.000,-- p.a. as well as interesting development opportunities in a fast-growing startup.
    "|https://www.linkedin.com/jobs/view/3187274557|2022-07-25 16:43:51.856950
9|Austria|Fullstack Developer|Fullstack Developer Web (m/f/x)|REWE International AG|Vienna, Vienna, Austria|1 week ago|22 applicants|On-site|Full-time|Associate|10,001+ employees|Retail|"
          Company Description
We are REWE Group Austria’s IT. With our more than 500 employees we develop innovative and customer-oriented IT products and services for all our corporate divisions in Austria and abroad, setting the tone for modern trade

Job Description
New and further development of individual e-commerce features and modules for our enterprise customer projectTechnical and content-related support in the development of prototypesClose collaboration in an interdisciplinary and agile team of UI/UX designers, QA, Scrum Master, Product Owner, DevOps and other developersEvaluation and use of new technologies for ""state-of-the-art"" solutions

Qualifications
Successfully completed education (HTL, university, FH, or similar)Professional experience in software developmentKnowledge in Java, JavaScript, HTML as well as CSSExperience with web frameworks like Vue.js as well as Spring BootFun with programming and high demands on readable and maintainable codeEnjoy functional programming, as well as creatively solving UX/UI problems together with the team

Additional Information
Long-term, interesting and varied work for a reliable employer in a supportive team A family-friendly company culture with flexible working hours and remote working options available, according to your individual needsStaff shopping and travel discountsNumerous training and further development opportunities within the Group (5% of working time for self-organized training and education)Flat hierarchies and short decision-making channels A modern office with room for innovative ideas and versatile meeting and work-station designA diversified range of duties in an interculturally diverse and internationally active environmentA referral bonus for recruiting new employees (m/f/x)A lunch allowancesAn industry-standard, attractive and performance based annual gross salary starting at 58.000 Euro (on a full-time basis) with the possibility of higher pay according to experience and qualifications

As we focus on diversity, we are also looking forward to receiving applications from people with disabilities.
No matter where you are in your career, we have a path for you. Whether you’re looking for your first job, advancement in your field, or a new career shift. We’re proud to employ great people who are passionate about their jobs. But they’re all different. No matter who you are, what you need and where you’re going, REWE Group can be a part of it. Apply now www.rewe-group.jobs
    "|https://www.linkedin.com/jobs/view/3167738534|2022-07-25 16:44:07.859875
10|Austria|Fullstack Developer|Full Stack Developer (m/w/d) - Home Office possible!|Dedalus HealthCare DACH|Vienna, Austria|1 week ago|7 applicants|Hybrid|Full-time|Associate|1,001-5,000 employees|Hospitals and Health Care|"
          Do you want a job with a purpose? And do you want to make healthcare safer, better and more reliable?Join our Team!
Your code could save lives!
We are looking for you, located in Vienna or optionally Austria-wide (Home Office) as a Fullstack Developer (m/f/d)

Your tasks are:
development and maintenance of 3tier Enterprise Applications for healthcaredevelopment of frontend and backend functionalities for mobile and desktop applicationsintegration of your implementations into a microservice architectureparticipation in architecture and design of the overall systemdevelopment of automated integration and unit testsclose cooperation with our UX Designers, Software Architects and Database Experts

You’ll bring in:
a bachelor's or master's degree in computer science OR corresponding professional experience, ideally paired with medical knowledgeJava, Java EE, REST API, SQLHTML5, CSS3, TypeScript or JavaScriptcuriosity for new technologies, frameworks and up-to-date methodologies in software developmentdecent English and German skills

Technology and tools we use:Java, JavaEE, Angular, Git, Maven, Docker, Jenkins, Jira You will like us for the
relaxed work atmosphereall benefits of working within an established international groupflexible working models including working from homechance to visit conferencesfree coffee, tea and fruitsregular team activitiespublic transport ticket for Vienna office in the direct vicinity of Vienna Central Station
Be part of our innovative power and shape the future with us!
The starting salary without work experience is at least 36.890€ p.a. according to the IT-KV, an overpayment depending on qualification/experience is self-evident.
Severely disabled applicants will be given special consideration if they are equally qualified.
Dedalus HealthCare Ges.m.b.H.Quartier Belvedere CentralGertrude-Fröhlich-Sandner-Straße 1 A-1100 Wien
    "|https://www.linkedin.com/jobs/view/3170175166|2022-07-25 16:44:19.724444
