id|country|searchterm|job_title|company|job_location|time|applicants|workplace|working_time|job_level|company_size|industry|job_details|job_url|timestamp
0|Denmark|data scientist|Data Scientist / Data Manager with a flair for Engineering|the LEGO Group|Billund, South Denmark, Denmark|2 days ago|32 applicants| |Full-time|Entry level|10,001+ employees|Manufacturing|"
          Apply your vision and skills to combine hands-on technical engineering, data analytics and system integration to understand and further develop our injection moulding processes!

Use your talent within data analysis, sensor technology, and data modelling to become the go to person that crafts the development of digital moulding processes by detailed utilization of data, statistics, modelling and programming.


Core Responsibilities


 Develop solutions to link data analysis, process variables and material properties while having a scientific approach Develop analytic applications through programming (e. g., Python, R, C+, JavaScript and Azure technologies Visualize, communicate, and share findings to enable the department data driven journey Drive the communication between internal suppliers and customers. Insure coherence on the technical insights Handle and drive your own tasks Report and communicate on technical findings Setting clear plans and direction for the development and implementation of analytic solutions for the moulding technicians and specialists


The department enables the Sustainable Materials 2032 ambition for the LEGO Group.

Play your part in our Global success

The Moulding Analytics Center (MAC) is responsible for setting mould parameters and standards for existing and future materials and moulding process solutions.

MAC is a competence center for one of our core capabilities - injection moulding and is responsible for extracting and analyzing data and providing validated decision-making for engineering solutions across functions.

You will be a part of the moulding data team where your primary focus will be data analytics in combination with your experience within plastic rheology and injection moulding to support the business needs and ambition to become entirely data driven.

The position could with time open up for an industrial PhD scholarship.

Do you have what it takes?

Knowledge of


 Data Analysis, Statistics, Machine Learning and Process engineering Software development experience, especially skilled in Python, R, C+, JavaScript and Azure A self-motivated team-player with superb communication, project management and multi-tasking skills Excellent teammate and willing to communicate and facilitate presentations Experience with knowledge management and communication across org. levels and multi-functional teams Experience or strong interest to work with hardware (sensors, net routers and SoC's) Knowledge within Lean Six Sigma, DOE, Minitab, SAS JMP, Alteryx, Tableau, Azure and APIs would be an advantage Possible travel of 5 - 15 days per year


Join the global LEGO® team

What's in it for you? Here are some of what to expect


 Family Care Leave


We offer enhanced paid leave options for those important times.


 Insurances


All colleagues are covered by our life and disability insurance which provides protection and peace of mind.


 Wellness


We want you to be your best self, so you'll have access to the Headspace App and lots of wellbeing initiatives and programmes run by local teams where you are based.


 Colleague Discount


We know you'll love to build so from day 1 you will qualify for our generous colleague discount.


 Bonus


We do our best work to succeed together. When goals are reached, you'll be rewarded through our global bonus scheme.


 Your workplace


Our offices will be your primary workplace with flexibility to work from home during your working week. Your People Leader will discuss the principles of our hybrid work model, role eligibility and frequency with you.

Children are our role models. Their curiosity, creativity and imagination inspire everything we do. We strive to create a diverse, dynamic and inclusive culture of play at the LEGO Group, where everyone feels safe, valued, and they belong.

We are proud to be an equal opportunity employer. We are committed to equal employment opportunity and equal pay regardless of e.g. race, colour, religion, sex, national origin, sexual orientation, disability or gender identity.

The LEGO Group is fully committed to Children's Rights and Child Wellbeing across the globe. Candidates offered positions with high engagement with children are required to take part in Child Safeguarding Background Screening, as a condition of the offer.

Thank you for sharing our global commitment to Children's Rights.

Build your career brick by brick at the LEGO Group.


    "|https://www.linkedin.com/jobs/view/3179866197|2022-07-24 21:12:07.020373
1|Denmark|data scientist|Data Scientist / ML / AI Lead & Startup Founder|Antler|Copenhagen Metropolitan Area|1 week ago|13 applicants|On-site|Full-time|Mid-Senior level|51-200 employees|Venture Capital and Private Equity Principals|"
          Note: This ad is not for a job, but rather for the opportunity to build your own VC-backed startup!
Are you an experienced Data Scientist or Machine Learning Engineer with an obsession to make sense out of large data sets that change entire business directions? You find yourself often on the hunt for rich data sources and you don’t shy away from large quantities of formless data? On top of that you want to take ownership of your own creations and are looking to build your next tech venture from scratch? You’ve come to the right place!
At Antler, we lower the barriers to entrepreneurship by giving you the necessary support to find the right co-founder, test and validate your idea, and by providing funding from day one so that you can build truly global companies. We are a global early-stage venture capital firm that invests in the defining companies of tomorrow to fundamentally improve the world with groundbreaking technology. Our six-month platform brings together experienced and driven professionals from diverse backgrounds to build strong teams and launch their own companies. We are present in 21 locations worldwide, have supported 2000+ founders through our platforms, invested in 450+ startups, and received over 70,000+ applications.
RequirementsFor our upcoming cohort in Aug 2022, we are looking for senior Data Scientists and ML/AI Leads who want to build the next disruptive tech venture from scratch! Data Scientists and ML/AI Leads joining our platform play an instrumental role as Co-founders, mainly being responsible for the tech/product side of the business, which requires that you:
identify as someone with deep expertise in data science, machine learning, artificial intelligence or product developmenthave strong analytical skills with hands-on experience in conducting technological analyses and applying advanced analytics & Machine Learning methodologiescan execute on data collection plans from both structured and unstructured sources that help in data exploration, hypothesis testing and statistical modellingcan design, develop, and implement models, proof-of-concepts and pre-product prototypeshave experience leading a team and maintaining an organized oversight of specific product delivery schedulesmight have an idea (optional) that will solve a problem that you’re passionate about, but you do not want to do it on your own. You understand that you need co-pilots who share your vision and values
Cohort starts: August 22nd, 2022Location: Copenhagen
Remuneration: Accepted founders get a stipend for the first phase of the program (10 weeks). After 10 weeks Antler invests US$125,000 for an 10% equity stake (on a fully diluted basis) in each company that is selected by our investment committee.
Antler Highlights:Some examples of successful companies that were built as a result of Antler’s program, received pre-seed investment from Antler, and have gone on to raise substantial investment are as follows:Xailient - World’s fastest Computer Vision AISKYQRAFT - Affordable and safe powerline inspections using drones and datahomebase - Making home ownership accessiblereebelo - circular economy for e-devices
Apply now to stop dreaming and start building!
    "|https://www.linkedin.com/jobs/view/3164083409|2022-07-24 21:12:20.526646
2|Denmark|data scientist|Data Scientist, Maternity Leave cover|the LEGO Group|Billund, South Denmark, Denmark|2 days ago|5 applicants| |Full-time|Entry level|10,001+ employees|Manufacturing|"
          Can you drive measurable business value through the applied use of data science? Are you passionate about helping us make decisions with data?

Although it is a maternity leave position, we are currently expanding our team quickly so come check out the role and join our fantastic Data Science Team!


Core Responsibilities


 Interpreting and delivering the results of findings to stakeholders within the business. Collaborating with stakeholders to ensure that data science work is delivering real value. Effectively communicating solutions to business problems, including the use of visualization techniques, and building automated dashboards. Working with disparate datasets and running algorithms on large data effectively and efficiently. Developing advanced machine learning models – both for prediction and description. Staying up to date with all the latest ground-breaking technologies such as computer science fundamentals and programming.


Play your part in our team succeeding

We need data science to discover deeper insights, make predictions, or generate recommendations in a quickly to continue delivering world class learning-through play experiences to children. This role is placed in the incubation team that works to spearhead the use of data science in new areas of the LEGO group ranging from manufacturing to retail.

Do you have what it takes?

We are looking for a candidate with emphasis on one or more of the following data science, economics, econometrics, computer science, computer engineering, statistics, mathematics, or equivalent quantitative subject area. A PhD is a strong bonus. You have a strong analytical capability and a flair for working with complex analytical challenges to grasp the relationships in data and how it ties in with the business. Furthermore, must possess the ability to communicate these in an easily accessible manner to non-technical people. In addition, you have


 Ability to program in Python or R or similar with a willingness to learn. Maybe you also have experience working with source code management such as GIT as well as automated testing Exposure in using SQL/HQL (Hadoop, Hive) Collaborative spirit and possibly experience working in an agile environment Persistent with a well-rounded view on potential solutions


Join the global LEGO® team

What’s in it for you? Here are some of what to expect

Family Care Leave – We offer enhanced paid leave options for those important times.

Insurances – All colleagues are covered by our life and disability insurance which provides protection and peace of mind.

Wellness – We want you to be your best self, so you’ll have access to the Headspace App and lots of wellbeing initiatives and programmes run by local teams where you are based

Colleague Discount - We know you'll love to build so from day 1 you will qualify for our generous colleague discount.

Bonus - We do our best work to succeed together. When goals are reached, you’ll be rewarded through our global bonus scheme.

Your workplace – Our offices will be your primary workplace with flexibility to work from home during your working week. Your People Leader will discuss the principles of our hybrid work model, role eligibility and frequency with you.

Children are our role models. Their curiosity, creativity and imagination inspire everything we do. We strive to create a diverse, dynamic and inclusive culture of play at the LEGO Group, where everyone feels safe, valued and they belong.

The LEGO Group is proud to be an equal opportunity employer. We are committed to equal employment opportunity and equal pay regardless of e.g. race, colour, religion, sex, national origin, sexual orientation, disability or gender identity.

The LEGO Group is fully committed to Children’s Rights and Child Wellbeing across the globe. Candidates offered positions with high engagement with children are required to take part in Child Safeguarding Background Screening, as a condition of the offer.

Thank you for sharing our global commitment to Children’s Rights.

Build your career brick by brick at the LEGO Group.


    "|https://www.linkedin.com/jobs/view/3179864403|2022-07-24 21:12:32.771434
3|Denmark|data scientist|Visiting Data Scientist (internship)|BCG GAMMA|Copenhagen Metropolitan Area|4 days ago|42 applicants|On-site|Internship|Internship|1,001-5,000 employees|Business Consulting and Services|"
          BCG GAMMA combines innovative skills in computer science, artificial intelligence, statistics, and machine learning with deep industry expertise. The BCG GAMMA team is comprised of world-class data scientists and business consultants who specialize in the use of advanced analytics to get breakthrough business results. Our teams own the full analytics value-chain end to end: framing new business challenges, building fact-bases, designing innovative algorithms, creating scale through designing tools and apps, and training colleagues and clients in new solutions. Are you pursuing your master’s or PhD and thinking about a career in data science and consulting? Our internship program is an opportunity for you to get a true feel of what it’s like to work at BCG Gamma and to begin an exciting career in consulting. BCG Gamma offers a unique opportunity to join a vibrant team of data scientists applying the most advanced analytics techniques in a rewarding environment.
ROLE PROFILEWe accept online applications from exceptional computer science, applied mathematics, statistics, machine learning, or other data centric disciplines who are nearing completion of their Master’s degree studies. Like our full-time staff, you’ll work alongside some of the world’s top minds on cases that reshape business, government, and society. Consulting work is varied and rigorous, much of it performed at our client sites. Projects can vary in length, size, and location, depending on the client’s challenge. You’ll collaborate on challenging projects with team members from many backgrounds and disciplines, increasing your understanding of complex business problems from diverse perspectives and developing new skills and experience to help you in the future, be that at BCG or beyond.
REQUIREMENTS:
Education & ExperiencePursuing a Master's degree or PhD with excellent academic achievements in a field linked to computer science, applied mathematics, statistics, machine learning, or related data centric areasRelevant internships and strong passion for data science topicsExperience in core analytics methods (e.g. Machine Learning, Optimization, Deep Learning, etc.)Excellent analytical skills and strategic thinking, creative problem solverStrong interpersonal credibility, reliability, and service mentality, high ethical standardsExcellent written and verbal communication skills
Technical competenciesExperience in core analytics methods (e.g. Machine Learning/Deep Learning, Optimization/Operational Research, Geoanalytics, Predictive Modeling, Autonomous Agents, Network Analysis, etc…)Familiarity with a broad base of analytics tools (Data management ; Analytics platforms / Programming – e.g. R, python ; Data Visualization, etc…)Experience in applied analytics for business problem solving/experience building analytical solutions
LanguageFluent English is required
    "|https://www.linkedin.com/jobs/view/3178061902|2022-07-24 21:13:07.102510
4|Denmark|data scientist|Lead Data Scientist|BCG GAMMA|Copenhagen Metropolitan Area|4 days ago|21 applicants|On-site|Full-time|Mid-Senior level|1,001-5,000 employees|Business Consulting and Services|"
          BCGBoston Consulting Group partners with leaders in business and society to tackle their most important challenges and capture their greatest opportunities. BCG was the pioneer in business strategy when it was founded in 1963. Today, we help clients with total transformation-inspiring complex change, enabling organizations to grow, building competitive advantage, and driving bottom-line impact.
BCG GAMMABCG GAMMA combines innovative skills in computer science, artificial intelligence (AI), statistics, and machine learning with deep industry and functional expertise. The BCG GAMMA team is comprised of world-class data scientists, software and data engineers, as well as product experts with a consulting mindset. We specialize in creating competitive advantage for our clients through AI driven transformations. Our teams own the full analytics value-chain end to end: framing new business challenges, designing innovative algorithms, implementing and deploying scalable solutions, and enabling colleagues and clients to fully embrace AI. Our product offerings span from fully custom-build to industry specific leading edge AI software solutions.
WHAT YOU’LL DOAs a Lead Data Scientist, you’ll be part of our rapidly growing team. You’ll have the chance to apply data science methods and analytics to real-world business situations across a variety of industries to drive significant business impact. You’ll have the chance to partner with clients in a variety of BCG regions and industries, and on key topics like climate change, enabling them to design, build, and deploy new and innovative solutions. Additional responsibilities will include developing and delivering thought leadership in scientific communities and papers as well as leading conferences on behalf of BCG GAMMA. Successful candidates are intellectually curious builders who are biased toward action, scrappy, and communicative. 
WHO YOU AREWe are looking for talented individuals with a passion for data science, statistics, operations research and transforming organizations into AI led innovative companies• Manage engagements, client relationships, provide “thought leadership” to teams• Comfortable in a client-facing role and to lead teams and projects• Likes to distill complex results or processes into simple, clear visualizations• Explain sophisticated data science concepts in an understandable manner• Significant experience applying advanced analytics to a variety of business situations and a proven ability to synthesize complex data• Deep understanding of modern machine learning techniques and their mathematical underpinnings, and can translate this into business implications for our clients • Have strong project management skills
WHAT YOU’LL BRING (EXPERIENCE & QUALIFICATION)• 7+ years of relevant industry work experience providing advanced analytics solutions, or 5+ years consulting experience• PhD or other Advanced degree required in a field linked to business analytics, statistics or geo- statistics, operations research, geography, applied mathematics, computer science, engineering, or related field• Strong record of professional accomplishment and leadership• Looking for individuals with deep technical and data science expertise, acute strategic and analytical skills, ability to lead and persuade, drive and energy, and desire to work in a project-based environment on strategic• Demonstrated ability to lead and manage projects and teams.• Fluency in at least one coding language (Python)
WORK ENVIRONMENT• Fast-paced, intellectually intense, service-oriented environment• Fluency in English is required as well as fluency in the local language for some locations• Ability to travel based on client and business needs. Expect 30-50%• Position is located in either of the Nordics countries (Copenhagen, Stockholm, Oslo or Helsinki)
    "|https://www.linkedin.com/jobs/view/3178066086|2022-07-24 21:13:18.324990
5|Denmark|data scientist|Marketing Data Scientist|Whiteaway Group|Aarhus, Middle Jutland, Denmark|1 week ago|45 applicants|On-site|Full-time|Associate|201-500 employees|Computers and Electronics Manufacturing|"
          We are looking for a Marketing Data Scientist for our Media team. We are searching for someone who understands how data is collected and enabled in a commercial marketing perspective. We offer challenges in a hybrid setup with internal and external specialists in a dynamic business with multiple shops around the Nordics. Interested?
At Whiteaway Group we sell and ship household appliances to customers in the Nordics, with an ongoing focus on great customer experiences. It all started as an idea, a fresh approach to the market and a digital mindset – always obsessed with the customer. This is still what makes us tick: We are change-makers at heart and always strive for delivering outstanding customer experiences.
During the last couple of years we have been working on leveraging the value of data e.g., by a “Cookieless setup” but we are ready to accelerate this development and are about to launch a strategic project focusing on collecting and enabling 1st party customer data in our marketing channels.
You will become part of our Group Marketing team and work within our Media unit. You will join more than 20 competent colleagues, all of whom are experts in their field. Our goal is to increase the business performance through a better marketing performance. You will focus on short term tasks (tracking & reporting) and more strategic projects (customer data platform & mixed marketing modelling) about gathering and enabling data for our media, marketing, and sales team to use. You will work closely with our Media Specialists and Media Manager from first ideation over prototyping, testing, and final development of different initiatives. You will work in the space between data engineering, analyst, and scientist and you will be collecting, analyzing, and utilizing data. 
Your jobCollecting data from different sources – e.g., GTM360 and internal BI platformAnalyzing and reporting on data to track progress – PowerBI and DatastudioInvestigate / Modify data to create value – e.g., by using different ML modelsIdeation and validation of hypothesis that could create value for our businessOptimize and utilize our Google Cloud Platform
Your profileYou have experience within GCP or similar, and experience with GTMPython and SQL are your best friends – and maybe you are quite familiar with R as wellYou are a techie by heart with a sound commercial understandingYou have the ability to see the complete picture and decompose it into specific insightsEcommerce experience is a big plus
You will join an amazing workplace, including:An exciting brand portfolio (whiteaway, Skousen & Tretti among others)A dynamic and international environment with room for you to be youEndless opportunities and professional development for you to make an impactA flat organization with a high degree of independence and short decision pathsAttractive settings for the job: flexible work hours, health care, lunch scheme, gym, and an active staff association
Process and how to applyWe will screen on an ongoing basis and start interviewing in August, so send your cover letter and portfolio today. Please contact Jens Castenskjold, Media Manger, by mail: jcv@whiteawaygroup.com if you have further questions about the role. Note, that applications are only accepted via the ""Apply"" button and are accepted in Danish and English. We are looking forward to hearing from you.








About our GroupGrowth is our game. Passionate people with ambitious drive to build a successful business. Through several online shops, franchise chains and wholesalers we sell and ship appliances. It all started as an idea in the backroom of a Danish kitchen store with a fresh approach to the market and a digital mindset. Grounded in innovation and honesty, delivering frictionless customer experience. This is still what makes us tick. Today, we are the leading supplier in Scandinavia in our field. Our customers know us as Skousen, tretti and whiteaway. Although we are constantly developing our skills, our work is never done. At WhiteAway Group you will find an open-minded and energetic tribe of 280 passionate colleagues that invites you in on the journey. Challenging status quo.
    "|https://www.linkedin.com/jobs/view/3165856516|2022-07-24 21:13:31.603681
6|Denmark|data scientist|Data Scientist / Engineer|Get-Tech|Aarhus, Middle Jutland, Denmark|2 days ago|22 applicants|On-site|Full-time|Mid-Senior level|1-10 employees|Staffing and Recruiting|"
          I am working with an amazing client who are a software company that monitors the installation of wind turbines world-wide! They are helping their customers lower the cost of renewable energy and accelerating the sustainable transition. 
They are now looking for a Data Engineer/ Data Scientist to join them so they can keep up with the ever-growing demand. 
About the job: On the Data Engineering side of things, you will be working in a multi-disciplinary team with data scientists and analysts, where your main focus will be reliable data ingestion and data structures supplying both internal and external customers.In terms of ML Engineering, you will become a significant contributor to our existing cloud pipelines; form training and deployment of neural networks to helping us define the roadmap of its future development and scaling. In general, you will be working a lot with Docker, Python, PyTorch, PostgreSQL among others.
As core skills you have experience with:• Software design, Git and dev/ops• Training and deployment of neural networks• Database structures and API design• Preferably you have cloud experience from providers like AWS or Azure
If this is something that is of interest to you, please apply below or enquire for more details.
    "|https://www.linkedin.com/jobs/view/3183865126|2022-07-24 21:13:40.840196
7|Denmark|data scientist|IT Data Scientist|LINAK|Guderup, South Denmark, Denmark|3 days ago|2 applicants|On-site|Full-time|Entry level|1,001-5,000 employees|Industrial Machinery Manufacturing|"
          På LINAK genererer mere end 2400 medarbejdere dagligt enorme mængder data. Vi er faste i troen på, at et øget datafokus og rette kompetencer kan forædle mere data til viden og værdi og i sidste ende konkurrencemæssige fordele. Lyder dette som en spændende udfordring, og er du personen der kan gøre en forskel, så hører vi gerne fra dig.

Positionen som Data Scientist oprettes i ’BI & Process Automation’ afdelingen og er første step i etableringen af et nyt ben, hvor analyse og modellering af data kan komplementere eksisterende BI setup. Et indledende fokus vil derfor være at bidrage til etablering af framework og processer, der sikrer et solidt fundament, hvorfra vi kan skabe værdi.

Hovedfokus vil være udvikling og implementering af værdiskabende data science løsninger. Forventningen er at output vil variere fra ad hoc dataanalyser til dynamiske modeller, som kan konsumeres af eksempelvis BI, CRM or ERP. Behovsopsamling og sparring vil foregå i tæt samarbejde med stakeholders på LINAK, ligesom løsninger kan involvere samarbejde med eksempelvis konsulenter fra BI og Process Automation.

Den nyoprettede position vil som eneste ressource have dedikeret fokus på data science, mens øvrige BI konsulenter har kompetencer indenfor analyse i Python og kan allokeres efter behov og kapacitet. For at lykkes, er det således vigtigt, at man som person finder energi i både at arbejde selvstændigt og i teams.

De primære opgaver
Bidrage til etablering og løbende optimering af nyt fokusområde indenfor data science – herunder framework, værktøjer, dokumentation, mv.Udvikling, implementering og vedligehold af analyser og Machine Learning modeller med afsæt i Python.Implementering af Change-management proces og aktiv deltagelse i behovsopsamling og -validering, udvikling og release af løsninger.Sparring med forretning på tværs af funktionerSupport (2-3. level), samt bindeled til ekstern partnerHolde sig opdateret om tekniske muligheder som kan skabe værdi for LINAK

Din baggrund

Du har en relevant uddannelse på minimum bachelor niveau og meget gerne solid teknisk erfaring med ovenstående teknologier og ansvarsområder. Du kan nikke genkendende til følgende egenskaber:
God matematisk-statistisk forståelseGod værktøjsforståelse – gerne erfaring med PythonForretningsforståelse, der gør dig i stand til at skabe optimale løsninger og inspirere forretningenGode samarbejdsevner i en dagligdag der typisk vil variere mellem teknisk fordybelse og involvering i projekterTaler og skriver dansk og engelsk

Har du spørgsmål til stillingen, er du velkommen til at kontakte Senior Manager, BI & Process Automation, Thomas F B Damsgaard på telefon 7315 1736.

Vi vurderer ansøgninger løbende, og stillingen lukkes, når den rette kandidat er fundet. Eventuelle ansøgningsfrister er systemgenererede og ikke fastsat af LINAK.

LINAK A/S

Group Headquarters

Smedevænget 8, Guderup

6430 Nordborg
    "|https://www.linkedin.com/jobs/view/3173983264|2022-07-24 21:14:03.122620
8|Denmark|data scientist|Senior Data Scientist (Web), Denmark|Nordea|Copenhagen, Capital Region, Denmark|1 day ago|16 applicants|On-site|Full-time|Associate|10,001+ employees|Banking|"
          Job ID: 8945 

Would you like to join crew of sharp analytical minds? We are now looking for a Data Scientist to join our global team of highly skilled data scientists. We share the common passion to work with massive amount of data and deliver complex analyses and solutions, contributing towards Nordea’s digital transformation journey. A great day for us - Applying analytics to solve day-to-day banking problems using the latest technologies, big data, math & statistics.

At Nordea, we know our customers’ needs are changing – and we’re deeply committed to meeting them with the financial solutions of tomorrow. We’re creating an agile environment where we’re harnessing the power of technology – one where you can make an impact. So bring your skills, ideas and unique background. With us, you’ll find plenty of opportunities to grow and make your mark on something bigger.

Your Future Responsibilities

Welcome to an organization located in the Nordics and Poland with a wide range of profiles, from data scientists, engineers and statisticians to economists, researchers and IT. We add value attracting and retaining talented high performers by being front runners in our area of expertise. We take ownership for our own development and the development of our business, and we expand competences through learning loops in a creative and appreciative rapid prototyping culture. We believe in high performing teams where everyone plays a role in reaching out for our mission to deliver world class analytics.

What you’ll be doing:

As the Data Scientist, you will resolve complex and data-intensive decisioning problems through application of data processing and modelling. You will drive intelligent automation by providing algorithmic and AI-powered solutions and administer improvement of methods and processes for lean and compliant automation.
You will enable intelligent marketing decisioning using data coming from various channels: Web, Net/Mobile, CRM system etc. to drive personalization in digital channelsYou will be driving marketing use cases to enable real-time/near real-time decisioning in digital channels You will explore opportunities to leverage various data science platforms (On-premise & cloud based platform such as Adobe Experience Platform, AWS etc.) to develop & deploy analytic services through digital channels, i.e Mobile Bank, Net Bank and open pages, adhering to ML/AI lifecycleYou will support drawing Nordea’s mar-tech landscape & architecture by advising on tools & platform optimal for performing data science activities i.e model training & deployment, experimentation & learning, streaming analytics etc. You will drive full cycle of data science projects by ensuring coherence and optimal transition between various steps, components and capabilities/teams.You will advise and challenge the existing methods & processes to ensure the highest utility outcome
You’ll join centre of excellence in Advanced Analytics team (unit of Group Data Management Office), driving Nordea’s goal towards omni-channel experience for Personal Banking customers

The role is based in Copenhagen, Denmark.

Who You Are

Collaboration. Ownership. Passion. Courage. These are the values that guide us in being at our best – and that we imagine you share with us.

To succeed in this role, we believe that you:
You have an excellent analytical skill and good in influencing others with your presentation and communication skillYou are driven by achieving concrete results and see your work leading to direct business valueYou follow structured, creative & forward looking approachYou are self-driven, proactive and ready to take decisions in complex scenarios You take responsibility for own learning and keeping yourself updated within own domain of expertise to secure constant development and personal growth. Seek inspiration for exploring new areas from colleagues and stakeholders
Your experience and background: 
You have driven & managed data science projects from A-Z ensuring coherence and optimal transition between various steps, components and capabilities. And led knowledge sharing and training among stakeholders and colleagues.You have knowledge of basic digital marketing principles and familiarity with web analytics & tools/platforms (e.g. Adobe suite, Google Analytics, DoubleClick etc.You’re a coding wizard in one or more data science programming language i.e Python, Pyspark, R, SQL etc. You have academic credentials focused on related data science field: mathematics, economics, statistics, engineering and information management etc. and you have strong understanding of statistical concepts (e.g. Hypothesis Testing) and machine learning models i.e reinforced learning, NLP, Random forest etc.You have prior experience working with one of the cloud based data science components (Sagemaker, AzureML, Azure Personalizer, Azure databricks, AutoML, Recommendations AI etc.You are proficient in written and spoken English
Even better if:
You have experience analysing and processing online browsing data (Web, App, Facebook etc.)You have experience working with near/real-time decisioning data pipeline i.e AWS Kinesis, Azure Synapse, Dataflow,Kafka etc.You have experience working with processing and transferring the data/object from one environment to another environment via APIs, Containerized applications etc. You have worked in SAFe agile environment
If this sounds like you, get in touch!

Next steps

Submit your application no later than 19/06/2022. For more information, you’re welcome to contact Alok Kumar, +45 23998600, alok.kumar@nordea.com.

At Nordea, we know that an inclusive workplace is a sustainable workplace. We deeply believe that our diverse backgrounds, experiences, characteristics and traits make us better at serving customers and communities. So please come as you are.

Please be aware that any applications or CVs coming through email or direct messages will not be accepted or considered.
    "|https://www.linkedin.com/jobs/view/3144731088|2022-07-24 21:14:14.352600
9|Denmark|data scientist|Data scientist at PA Consulting|PA Consulting|Copenhagen, Capital Region, Denmark|2 weeks ago|124 applicants| |Full-time|Associate|1,001-5,000 employees|Business Consulting and Services|"
          Company Description

PA Consulting has been on an exciting growth journey in the last five years, where we have almost doubled our revenue and profit, and we are proud to have done this with 98% of our clients recommending us. We believe in the power of ingenuity to build a positive human future in a technology-driven world. As strategies, technologies and innovation collide, we create opportunity from complexity.

Job Description

Are you passionate about transforming complex data into valuable knowledge? Are you interested in the newest technologies within data analytics, and do you possess strong analytical skills? Then you might be the person we are looking for to join our fast-growing Analytics team.

You will be part of assignments that are setting the direction for how state-of-the-art analytics tools and technologies can assist rapid and disruptive change. Depending on your profile and experience, tasks might look something like this:

Working in multi-disciplinary teams to develop data-driven solutions that solve clients’ business needs Getting hands-on with business intelligence, machine learning and related analytics techniques to develop business insights and data-driven solutions Identifying and developing innovative use-cases within data science in close collaboration with clients and partners Combining technical and business competencies to support in advisory activities, lead projects and provide thought leadership within analytics Facilitating knowledge sharing sessions within your area of expertise, both internally and for clients, to enable others to create value from data Participating in sales activities related to both proposal writing and sales meetings with clients. 

Qualifications

We are recruiting consultants ranging from university graduates to senior ranks with roles that span the different tasks in an analytics project, including data analysts, data scientists and BI developers. We imagine that you fit the following profile:

Qualifications (BSc, MSc, PhD) in economics, engineering, mathematics, natural sciences or an equivalent Experience processing datasets of various structures to enable business value for clients A curious mindset that is looking to learn and apply new technologies as the field of analytics progresses An understanding of data platforms, designing business intelligence solutions or applying machine learning techniques Fluent in either Danish or English. 

Additional Information

You will be joining our Analytics team in Copenhagen where we are collaborating with clients in multiple sectors, e.g., delivering next-generation data flows for pharma companies, using neural networks to assess millions of documents in the public sector and improving elderly care by intelligently identifying opportunities to optimise tasks and planning conducted by the staff. These are just some of the ingenious solutions that we are helping our Danish clients with at PA Consulting.

In our approach to management consulting, we strike a balance between interesting client engagements and professional upskilling that leaves room to cultivate our other interests, which span everything from board games and fermentation to water polo, trail running and cycling.

We are interviewing on an ongoing basis – apply for the job already today.

If you have any questions, please contact Mads Bjørn-Møldrup (partner), +45 2830 6763, Lennart Schou Jensen (data scientist), +45 2894 8379, or our talent attraction team on e-mail nordiccareers@paconsulting.com.

About PA

You will join an innovation and transformation consultancy that believes in the power of ingenuity to build a positive human future in a technology-driven world. Our diverse teams of experts combine innovative thinking with breakthrough technologies to progress further and faster.

With us, your everyday life will be characterised by exciting and varied projects. In Denmark, we work with a wide range of clients in different industries: the public sector, the financial sector, consumer and manufacturing, healthcare and life sciences and the transport sector. You'll work closely with clients and colleagues from across PA to deliver complex and challenging projects. It is therefore important that you have strong collaborative skills.

You will have more than 200 of the country's most talented management consultants as your new colleagues. We believe that value is created in collaboration and shoulder-to-shoulder with our clients. You will be part of an environment where we value teamwork, sparring and feedback. It is also an environment that requires learning and new knowledge so that we can deliver the best results to our client. With us, you follow the latest developments in the field, while at the same time having access to training and certifications. We are therefore looking for someone with an open and curious approach to solving challenges and who is driven by acquiring new knowledge.

Your employment with us starts with a thorough introduction. To support your development, you will from day one be assigned a manager and a buddy who, together with you, will prepare a development plan adapted to your skills and interests.

Inclusion and diversity 

We believe that diversity makes us a stronger firm, and we look to employ people with different ideas, styles and skillsets. This diversity stimulates a rich, creative environment – one in which our people develop, and our clients enjoy enduring results.

We’re committed to recruiting, promoting and rewarding our people solely based on their ability to contribute to PA’s goals, without regard to their gender, race, disability, religion, national origin, ethnicity, sexual orientation, age or marital status.
    "|https://www.linkedin.com/jobs/view/3124471862|2022-07-24 21:14:26.740595
