id|country|searchterm|job_title|company|job_location|time|applicants|workplace|working_time|job_level|company_size|industry|job_details|job_url|timestamp
0|Germany|data scientist|Senior Consultant / Manager (m/w/d) Data Scientist / AI Garage|Capgemini Invent|Munich, Bavaria, Germany|3 days ago|3 applicants|Hybrid|Full-time|Associate|10,001+ employees|Business Consulting and Services|"
          Capgemini Invent ist die weltweite Beratungseinheit der Capgemini-Gruppe für digitale Innovation, Design und Transformation. Sie ermöglicht CxOs, die Zukunft ihrer Unternehmen zu gestalten. Dafür arbeiten über 10.000 Mitarbeiterinnen und Mitarbeiter in rund 40 Kreativstudios sowie an mehr als 60 Standorten weltweit. Sie vereinen Strategieberatung, Data Science, Produkt- und Experience Design, Markenmanagement sowie Technologie-Know-how, um neue Digitallösungen, Produkte, Umgebungen als auch Geschäftsmodelle für eine nachhaltige Zukunft zu entwickeln.
Be part of our journey
Innovative Projekte und internationale Teams sowie ein erfolgreiches Wachstum in digitalen ZukunftsthemenDie Aufgabe, Strategie- und Transformationsprojekte zu konzipieren und zum Erfolg zu führenLangjährig gelebte, auf Werte ausgerichtete UnternehmenskulturTransparente Karriereperspektiven und Weiterbildungsmöglichkeiten innerhalb eines weltweiten ExpertennetzwerksLangfristig ausgerichtetes Work-Life-Balance-Modell
Get the future you want
Innovative Machine Learning & Advanced Analytics Anwendungen mit Business Impact von Strategie über Prototyp bis zur produktiven LösungDigitale Transformation von Geschäftsprozessen & -modellen mithilfe von Data Science & AnalyticsIdeation, Co-creation und Rapid-Prototyping in agiler AI GarageErstellung und Präsentation von Angeboten und Service OfferingsInhaltliche Weiterentwicklung unseres Portfolios
Your skills & career
Mehrjährige praktische Projekterfahrung in komplexen & agilen Data Science-Projekte entlang des kompletten ProjektzyklusErste Erfahrung in der (Teil-) Projektleitung und die Fähigkeit, Arbeitspakete zu strukturierenEinen herausragenden Studienabschluss mit quantitativer Ausrichtung, wie z.B. Statistik, Informatik oder angewandte MathematikFundierte Expertise in der Programmierung von Algorithmen und statistischen Modellen mit Python und/oder RSpaß am datengetriebenen Arbeiten an der Schnittstelle von strategischer & technischer Analyse und UmsetzungHohe Zuverlässigkeit, Teamgeist und Fit für eine weltweit führende ManagementberatungAusgeprägte Präsentations- und Moderationsfähigkeiten sowie sehr gute MS-Office-KenntnisseExzellente Deutsch- und Englischkenntnisse
Die ausgeschriebene Vakanz ist ganzjährig zu besetzen. 
Wir freuen uns über Ihre vollständige Bewerbung ausschließlich über unser Bewerbungsportal unter Angabe Ihrer Gehaltsvorstellung, des frühestmöglichen Eintrittszeitpunkts sowie Ihrer Standortpräferenz. 
Wenden Sie sich bei Fragen bitte an alena.hilmer@capgemini.com.
    "|https://www.linkedin.com/jobs/view/3179709683|2022-07-24 14:32:11.953166
1|Germany|data scientist|Principal Data Scientist*|NEW YORKER|Berlin, Germany|1 month ago|26 applicants|On-site|Full-time|Associate|10,001+ employees|Retail Apparel and Fashion|"
          Zur Verstärkung unseres Teams suchen wir dich als Principal Data Scientist* 
DAS IST DER JOBUmsetzen von unternehmenskritischen Projekten im Bereich Data Science und Sicherstellen einer passenden ArchitekturLeiten eines Projektteam aus hochmotivierten Data Scientists in der technischen Umsetzung und Feedback geben Feedback durch ausgezeichnete Code ReviewsÜbersetzen von Business-Anforderungen in mathematische FragestellungenEnde-zu-Ende Entwicklung und Operationalisierung von Machine Learning ModellenDurchführen von explorativen Analysen von strukturierten und unstrukturierten Datensätzen + Feature EngineeringDefinieren und Entwickeln neuer Data Science AnwendungsfälleStetiges Verbessern der Effizienz des gesamten Teams durch Mentoring der Kollegen und Weiterentwicklung des ToolingsMitwirken bei RecruitingentscheidungenEigenverantwortlicher Austausch und Zusammenarbeit mit anderen Fachbereichen

DAS ÜBERZEUGT UNSAbgeschlossenes Studium der Mathematik, Statistik, Informatik, Physik, Informatik oder eines vergleichbaren Studiengangs mit mindestens 4 Jahren BerufserfahrungAusgezeichnete Kenntnisse in Machine Learning und Statistik, Promotion ist von VorteilDer richtigen „Riecher” um Machine Learning Modelle zu debuggen und Datenproblemen auf die Spur zu kommenHerunterbrechen komplexer Anforderungen und Projekte in verständliche Aufgaben für das Team, Priorisieren und nie die Unternehmensziele aus dem Blick verlierenHervorragende Kenntnisse in Python, Git und der Linux KommandozeileViel Erfahrung im Umgang mit Open Source Machine Learning Bibliotheken wie scikit-learn, PyTorch, sowie Werkzeuge wie Jupyter und Pandas, Spark, Hadoop und SQL sowie dem Einsatz moderner SoftwareentwicklungsmethodenInteresse an Forschungs- als auch Informatikaspekten von Data Science, sowie an neuen Forschungsergebnissen mit der Bereitschaft, Neues zu erlernenTeamplayer, Schulen und Leiten von Kollegen sowie Hands-On MentalitätFließende Deutsch und Englisch Kenntnisse

UNSER ANGEBOT:
Als inhabergeführtes Unternehmen mit über 1.100 Filialen in 47 Ländern weltweit und Hauptsitz in Braunschweig vereint NEW YORKER die flachen Hierarchien eines Familienbetriebs mit der Internationalität eines Großkonzerns. Das Tech-Office in Berlin verbreitet eine internationale Start-Up-Atmosphäre während an hochaktuellen technischen Projekten gearbeitet wird. Kurze Entscheidungswege und viel Spielraum für eigene Ideen ergeben ein einzigartiges Arbeitsumfeld, in dem du dein Talent gewinnbringend zum Einsatz bringen kannst. Wenn du Teil unseres Teams aus über 21.000 Mitarbeitern werden möchtest, bewirb dich jetzt online in weniger als zehn Minuten!
*Dein Geschlecht spielt für uns keine Rolle – Hauptsache, du passt zu uns! Aus Gründen der leichteren Lesbarkeit verwenden wir bei personenbezogenen Begriffen im Text die männliche Form. Aber NEW YORKER ist offen für alle Menschen, die zu unserem Unternehmenserfolg beitragen möchten.
    "|https://www.linkedin.com/jobs/view/3057948220|2022-07-24 14:32:20.391791
2|Germany|data scientist|Senior Data Scientist (m/w/d)|flaschenpost SE|Cologne, North Rhine-Westphalia, Germany|2 weeks ago|12 applicants|Hybrid|Full-time|Associate|10,001+ employees|Food and Beverage Services|"
          Spannend, aufstrebend und verdammt schnell – wir sind flaschenpost!Wir liefern innerhalb von 120 Minuten die Getränke zu unseren Kunden - und das bis an die Wohnungstür!Gemeinsam mit rund 13.500 Kollegen schaffen wir es, eine komplette Branche neu zu erfinden und liefern von unseren > 30 Standorten mittlerweile 7.000.000 Bestellungen pro Jahr in über 170 Städten aus. Seit dem Jahr 2016 sind wir unaufhaltsam dabei, ganz Deutschland zu erschließen. Dazu suchen wir entschlossene Visionäre, um gemeinsam die Erfolgsgeschichte der flaschenpost fortzuführen.Im Zuge unseres weiteren Wachstums und geplanter Expansionen suchen wir eine/n 
Senior Data Scientist (m/w/d)

mit Leidenschaft, Motivation und Ergebnisorientierung.
 Dein VerantwortungsbereichDu arbeitest eng mit sämtlichen Abteilungen der flaschenpost, insbesondere Logistics Operations Mangement und Human Resources, zusammen und übst dabei hauptsächlich folgende Aufgaben aus:
Du verantwortest die Weiterentwicklung von Vorhersagemodellen und komplexeren Analytics LösungenDu stellst Lösungen in einer Cloudumgebung (insbesondere Azure) bereitDu entwickelst in deinem Arbeitsalltag Data Mining-, statistische Modellierungs- und Machine Learning-AnsätzeDu testest und bewertest neue Methoden, Technologien und Best Practices vor dem Hintergrund der Verwendung im UnternehmenDu suchst aktiv nach weiteren möglichen Anwendungsfällen für den Bereich Data ScienceDu stimmst Dich kontinuierlich mit relevanten Fachabteilungen zu aktuellen Themen und Aufgabenstellungen ab
Das bringst du mit:
Du hast ein Studium der (Wirtschafts-)Informatik, Mathematik oder Physik mit relevantem Schwerpunkt erfolgreich abgeschlossenDu verfügst über mehrjährige relevante Berufserfahrung im Bereich Data Science und hast ein umfassendes Verständnis von Aufgabenstellungen, Methoden, Tools und TechnikenDu bist Experte im Einsatz von Python und bringst ein tiefes Verständnis für Datenbankstrukturen und Datenaufbereitung mitDu hast Erfahrung mit Optimierungsmethoden, idealerweise im Anwendungsbereich der LogistikDu besitzt die Fähigkeit, komplexe Zusammenhänge zwischen unseren Geschäftsprozessen und verschiedensten Daten zu erkennen und zu visualisierenStrategische Intelligenz gepaart mit unternehmerischem Denken sowie Hands-on Mentalität zeichnen Deinen Arbeitsstil ausDu hast Spaß daran, eigenständig Prozesse zu gestalten und zu optimieren
Das bietet dir die flaschenpost:
Work-Life-Balance: Gestalte flexibel deine Arbeitszeit und profitiere von einem anpassungsfähigen Arbeitsmodell, aus Office und Mobileoffice. Zudem bekommst du bei uns 30 Urlaubstage, welche du dir frei einteilen kannst.Flache Hierarchien: Der Startup-Spirit bleibt. Wir setzen auf kurze Kommunikationswege, ein offenes Miteinander und Eigenverantwortung mit spürbarem Impact für unsere Kunden und das UnternehmenTeamspirit: Wir arbeiten eng und motiviert an gemeinsamen Zielen und wachsen täglich über uns hinaus. Sei dabei und werde Teil einer starken Gemeinschaft, die auch nach Feierabend soziale Events schätztWohlfühlgarantie: Bei uns geht keiner zum Lachen in den Keller. Wir legen großen Wert auf ein offenes Miteinander und kombinieren harte Arbeit mit ehrlichem Spaß, bieten Getränke für deinen Geschmack und auch dein Hund ist herzlich willkommenEntwicklungsmöglichkeiten: Durch spannende Aufgaben und viel Gestaltungsspielraum bieten sich für dich vielfältige und langfristige Entwicklungs- und Karriereperspektiven in einem wachsenden jungen UnternehmenInnovation & Tech-Fokus: Wir denken den Lebensmittelsektor neu. Unsere Ideen sind datengetrieben und kundenorientiert. Durch regelmäßige IT-Events bleiben wir im Tech-Bereich stets auf dem neuesten Stand

Wir haben dich überzeugt und du möchtest unseren Erfolg aktiv mitgestalten? Dann freuen wir uns auf deine Bewerbung über unser Onlineformular.
    "|https://www.linkedin.com/jobs/view/3159426899|2022-07-24 14:32:32.823317
3|Germany|data scientist|(Senior) Data Scientist - Team ECommerce Data Services (m/f/d)|Flix|Munich, Bavaria, Germany|3 days ago|9 applicants| |Full-time|Mid-Senior level|1,001-5,000 employees|Travel Arrangements|"
          We're looking for a driven (Senior) Data Scientist who will help us shape our team, drive the company to the next level, and have the most direct influence on our success. The team you will be joining is responsible for providing data services within the eCommerce domain. This includes fraud prevention tools, anomaly detection systems, customer behaviour prediction, and others. Working alongside data scientists and engineers from your team, you provide tools and infrastructure for data-intensive products to improve the company performance across the domain.

 Your Tasks – Paint the world green  Work in a cross-functional, general-purpose data science team within Flix E-Commerce Domain that focuses on building data driven products to enhance customer experience and improve the overall performance of the domain systems.Support the team by bringing data products to production, employing a wide range of data science and machine learning methods, and working with diverse data sources.Drive projects through their whole life-cycle: from use-case generation, to developing a proof-of-concept, to production phase and handover, such as Anomaly Detection, Fraud Prevention, personalized recommendations, etc.Have the opportunity to impact the company’s strategy by independently driving initiatives that contribute to the companies success.Collaborate with business and technology stakeholders from inside the E-Commerce Domain to evaluate data sources, techniques and tools as a part of Flix decentralized data organization. Tech StackPython (pandas/numpy/scikit-learn, etc.)PyTorch (DGL)AWS/Kubernetes (development and deployment)Snowflake/Kafka (data storage/source/processing)
 Your Profile – Ready to hop on board 
Proven track record of applying data science methods to business problems in an industry context.Experience in communicating to a broad range of stakeholders and presenting technical results to them in a clear and effective way.Proven experience with a wide variety of machine learning models and techniques applied to a broad range of problems.Solid programming skills in Python or R with corresponding data ecosystem packages.An analytical mindset and the ability to deliver actionable insights from data.Good knowledge of SQL.Hands on attitude, collaborative mindset, translate and simplify abstract logic into tangible artefacts for stakeholders (storytelling)Experience with AWS cloud infrastructure is a plusExperience working with large data streaming technologies like Kafka and Spark are a plus
 Our Perks – More than just a job 
You have an impact. With innovation and smart technology, we are creating the easiest way to travel. We want your ideas and give you autonomy to make them reality. Flix is flexible. Organize your own schedule, and balance work between the office and home as it’s best for you. We give you trust-based hours and a flexible smart working policy. Travelling is our passion. Discover the world with your free Flix rides and bring along your friends and family for half price. Teamwork makes the dream work. Our FlixTeam has people from over 80 different nations. We work in a multicultural environment where we can challenge and support each other. We're not only green in color. We’re building for the long term, and that means protecting our planet. We constantly test new green technologies and compensate for the CO2 after all our business travel since 2018. Your well-being is important to us. To treat your mind and body we will give you a competitive paid time off package, mental health support including 1:1 consultations with a psychologist, and a neat discount on UrbanSportsClub memberships.
Want to rewrite the history of mobility with us? Then join our ride and apply now. We're excited to hear from you!

Flix – A place to enjoy work and have an impact

The future of transportation is Green. Here at Flix Tech, the R&D group, we develop software with the brightest minds from around the world to engineer new experiences for our millions of customers across our apps and websites. Every day we solve challenging problems, like how to scale rapidly around the world and how to make an experience that delights our customers. We have a culture of sharing ideas, contributing to open source projects and being an active member in our technical communities.

Flix is proud to be an Equal Opportunity Employer. We celebrate diversity and do not discriminate on the basis of race, color, religion, gender (including pregnancy and gender identity), national, social or ethnic origin, political affiliation, sexual orientation, marital status, disability, age, veteran status, or other legally protected characteristics. All employment decisions are based on business needs, job requirements, competence and merit.
    "|https://www.linkedin.com/jobs/view/3179179749|2022-07-24 14:32:47.213862
4|Germany|data scientist|Data Scientist (m/f/d) remote or on-site|HolidayCheck Group AG|Germany|3 days ago|192 applicants|Remote|Full-time|Associate|201-500 employees|Travel Arrangements|"
          Do you want to help us redefine the online travel business? At HolidayCheck, our vision is to make vacation better. We leverage data and technology to create real value for our customers, who are looking for their dream vacation. Within our data lake, we process millions of offers every day, we run hundreds of jobs to fuel reports and dashboards that drive our decision making and product features. We work on exciting features such as review fraud detection, hotel/ offer recommendations, customer segmentation, hotellist ranking, NLP review information extraction, sentiment analysis etc.
If you are a skilled data scientist with a particular edge on clickstream/user behavior data, come and help our outstanding team in Munich, DE, in Bottighofen, CH, in Poznan, PL.
Your Tasks:You will interact closely with other data scientists and become a valuable part of our data intelligence team You will closely monitor user-behavior patterns on our platform and draw insights for our business and our product teamsYou will conduct and collaborate on A/B tests and their evaluations to help us understand better how we are performingYou will turn data into insights that make a difference in becoming the most Urlauber-friendly company in the worldYou will collaborate in cross-functional teams to create new products and bring data-driven improvements to our website and servicesYou will proactively evangelize the use of data and analysis across the company
Our Team:Our team operationalizes data for our customers and internal stakeholders. Some of our projects are: hotel recommendations, deals/offer selection, hotel reviews information extraction, customer segmentation etc.We are an international team at multiple locations across Central EuropeOur main programming language is Python
What we are offering youAn open-minded and international culture with over 20 nationalities, flat hierarchies, short decision-making processes and an open 360-degree feedback cultureA motivated and passionate international team that looks forward to working with youWe love new ideas! With us, you have the opportunity to freely express your opinion and ideas and to shape your own area of responsibilityYou will receive regular training opportunities and a comprehensive HolidayCheck onboarding program for a perfect start on your personal journey at HolidayCheckEarly bird or rather night owl? With us you can flexibly arrange your working hoursWe support young families, e.g. with a daycare subsidyChoose your hardware: Windows, MacOS or LinuxAnd much more!
What you need to succeedYou love crunching data in creative ways and with a clear focus on business problems and you have an entrepreneurial and pragmatic mindset You are an expert in SQL and BigQuery; e.g., you are no stranger to window functionsYou have a proven track record of successfully applying statistical methods to real-world user data (web analytics)You feel comfortable with Python (preferably) and/or R and you have experience with A/B testing setups and toolsYou are familiar with setting up dashboards (ideally with Google Datastudio)and are able to boil down the essence of complex problem settings into creative, simple, and right approaches to solutionsYou are a team player that enjoys collaborating with others. You are interested in pair programming, sharing knowledge, and learning from each otherYou have excellent communication skills, including the ability to present your work in layperson terms as well as visualizing your core metricsYou are fluent in English. German is a plus
What does your hiring journey look like? You can find all the details about what your hiring journey will look like at our tech blog post Hiring @ HolidayCheck (https://techblog.holidaycheck.com/post/2022/02/02/hiring)Get to know our different HolidayCheck Product Teams by checking out our blog post Engineering, Product & Design Teams (https://techblog.holidaycheck.com/post/2022/02/01/engineering-product-design)
If we have sparked your interest and you would like to revolutionize the travel market with us, we are looking forward to receiving your application!
    "|https://www.linkedin.com/jobs/view/3180955947|2022-07-24 14:33:00.245498
5|Germany|data scientist|Senior Data Scientist (m/f/d)|QIAGEN|Hilden, North Rhine-Westphalia, Germany|1 day ago|7 applicants| |Full-time|Associate|5,001-10,000 employees|Biotechnology Research|"
          

Position Description

The Digital Accelerator of QIAGEN was founded to lead QIAGEN’s digital transformation along the value chain, ensuring better connection with customers, investing in new businesses & technologies and building digital capabilities. The Data Science team is the cornerstone of this transformation and is looking for a new team member.

 Lead and take ownership of individual data science projects to reach the agreed goals within the required timeline Utilize advanced analytical methods and develop algorithms/models to extract insights from diverse data sources that drive business across the whole value chain Interact with key-stakeholders (technical and non-technical) to understand their needs and translate those needs into precise analytical solutions to inform strategy and decision making Clearly and concisely communicate analytical solutions and results to (non-)experts Entrepreneurial mind-set: proactively identify new opportunities where data science could bring value in terms of technical improvement and/or business impact  

At the heart of QIAGEN are our people who drive our success. We act with passion, always challenging the status quo to drive innovation and continuous improvement. We inspire with our leadership and make an impact with our actions. We create a collaborative, safe and engaging workplace which forms the basis for high performing individuals and teams. We drive accountability and entrepreneurial decision-making and want you to excel your growth and shape the future of QIAGEN.

 QIAGEN is committed to creating a diverse environment and is proud to be an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, sex, age, national origin, religion, sexual orientation, gender identity, status as a veteran, or disability.


    "|https://www.linkedin.com/jobs/view/3180503018|2022-07-24 14:33:20.704586
6|Germany|data scientist|Data Scientist/Analyst im Bereich prüfungsnahe Beratung/Quants -Assurance(Financial Services)(w/m/d)|EY|Eschborn, Hesse, Germany|1 week ago|31 applicants| |Full-time|Entry level|10,001+ employees|Accounting|"
          Das erwartet dich bei uns – Erfahrungen, von denen du ein Leben lang profitierst

Unser Bereich Financial Services fokussiert sich auf Finanzdienstleistungen und unterstützt Banken, Versicherungen und Asset Manager dabei, in einer sich stets verändernden und schnelllebigen Welt erfolgreich zu sein. Im Umfeld bilanzieller, regulatorischer und marktbezogener Anforderungen arbeiten in dem Bereich Financial Accounting Advisory Services interdisziplinäre Teams, die ganzheitlich maßgeschneiderte Lösungen für unsere Mandant:innen aus dem Finanzdienstleistungssektor entwickeln. Du verstärkst uns in Frankfurt/Main mit bilanzieller, aufsichtsrechtlicher und/oder quantitativer Expertise, um innovative Ideen für unsere Mandant:innen zu entwickeln und umzusetzen. Dabei übernimmst du vielfältige Aufgaben:
Beratung und Prüfung nationaler und internationaler Unternehmen des Finanzsektors innerhalb einer Gruppe quantitativ ausgebildeter, innovationsstarker Expert:innenEntwicklung kreativer Lösungen zur Nutzung unausgeschöpfter Datenpotenziale (z. B. Einsatz von Machine Learning)Etablierung globaler, cloudbasierter Services für quantitative Themen (z. B. Pricing und Analyse großer Portfolios von Finanzinstrumenten)Modellierung und Automatisierung komplexer betriebswirtschaftlicher ZusammenhängeBegleitung von Rechnungswesen und Risikomanagement auf dem Weg in die Finanzwelt der Zukunft

Das bringst du mit – Fähigkeiten, mit denen du die Zukunft gestaltest
Abgeschlossenes Studium mit quantitativem Schwerpunkt (z. B. Mathematik, Statistik, Physik, Informatik) und Erfahrung im Bereich Datenanalyse (u. a. Machine Learning, Natural Language Processing)Sicherer Umgang mit einer Programmiersprache (z. B. C++, Java, PHP, Python, Ruby) und/oder einem Datenbanksystem (z. B. SQL, SAS, MongoDB)Idealerweise erste praktische Erfahrungen (Praktikum oder Werkstudierendentätigkeit)Teamplayer:in mit Engagement und hohem Verantwortungsbewusstsein sowie Interesse an komplexen betriebswirtschaftlichen ZusammenhängenSehr gute Kommunikationsfähigkeiten in Deutsch und Englisch

Das bieten wir dir – ein inspirierendes Arbeitsumfeld

Bei EY setzen wir alles daran, dass die Welt besser funktioniert. Dafür hinterfragen wir täglich den Status quo und suchen schon heute die Antworten von morgen. Stillstand? Keine Option. Wandel? Sehen wir als Chance und Treiber für Innovation.

Wenn du auch so tickst, dann bist du bei uns genau richtig. Wir suchen Macher:innen, die Unternehmen, Entrepreneuren, Privatpersonen und der öffentlichen Hand helfen, über sich hinaus zu wachsen. Das erfordert Zusammenarbeit auf Augenhöhe und das Verlassen ausgetretener Pfade. Diese beschreitest du als Teil von interdisziplinären Teams – innovativ und multikulturell aufgestellt in Deutschland, Europa und der ganzen Welt.

Damit auch du persönlich und beruflich über dich hinauswächst, begleiten wir dich auf deinem Karriereweg mit auf dich zugeschnittenen Arbeitsmodellen sowie Trainings- und Entwicklungsmöglichkeiten on- und off-the-Job. Das Tempo und Ziel auf deinem Weg bestimmst du selbst.

Wir wissen: Erstklassiger Service für unsere Mandant:innen und Kund:innen beginnt bei zufriedenen und motivierten Mitarbeitenden. Deshalb reicht unser Angebot von flexiblen Arbeitsmodellen, Auslandeinsätzen und Weiterbildungen über Sport- und Freizeitangeboten bis hin zu Rabatten bekannter Marken und Anbieter sowie Altersvorsorge. Erfahre mehr über deine Benefits bei EY.

Du hast Lust was zu bewegen? Dann werde Teil unseres Teams. 

Bewirb dich jetzt über unser Jobportal: www.de.ey.com/karriere.

Mehr Informationen zum Bewerbungsprozess bei EY findest du auf unserer Karriereseite.

Weitere Informationen zu Financial Services findest du hier.

Deine Fragen beantwortet gerne unser Recruitment Center unter: +49 6196 996 10005.

Was andere über uns sagen, findest du auf kununu und Glassdoor.
    "|https://www.linkedin.com/jobs/view/3051581589|2022-07-24 14:33:35.044827
7|Germany|data scientist|Reserve-Aktuar / (Wirtschafts-)Mathematiker / Data Scientist (m/w/d)|Ampega|Hannover, Lower Saxony, Germany|2 days ago|2 applicants|Hybrid|Full-time|Associate|201-500 employees|Financial Services|"
          Ihre Aufgaben:Erstellung und Bearbeitung aktuarieller Schadenreserveanalysen nach IFRS 4 und IFRS 17Koordination mit den internationalen NiederlassungenBerechnung der Schaden- und Prämienrückstellung nach Solvency IIMitwirkung bei der Weiterentwicklung der weltweiten Reservierungssystematik für die HDI Global Specialty SEMitarbeit in ProjektenWeiterentwicklung des Berichtswesens, inkl. AutomatisierungAd-hoc-Analysen für relevante Stakeholder wie Vorstand oder versicherungsmathematische Funktion
Ihr Profil:Erfolgreich abgeschlossenes Masterstudium der (Wirtschafts-)Mathematik oder vergleichbare QualifikationIdealerweise 2-3 Jahre Berufserfahrung in der aktuariellen Reservierung (Non-Life)Ausbildung zum Aktuar (m/w/d) DAV oder die Bereitschaft diese zu erwerbenIT-Affinität und sicherer Umgang mit Datenbanken und Kenntnisse der Reservierungssoftware ResQ und SQL von VorteilGutes analytisches Denkvermögen und Spaß an der Arbeit im Team sowie der interdisziplinären ZusammenarbeitSchnelle Auffassungsgabe und kreative Herangehensweise bei der Lösung komplexer ProblemstellungenSehr gute Kenntnisse sowie routinierter Umgang mit Microsoft OfficeSehr gute Deutsch- und Englischkenntnisse in Schrift und WortBereitschaft zu gelegentlichen Dienstreisen
    "|https://www.linkedin.com/jobs/view/3183519214|2022-07-24 14:33:54.351247
8|Germany|data scientist|Senior Data Scientist / Data Analyst - Logistik|FUNKE|Ruhr Region|2 weeks ago|22 applicants|Hybrid|Full-time|Associate|5,001-10,000 employees|Book and Periodical Publishing|"
          Die FUNKE Mediengruppe ist eins der größten Medienunternehmen Deutschlands mit Standorten in Berlin, Braunschweig, Erfurt, Essen und Hamburg. Die FUNKE Logistik GmbH ist ein Tochterunternehmen der FUNKE Mediengruppe mit langjährigen Erfahrungen in der Presselogistik. Mit Leidenschaft und Spezialisten-Know-how sind wir für eine pünktliche und zuverlässige Zustellung von etwa 15 Millionen Sendungen pro Woche verantwortlich.Wenn dein Herz für Daten schlägt, dann bist du bei uns genau richtig!
Zur Verstärkung unseres Teams in Braunschweig, Erfurt, Essen oder Hamburg suchen wir einen
Senior Data Scientist / Data Analyst - Logistik (m/w/d)Mit flexiblem Dienstort an einem der Standorte und der Option zum mobilen Arbeiten
DEINE AUFGABENDu bist Mitglied des Data Teams im Bereich Logistik und gemeinsam verantworten wir dort alles rund um das Thema Data AnalyticsGemeinsam denken wir Logistik von Grund auf neu und Daten sind dabei einer unserer wichtigsten BausteineOb einfache Analyse, Regressionsmodell oder Neuronales Netz – du setzt das richtige Mittel für den jeweiligen Zweck einDas Ziel verlierst du dabei nicht aus den Augen und leitest konkrete Handlungsempfehlungen aus deinen Analysen abWir haben kniffelige Fragestellungen und du Spaß am Detail – du kannst aber auch „pragmatisch“, wenn die schnelle Lösung gefordert ist
DEIN PROFILDu hast mindestens drei Jahre Berufserfahrung und begeisterst dich für Daten und Analysen – aber für die Business-SeiteEntweder bist du bereits Experte in logistischen Prozessen – oder du hast den unbedingten Willen einer zu werdenDu beherrschst den direkten Umgang mit Daten mittels SQL und du hast Erfahrung mit mindestens einer Programmiersprache wie Python oder RDu hast bereits praktische Erfahrungen mit Data Science oder Machine Learning gesammelt und idealerweise auch mit geographischen DatenDu bist kommunikativ und offen, fokussierst dich auf deine Ziele und hast ein hohes Maß an Eigenantrieb
DEINE BENEFITSViel Gestaltungsspielraum: Wir denken Daten gerade neu und du darfst mitgestaltenTeamwork: Dich erwarten dynamische Teams, kurze Kommunikationswege, eine offene Feedbackkultur und ein herzliches MiteinanderEntwickle dich mit uns: Starte mit deinem individuellen Coaching, Workshop oder (Online)-Training durch und nutze unsere zahlreichen Weiterbildungsmöglichkeiten im Bereich Data Science & Data EngineeringHalte dich fit und gesund: Profitiere von unseren Kooperationen mit verschiedensten Fitnessstudios und lass dich für deine mentale und körperliche Gesundheit individuell beratenFUNKE Benefits: Flexible Arbeitszeiten, betriebliche Altersvorsorge, Zuschuss zu (E)-Bike-Leasing, Mitarbeiter-Abos, Freianzeigen sowie Corporate Benefits Portal mit zahlreichen Rabatten
    "|https://www.linkedin.com/jobs/view/3151451874|2022-07-24 14:34:07.649106
9|Germany|data scientist|Data Scientist in Big Data & Analytics|Metyis|Munich, Bavaria, Germany|2 weeks ago|111 applicants| |Full-time|Entry level|501-1,000 employees|Business Consulting and Services|"
          What We Offer
Interact with our clients on regular basis to drive their business towards impactful changeUtilize data analytics to solve real-life problems and create new business solutions using insights you createWork in multidisciplinary teams and learn from motivated colleaguesA chance to take responsibility for your work, develop yourself every day and take full ownership of your careerBecome part of a fast growing international and diverse team

Who We Are

We are Metyis. We are a dynamic and forward-thinking consultancy firm that operates across a wide range of industries, creating solutions that are tailored to specific needs. We bring long-lasting impact and growth to our partners and clients.

With our multidisciplinary teams we create bold strategies and innovative solutions that are tailored to our client’s needs and help them capitalizing opportunities. Together we strive to bring long-lasting impact and celebrate collective victories.

At Metyis we share an entrepreneurial mindset, a compelling passion to create, and, more importantly, a firm belief in our partnership-driven business model. This is embedded in our culture and safeguarded as we evolve. Our team counts over 450 ambitious professionals with various backgrounds, spread over several continents. Our work environment unifies creative problem-solving and strategic thinking. We provide resources to visionaries who understand the direction that the world is moving. Tomorrow’s world is data-driven. It is digital. It is international.

Become part of the journey, become part of Metyis. Partners for impact.

What You Will Do
Independently execute data science projects for our clientsSolve problems, disaggregate issues, develop hypotheses and develop actionable recommendations from data and analysisUndertake preprocessing of structured and unstructured dataBuild predictive models and machine-learning algorithmsTranslate analyses to compelling presentationsCommunicate and interact with clients at the executive levelCollaborate with engineering and product development teams.

What You’ll Bring
2-8 years of professional work experience in advanced analytics domainExpertise in R, SQL and Python required. Good to have exposure to Spark and other Big Data TechnologiesExposure to analytics for business functions such as operations, supply chain, pricing, marketing, CRM is a plusFamiliarity with consulting firms preferredFluent in German and EnglishPioneer at heart, eager to look beyond the obvious and getting it doneBased in Munich and open to travel on project demand across Europe
    "|https://www.linkedin.com/jobs/view/2986049664|2022-07-24 14:35:01.030860
