id|country|searchterm|job_title|company|job_location|time|applicants|workplace|working_time|job_level|company_size|industry|job_details|job_url|timestamp
0|Poland|Fullstack Developer|.NET Fullstack Developer (React)|Sigma IT Poland|Poland|2 weeks ago|7 applicants|Remote|Full-time|Associate|51-200 employees|IT Services and IT Consulting|"
          Sigma IT Poland is a division within DANIR AB – an IT consulting and R&D company. We opened our Wroclaw office in 2017 and we are now a 120+ crew. We have the opportunity to work with world-renowned brands from Scandinavia, the USA, the UK, and Western Europe. Our goal is to grow strong but rather in competencies than in numbers.If you like what we do, see our offer, maybe it is you we will have the pleasure to meet! :)
We are looking for a Fullstack Developer with React and .NET (.NET 5.0, planned migration to .NET 6.0) to join a team working on a project for a world-leading supplier of power solutions for marine and industrial applications. As a Fullstack Developer you will work on the solution built on microservice-based architecture with SiteCore CMS, two headless frontends, and integration via API integration platform to source systems of needed data i.e. parts data, user data, dealer data, price files, etc.
You might be the perfect match if you have experience with: Typescript in a strictly typed environment;Redux and pub/sub-architectures;Hooks-based functional React;Modern responsive CSS;Routing on the client side including react-router;CRA and it's limitations;Git-expert and used to cooperate with several developers in a common code base;Set-ups and configurations of Front-ends including related DevOps.Moreover, we appreciate skills in these areas:Experience with testing frameworks like Cypress, testing-library, or similar;Development experience in .NET Core;Familiarity with Microservices Development;Knowledge of REST-based APIs;Familiarity with Azure DevOps / CI/CD, Azure Cloud;Document DB and SQL;Postman / Automated testing.By joining us, you gain:Exciting projects, multinational and inspiring environment for talented IT professionals. Various projects in diverse, cutting-edge industries. Biotech, Automotive, Internet of Things, or AR/VR;Code review done by skilled engineers (over 60% of our team are people with over 5 years of experience in the industry);Becoming a part of a team of motivated individuals, that are here to stay. We value loyalty – as you grow, we grow with you;Respect for your private life so you don't have to work overtime or on weekends;Online and offline events – let's know each other better!
Perks and benefits:Fully remote work from your convenience or in our office in Wrocław;Choice of employment form: we offer B2B or employment contract;Free benefits such as Luxmed, Multisport, life insurance in Nationale Nederlanden;Attractive referral system (8k for senior, 5k for mid, 2k for junior);Personal development through the training budget and transfer of knowledge;Flexible working hours with no micro-management approach. Our core hours are 9-15, the rest of the working time is your decision;We provide high-quality work equipment + 2 additional monitors and accessories.
Budget for this position:Employment contract: 19 500 – 21 000 PLN gross/monthB2B: 23 500 – 25 200 PLN net/month + VAT
If you apply for this position and match our expectations, then:1) You will be invited to talk with Krzysiek.2) You will have technical interview with our client.Submit your application online in one easy step! Apply now!
    "|https://www.linkedin.com/jobs/view/3164112615|2022-07-25 11:54:20.015467
1|Poland|Fullstack Developer|FullStack Developer|ASTEK Polska|Poland|3 weeks ago|11 applicants|Remote|Full-time|Associate|1,001-5,000 employees|IT Services and IT Consulting|"
          W związku z rozwojem firmy ASTEK Polska, poszukiwana osoba na stanowisko Fullstack Developer'a!

Lokalizacja: 100% zdalnieStawka: 900- 1350zł netto + VAT / dzień B2B (oferujemy również UOP)
Zakres odpowiedzialności:- implementacja nowych i rozwój istniejących funkcjonalności- uczestnictwo w procesie analizy, projektowania, implementacji oraz testowania nowych funkcjonalności- planowanie i implementacja poprawek- współpraca z całym zespołem, proponowanie oraz budowanie nowych funkcjonalności- dzielenie się wiedzą i doświadczeniem z zespołem
Czego będziemy oczekiwać od Ciebie:- minimum 2 letniego doświadczenia na podobnym stanowisku- znajomości: JS, HTML, CSS, Angular, TypeScript, Bootstrap- wiedzy z zakresu HTTP, REST- znajomości SCRUM- umiejętności pisania testów jednostkowych- znajomości systemu kontroli wersji git- znajomości budowania kodu w procesie CI/CD- znajomości i umiejętność budowania kontenerów Docker- znajomości języka angielskiego na poziomie B2/C1

Mile widziane:- znajomość PHP, Symfony, NodeJS, NestJS, Kubernetes, Kafka- doświadczenie w komunikacji z bazą Oracle
Jeśli powyższa oferta Cię zainteresowała, zapraszam do kontaktu ze mną: nszpilewska@astek.pllubAPLIKUJ!
ASTEK Polska jest częścią dynamicznie rozwijającej się międzynarodowej Grupy ASTEK. Specjalizujemy się w outsourcingu kadry IT oraz realizacji projektów informatycznych. Zatrudniamy doświadczonych specjalistów dla liderów z obszarów bankowości, ubezpieczeń, telekomunikacji, hi-tech, farmacji i logistyki w Polsce i za granicą.
    "|https://www.linkedin.com/jobs/view/3148459235|2022-07-25 11:54:33.599912
2|Poland|Fullstack Developer|FullStack Developer|EQTek|Krakow Metropolitan Area|1 week ago|3 applicants|On-site|Full-time|Associate|201-500 employees|Financial Services|"
          Equiniti is a leading UK and US Business Process Outsourcer and Financial Technology provider.

As a leading provider of complex administration and payments solutions we have a track record of enabling our clients to improve the effectiveness and performance of their businesses through the critical thinking, expertise, technology, complex administration and payment services we provide.

Our services are delivered by over 5,000 employees worldwide. This enables us to offer solutions that are flexible, adaptable and scalable. We process £160 billion in payments every year. Our services benefit 30 million people worldwide.

Our mission is making complex things simple and we are always looking for talented people to help make that happen and underpin our continued growth.

This is an exciting opportunity to join an expanding and dynamic software delivery team within the Equiniti Group’s Shared IT department focusing on its core global platforms.

Role Summary:

This is an excellent opportunity for a Junior Full Stack Developer working with C# in a .NET environment. Working as part of a small team you will primarily be working on the delivery of n-tier solutions across all of the organisation’s internal applications, from small changes to existing applications to large projects, and involves support of production applications.

Core Duties/Responsibilities:

The successful candidate will be responsible for undertaking the following activities;
Understand requirements and design specifications.Contribute to technical design discussions, prototypes and investigationsDeliver quality software following coding, accessibility and cross browser standardsUnit test and integration test software as appropriate.Document as required by project/team leadsResolve issues found in formal test iterationsRegularly report progress, issues and any impediments via stand-ups, time/task recording tools and with team leads and project management.Maintain a high degree of knowledge on current technologies, tools and design patterns.Develop and maintain effective working relationships with colleagues and stakeholders across Equiniti UK and Equiniti India delivery teams.Adhere to all Regulatory, Security and Compliance requirementsRespond to production support issues within agreed SLAsDetermine root cause of production issues and propose solutions to resolve the immediate and any longer term problems, liaising with other teams as necessary.
Skills, Knowledge & Experience:

The successful candidate will demonstrate the following experience skills and behaviours:

Required:
.NET C#Microsoft Visual StudioAn understanding of modern development patterns and practicesExperience in use of code management tools, in particular Team Foundation ServerJavaScript/jQueryMS SQL ServerT-SQLASP.NETWCF servicesFlexible, independent and self-motivatedAbility to communicate about IT and technology in plain-English and in non-technical terms to colleagues and Clients.Ability to work calmly and methodically when under pressure
Nice to have:
REST servicesMVCXML, XSLT and JSONExperience with Responsive frameworksWeb Accessibility standardsWeb Security principles.Other JavaScript FrameworksIISMS SharePointUmbraco CMSExperience of V-Model and agile methodologies across multiple projects.Experience of working in high volume ecommerce or financial services background.
    "|https://www.linkedin.com/jobs/view/3141492543|2022-07-25 11:55:09.813637
3|Poland|Fullstack Developer|Fullstack Developer|Connectis_|Poland|1 week ago|3 applicants|Remote|Full-time|Mid-Senior level|201-500 employees|IT Services and IT Consulting|"
          ✅ OPIS STANOWISKA:
Udział w projekcie „Smart Automation” mającego na celu zoptymalizowanie procesów biznesowychDokonywanie zmian w odpowiedzi na potrzeby biznesowe w istniejących systemach bankowych, przykładowe zmiany – generowanie zielonej karty w sposób automatyczny, zamiast pisania danych na druku papierowym, wykorzystanie modułu OCR do weryfikacji danych przesyłanych do systemu korowegoWspółpraca z zespołem składającym się obecnie z 8 Java Developerów, 4 Analityków, 4 Testerów

✅ WYMAGANIA:
Min. 5 lat doświadczenia z technologią Java oraz 2 lata z technologią AngularZnajomość technologii: Springboot, Hibernate, Web Services (Soap i REST), JavaScript, CSS, HTML, CI/CD (Git, Jira, Jenkins, Maven), Vue.js, AngularZnajomość języka angielskiego na poziomie czytania i opisywania dokumentacjiMile widziane doświadczenie w pracy w obszarze ubezpieczeń


✅ OFERUJEMY:
5 000 zł za każde polecenie Specjalisty do naszych projektówAtrakcyjną karierę w szybko rozwijającej się organizacjiIndywidualnego opiekuna po stronie Connectis_Proces rekrutacyjny przeprowadzony zdalnieDługofalową współpracę, forma B2BPakiet sportowy oraz medyczny
    "|https://www.linkedin.com/jobs/view/3166634066|2022-07-25 11:55:22.702526
4|Poland|Fullstack Developer|Fullstack Developer|HeadHR|Lodz Metropolitan Area|15 hours ago|9 applicants|Hybrid|Full-time|Mid-Senior level|1-10 employees|IT Services and IT Consulting|"
          Fullstack Developer (Remote)15000-20000 PLN miesięcznie (B2B)Optimo Development sp. z o.o.
Remote Fullstack Developerprojektowanie, rozwijanie i utrzymywanie rozproszonych aplikacji webowych do monitoringu i zarządzania komponentami infrastruktury ITtworzenie automatycznych testów jednostkowych i modułowychprzygotowywanie czytelnej dokumentacji technicznejwspółpraca z testerami i programistami
Dołącz do naszego temu jeśli:bardzo dobrze znasz zagadnienia związane z projektowaniem i rozwojem oprogramowaniaznasz Typescript/ES6znasz React/Reduxposiadasz doświadczenie w rozwijaniu projektów przy użyciu MERN/MEANznasz systemu kontroli wersji git/mercurialdobrze znasz Linux-aposiadasz umiejętności analityczne, dociekliwość, asertywnośćdobrze komunikujesz się w języku polskim i angielskim
Docenimy jeśli posiadasz dodatkowo:doświadczenie w rozwijaniu rozproszonych, wysoko wydajnych i skalowalnych aplikacji przy użyciu Kafka/RabbitMQ/NATSznajomość LESS/SCSS, Webpackznajomość ElasticSearchznajomość pakietu Atlassian JIRA/bitbucket
Czego wymagamy?Znajomości:TypeScriptReactLinuxMERN/MEANJavaScriptMile widziane:RabbitMQKafkaJęzyki:PolskiAngielski
Jakie warunki i benefity otrzymasz?15000-20000 PLN miesięcznie (B2B)B2B - Elastyczne godziny pracy (100%)Praca zdalna: Możliwa w całościBudżet szkoleniowyPakiet medyczny, Ubezpieczenie, Pakiet sportowyKawa / Herbata, Zimne napoje, ObiadyParking, Parking rowerowy, Pokój relaksu
AboutJesteśmy Optimo Development – firmą z ponad 6-letnim doświadczeniem, która codziennie dostarcza rozwiązania technologiczne dla setek tysięcy odbiorców na całym świecie! Zagraj z nami do jednej bramki – rozwijając projekty platform zakładów sportowych, gier webowych lub innowacyjnego systemu płatności elektronicznych
    "|https://www.linkedin.com/jobs/view/3179302700|2022-07-25 11:55:32.634249
5|Poland|Fullstack Developer|Fullstack Developer|HeadHR|Wroclaw Metropolitan Area|15 hours ago|2 applicants|On-site|Full-time|Mid-Senior level|1-10 employees|IT Services and IT Consulting|"
          .NET Developer12000-16000 PLN miesięcznie (Umowa o pracę)Grupa Progres
Poszukujemy .NET DeveloperaZakres obowiązków:Tworzenie desktopowych rozwiązań do zbierania, analizy i renderowania danych;Praca w Agile Scrum; Realny wpływ na tworzony produkt; Współpracę z architektami, programistami i inżynierami QA przy tworzeniu nowych rozwiązań używając : C#, .NET Framework 4.8, WinFormsBaz danych: Oracle, SQL ServerUtrzymywanie jakości kodu;
Oferujemy:Stabilne zatrudnienie w oparciu o umowę o pracę i długofalową współpracę ;Pakiet medyczny i prywatną opiekę medyczną, ubezpieczenie na życie;Pracę w międzynarodowym środowisku;Pracę na własnym produkcie;Świetną atmosferę w pracy i zgrany zespół. 
Kogo poszukujemy?Wymagania:3-letnie doświadczenie zawodowe na podobnym stanowisku;Zaawansowanej znajomości technologii: .NET (C#, .NET Framework, Visual Studio)Dobrej znajomości SQL i relacyjnych baz danych;Nastawienie na rozwiązywanie problemów, umiejętność analitycznego myślenia;Zrozumienie wzorców projektowych; Znajomość języka angielskiego oraz polskiego na poziomie minimum B2;Mile widziana:Znajomość C++ (wersja 17+)Znajomość COM
Czego wymagamy w skrócieZnajomości:.NETWindows FormsC#Mile widziane:Oracle SQLC++Języki:PolskiAngielski
Jakie warunki i benefity otrzymasz?12000-16000 PLN miesięcznie (Umowa o pracę)Umowa o pracę - Elastyczne godziny pracy (100%)Budżet szkoleniowy, Szkolenia wewnętrznePakiet medyczny, Ubezpieczenie, Pakiet sportowyKawa / Herbata, Zimne napojeParking, Parking rowerowy
Gdzie będziesz pracował?Robotnicza 42, Wrocław
Kim jesteśmy?Grupa Progres to organizacja z polskim kapitałem, która od 2002 roku oferuje nowoczesne rozwiązania HR dla biznesu. Wspieramy firmy na terenie całej Polski w zakresie pracy tymczasowej, rekrutacji stałych, optymalizacji procesów, doradztwa i szkoleń. NR AGENCJI: 5088
    "|https://www.linkedin.com/jobs/view/3179301758|2022-07-25 11:55:46.598079
6|Poland|Fullstack Developer|Fullstack Developer|ALTEN Polska|Warsaw, Mazowieckie, Poland|1 week ago|5 applicants|Hybrid|Full-time|Associate|501-1,000 employees|IT Services and IT Consulting|"
          We are member of French ALTEN Group present in 25 countries around the world and employing over 34,000 engineers and IT specialists. Since 1988 we deliver advanced IT systems for well-known brands, develop medicine and the renewable energy industry. ALTEN innovates aero and cosmonautics, trains, electric and autonomous vehicles, and even space rockets. We are currently looking for Fullstack Developer  who will join our team.
🧑‍💻 Your challenges 🧑‍💻Propose viable technical solutions to Product Management and/or users for validationDesign systems and perform feasibility studiesModel, design and implement databasesTest and maintain the software, conduct unit, integration, and non-regression tests. Ensure a level of quality in line with guidelinesParticipate in the validation phase of the product cycle, fine-tuning when necessary to finalize the product.Support the customer by debugging existing solutions in collaboration with Product Manager or Product Definition AnalystWork in Agile mode, Scrum Framework & Kanban
🦾 Required skills:🦾Excellent skills on java 1.8 and above, Spring frameworkand Maven, Webservices (SOAP & REST)Strong Object-Oriented development skills with Java, good understanding of design patterns.Hands on knowledge of J2EE specification (Servlet, JSPs and tag libraries)Hands on knowledge of Angular 8+, HTML, CSS, jQuery, JavaScript, AJAXVery good unit testing skills (JUnit, mock libraries, unit testing techniques)Knowledge of good development practices (TDD, principles and patterns, continuous integration)
💵 We offer 💵Stable and long-term cooperationCertification and training opportunitiesPossibility to choose type of contract (B2B also)Benefit package (MultiSport card, Medicover, MyBenefit)Unlimited growth and development opportunityRelocation support & relocation package
🏢 Hybrid work in office in Warsaw 🏢
Do not hesitate and join our team!The recruitment process and work during a pandemic are 100% remote :)
    "|https://www.linkedin.com/jobs/view/3166627910|2022-07-25 11:56:12.014577
7|Poland|Fullstack Developer|.NET Fullstack Developer|Sii Poland|Piła, Wielkopolskie, Poland|2 weeks ago| |On-site|Full-time|Entry level|5,001-10,000 employees|IT Services and IT Consulting|"
          Dla jednego z naszych klientów z sektora energetycznego poszukujemy .NET Fullstack Developera do wdrażanego projektu billingowego. Jest to jeden z największych projektów w Europie i jednocześnie strategiczny projekt transformacji cyfrowej.


Twoje zadania

Programowanie front-end/back-end w C#/.NET/.NET Core/AngularProjektowanie architektury poszczególnych komponentów lub całego rozwiązania z uwzględnieniem zapewnienia komunikacji wewnętrznej oraz zewnętrznejUstalanie zakresu biznesowego z Product Ownerem i Analitykiem, planowanie i estymacja zadańProjektowanie i programowanie baz danychStosowanie dobrych praktyk i wzorców programistycznychTworzenie testów jednostkowych i integracyjnychTworzenie dokumentacji technicznej i powykonawczej 


 Twoje umiejętności

Minimum 2 lata doświadczenia w roli .NET Fullstack DeveloperaDoświadczenie w pracy z .NET Framework, .NET Core, AngularZnajomość ORM (EntityFramework, nHibernate) - HTML5, CSS3, SASS, SCSSBardzo dobra znajomość baz danych SQL 


Nr oferty 220706-JMQKN

Dlaczego Sii

 Najlepsze Miejsce Pracy od 2015 

to dzięki opiniom pracowników otrzymujemy ten wyjątkowy tytuł i ciągle wdrażamy nowe pomysły

 Setki fascynujących projektów 

prestiżowe marki z całego świata, długoletnie umowy i status preferowanego partnera u wielu klientów

 Projekt dopasowany do Ciebie 

Chcesz zmienić ścieżkę kariery? Kończy się Twój projekt? Znajdziemy Ci nowy! Mamy do tego aplikację – Job Changer

 Stabilność zatrudnienia 

1 MLD PLN przychodu, brak długów, od 2006 roku na rynku

 500 000 PLN rocznie na Twoje pomysły 

taką kwotą wspieramy pasje i akcje wolontariackie naszych pracowników

 {axdata: internal_number_workers; 7 000} ekspertów 

Tech Communities i eksperci, od których możesz się uczyć

 Stawiamy na Twój rozwój 

warsztaty, webinary, platforma szkoleniowa i blog technologiczny – Ty wybierasz

 Wyjątkowe, komfortowe biura 

idealna przestrzeń do pracy, integracji, wspólnej zabawy i celebrowania sukcesów

 Otwarta i dostępna kadra menadżerska 

szybki proces decyzyjny, wszyscy jesteśmy na „ty”

 Autentyczne wartości 

to nie puste słowa, kierujemy się nimi każdego dnia

 Fantastyczna atmosfera 

tworzona przez wszystkich Sii Power People

 Bogaty pakiet benefitów 

prywatna opieka zdrowotna, kafeteryjna platforma benefitowa, zniżki na samochody i więcej

Zobacz więcej Pokaż mniej
    "|https://www.linkedin.com/jobs/view/3151446894|2022-07-25 11:56:26.462384
8|Poland|Fullstack Developer|Regular fullstack developer|Luxof|Poland|1 week ago|13 applicants|Remote|Full-time|Entry level|5,001-10,000 employees|IT Services and IT Consulting|"
          Project Description:The team is working with huge international customer on 3D rendering libraries and 3D tools development.Responsibilities: Development web services that make up products for external and internal use; Participation in the choice of service architecture, immersion in the subject area and in particular the implementation of the product; Writing tests for the developed components and their maintenance, automated testing of products.Mandatory Skills Description: Good knowledge of the Python 3.8+ Strong knowledge of relational and non-relational databases (PostgreSQL, MongoDB) Experience with one of the backend frameworks: Django / Flask / FastAPI Experience with RESTful API and Web-Sockets VueJS expertiseNice-to-Have Skills:Jenkins CI/CD AWS / Azure / GCPLanguages:English: B2 Upper Intermediate
    "|https://www.linkedin.com/jobs/view/3174535982|2022-07-25 11:56:35.007306
9|Poland|Fullstack Developer|FullStack Developer|EPAM Systems|Wroclaw Metropolitan Area|6 days ago|26 applicants| |Full-time|Mid-Senior level|10,001+ employees|IT Services and IT Consulting|"
          Striving for excellence is in our DNA. Since 1993, we have been helping the world’s leading companies imagine, design, engineer, and deliver software and digital experiences that change the world. We are more than just specialists, we are experts.
Currently, we are looking for a FullStack Developer for our Wroclaw office to make the team even stronger.
DESCRIPTIONOur program started as a migration of a legacy trading mainframe system to a new modern highly-scalable platform. Currently, we are responsible for the whole fixed income trading platform and a couple of supporting applications. We have teams across several locations (US, Poland, India) working hand in hand on this platform’s further improvements, supporting current and adjusting for the future business needs of fixed income traders and financial advisors.
Our technologies:Back-end: Java 8, Spring (MVC / Boot / Security), Apache Camel, Karaf, XML / XSD, SOAP and REST WebServices, Maven, JMS, KafkaFront-end: ExtJSCI: Jenkins, TeamCityDatabase: Oracle / SQLVCS: Git RESPONSIBILITIESAnalyze functional requirements, clarify with stakeholders if requiredPrepare task estimation and user story decompositionImplement and be responsible for the new functionality end-to-endImprove existing solutions and fix defects being raised by the QA teamParticipate in backlog refinement, planning and demo meetingsDeliver code solutions according to clean-code and TDD principlesDevelop production-ready systems and componentsPerform code reviews and control a code qualityActively participate in solution architecture design and implementation
REQUIREMENTSSolid experience in the development and maintenance of distributed systems with JavaUnit-, integration, functional testing experienceAbility to write clean self-describing codeKnowledge of OOP/OOD principlesKnowledge of design patternsFluent English is a must
NICE TO HAVEUI development skills and JavaScript, ExtJSDomain knowledge: trading, fixed incomeUNIX shell programmingOracle PL/SQL
WE OFFERPossibility to be involved in an international project (Canada, China, Hong Kong, Mexico, USA, Switzerland, Germany, Sweden, United Kingdom, Hungary, etc.).Partial compensation of language classes (English and Polish).Vast opportunities for self-development: online courses and library, experience exchange with colleagues around the world, partial grant of certification.Career development center.Possibility to take part in both: corporate and startup environment.Possibility to relocate for short and long-term projects.Relocation package for those who relocate to Krakow, Wroclaw, Katowice or Gdansk from other locations.Benefit package (health care, multisport, lunch tickets, petrol vouchers and shopping vouchers, etc.).Sponsored sport activities, E-sport program. Please note that only selected candidates will be contacted  We kindly ask you to include the following clause in your application: ""Wyrażam zgodę na przetwarzanie danych osobowych zawartych w niniejszym dokumencie do realizacji procesu rekrutacji zgodnie z ustawą z dnia 10 maja 2018 roku o ochronie danych osobowych (Dz. Ustaw z 2018, poz. 1000) oraz zgodnie z Rozporządzeniem Parlamentu Europejskiego i Rady (UE) 2016/679 z dnia 27 kwietnia 2016 r. w sprawie ochrony osób fizycznych w związku z przetwarzaniem danych osobowych i w sprawie swobodnego przepływu takich danych oraz uchylenia dyrektywy 95/46/WE (RODO)""
    "|https://www.linkedin.com/jobs/view/2481008551|2022-07-25 11:56:50.015991
