id|country|searchterm|job_title|company|job_location|time|applicants|workplace|working_time|job_level|company_size|industry|job_details|job_url|timestamp
0|Portugal|Fullstack Developer|Fullstack Developer|Devoteam|Portugal|1 month ago|33 applicants|Remote|Full-time|Mid-Senior level|5,001-10,000 employees|IT Services and IT Consulting|"
          Fullstack Developer [Remote]
About DevoteamAt Devoteam, we believe that technology with strong human values can actively drive change for the better. Discover how Tech for People unlocks the future, creating a positive impact on the people and the world around us. We are a global leading player in Digital Transformation for leading organizations across EMEA, with a revenue of €652M. We believe in transforming technology to create value for our clients, partners and employees in a world where technology is developed for people. We are proud of the culture we have built together. We are proud of our people at the service of technology. We are proud of our diverse environment. Because we are #TechforPeople. Join our multidisciplinary team of Cloud experts, Designers, Business consultants, Security experts, Engineers, Developers and other extraordinary talents, spread across more than 18 EMEA countries. Become one of our +8.000 tech and business leaders on cloud, data and cyber security. Let’s fuse creativity with technology together and build innovative solutions that actively change things for the better.
About the jobWe are currently looking for a Fullstack Developer to integrate an international project. If this opportunity is for you, apply today!
What we're looking for· Minimum 4 years of experience in developing JAVA;· Minimum 2 years of experience in developing Angular;· Knowledge of JavaScript;· Some working knowledge of NodeJS;· Some working knowledge of Kubernetes or Docker;· Basic Unix Knowledge;· Functional and technical documentation;· High level of analysis capability;· Fluency in English.
Does this sound like you?Come build with us, innovative solutions that actively change things for the better.Apply today to clesia.varandas@devoteam.com
    "|https://www.linkedin.com/jobs/view/3081807068|2022-07-25 10:53:04.543842
1|Portugal|Fullstack Developer|Fullstack developer (.NET/Angular)|Global Blue|Portugal|5 days ago|25 applicants|Remote|Full-time|Mid-Senior level|1,001-5,000 employees|Financial Services|"
          About Us: Global Blue has pioneered the Tax-Free Shopping industry over 40 years ago and millions of consumers have followed. Through continuous innovation, we have become the leading strategic technology and payments partner, empowering merchants to capture the growth of international shoppers and offering a top-notch user experience to our customers.Global Blue offers innovative solutions in three different fields: Tax Free Shopping, Payments services and Complementary RetailTech. In addition, our data services offer a strategic advisory to help retailers identify opportunities for growth, while our shopper experience and engagement solutions provide data-driven solutions to increase footfall, convert footfall to revenue and enhance performance.Our culture is entrepreneurial, we find solutions to problems by thinking outside of the box and by being innovative. It is a fast paced, hands on environment and we are not afraid to try different things. It is a supportive, collaborative and respectful place to be. Being a truly multicultural company, we celebrate our differences and believe that this is what makes Global Blue unique.Today, Global Blue has over 2,000 employees in more than 50 countries.
The role: We are recruiting a Fullstack Developer (.Net/Angular) to join our Engineering team.
What will you do?Development and testing of application’s featuresParticipate actively in technical reviewsImplement best practices, standards, and procedures, including quality and delivery methodologies and ensure compliance with the documented software processes and procedures throughout the life of software productsWork in Agile Team setup of 6-9 membersReport activities accurately to comply with demands of a publicly listed company
What you have: + 3 years of experience in a professional software development work environment.Understanding of OOP concepts and principles and .NET Core+ programming languageExperience with web-based front-end developmentExperience within Agile software development frameworkKnowledge on RESTful APIs developmentExcellent understanding of OOP concepts and principles and .NET programming language skillsDegree in technology-related field (e.g. computer science, MIS, etc.)Strong English language skills (C1)Experience with Angular, .NET 5+ and MSSQL
Why working with us: Our organizational culture is based on values such as Innovation, Respect, Collaboration, Customer centricity and Empowerment.To work in fast growing international company with inspiring colleagues from many different countries;To work in cool and relaxed environment., without strong formalities and accessible leads.To have the possibility of flexible hours and working remote;To have learning & development opportunities alongside a team of real and unique peopleTo receive a Top-notch “tech pack” to make your working days more agile.To benefit from an Employee referral programTo have a great Health Insurance, and keep that check-ups up to date.To benefit from a Bonus Plan, considering yours and the Company´s evaluation.To have occasional company-wide events and team events for bonding
    "|https://www.linkedin.com/jobs/view/3175814155|2022-07-25 10:53:16.758129
2|Portugal|Fullstack Developer|FullStack Developer|Smart Consulting|Lisbon Metropolitan Area|4 months ago|144 applicants| |Full-time|Associate|201-500 employees|IT Services and IT Consulting|"
          Transformação, adaptabilidade e inovação fazem parte do nosso ADN. Somos apaixonados por tecnologia e queremos fazer parte da tua história.Queres tornar os teus objetivos de carreira nas áreas de IT e de Telecomunicações reais? Partilhamos da mesma paixão? Chegaste ao sítio certo, à Smart!
O que é preciso para seres um SMART FULLSTACK DEVELOPER? Licenciatura em Informática ou área similar Experiência prévia em desenvolvimento Web Experiência em:  JavaScript Angular, ReactJS, NodeJS  HTML5, CSS3  Conhecimentos em: C#.NET ou JAVA Flexibilidade e dinamismo Inglês
Porquê ser SMART?• Tornamos reais os projetos em que participamos• Amamos o que fazemos, e temos orgulho no resultado do nosso trabalho• Somos simples e eficientes• Valorizamos as nossas pessoas• Somos uma equipa dinâmica, íntegra e de confiança
Onde podes ser SMART?Lisboa
Tens um perfil SMART?Envia o teu Curriculum Vitae!
    "|https://www.linkedin.com/jobs/view/2639180818|2022-07-25 10:53:45.701992
3|Portugal|Fullstack Developer| | | | | | |Full-time|Associate|201-500 employees|IT Services and IT Consulting|"
          Transformação, adaptabilidade e inovação fazem parte do nosso ADN. Somos apaixonados por tecnologia e queremos fazer parte da tua história.Queres tornar os teus objetivos de carreira nas áreas de IT e de Telecomunicações reais? Partilhamos da mesma paixão? Chegaste ao sítio certo, à Smart!
O que é preciso para seres um SMART FULLSTACK DEVELOPER? Licenciatura em Informática ou área similar Experiência prévia em desenvolvimento Web Experiência em:  JavaScript Angular, ReactJS, NodeJS  HTML5, CSS3  Conhecimentos em: C#.NET ou JAVA Flexibilidade e dinamismo Inglês
Porquê ser SMART?• Tornamos reais os projetos em que participamos• Amamos o que fazemos, e temos orgulho no resultado do nosso trabalho• Somos simples e eficientes• Valorizamos as nossas pessoas• Somos uma equipa dinâmica, íntegra e de confiança
Onde podes ser SMART?Lisboa
Tens um perfil SMART?Envia o teu Curriculum Vitae!
    "|https://www.linkedin.com/jobs/view/2686006082|2022-07-25 10:53:57.509
4|Portugal|Fullstack Developer|Fullstack Developer (m/f/d)|Siemens|Lisbon, Lisbon, Portugal|1 month ago|17 applicants| |Full-time|Associate|10,001+ employees|Automation Machinery Manufacturing|"
          The time to change is now! 

It's time to build a sustainable future and define how we evolve through technology with purpose.

At Lisbon Tech Hub we create value in the business digital transition, from Portugal to the world, and IT solutions with purpose. Our team has more than 1300 experts working in areas such as Analytics & Business Intelligence, Application Lifecycle Management, Cybersecurity, IT Infrastructure Management, IT Project & Service Management and IT Strategy & User Experience.

Lisbon Tech Hub innovates, designs, transforms the information technology solutions and services for Siemens through our delivery units.

Transforming our future starts with every day!

Lisbon Tech Hub is the home of the new technologists - Dream Builders, Impact Creators & Future Makers.

Are you one of them? Join us!

What role will you play?

Envision, design and implement complex cloud-based systems.Work with consultants and business representatives in an international environment, for our innovative projects in the sustainability area.Develop prototypes quickly.Oversee the design process for application software.Define technical standards and development guidelines.Create Technical Documents.Work independently with minimal supervision.Work in an Agile environment, integrated in a multidisciplinary team.
We are looking for:

BS or MS in Computer Science or related technical field or equivalent practical experience;More than 5 years of professional experience in Software Development;Experience with backend programming languages, such as Java and also frontend programming, with JavaScript, Angular, etc;Experience with GIS technologies and the visualization of GIS data in web applications;Knowledge and experience in Cloud, preferably, AWS and it’s services like Lambda, API Gateway, DynamoDB, SQS/SNS, Cloudwatch;CI and CD experience;Previous experience and preference to work in an Agile environment;A keen interest in hardware and/or software hacking with the urge to design new, cool things;Fluency in English.
What we have to offer:

A flexible home office and schedule policy, virtual budget to improve your home office setup, health insurance, a Pension Plan and a Siemens Share Program time and financial support to your studies, medical center in the facilities, sport groups, 2 days for volunteering initiatives and a cool and relaxed environment.

Access to e-learning platforms (Learnlight, Bookboon, Linkedin Learning and more), discounts with partners.

#Siemens #LXTechHub #ITMakesUsMove

We recognize that building a diverse workforce is crucial to the success of our business. Therefore, Siemens provides equal employment opportunities to all qualified individuals without regard to race, creed, color, religion, national origin, age, gender, marital status, sexual orientation, or non-disqualifying physical or mental handicap or disability.

We strongly encourage applications from a diverse talent pool and welcome the opportunity to discuss workplace adjustments with all our applicants to develop agile working and innovation.

Organization: Technology

Company: Siemens S.A.

Experience Level: Experienced Professional

Job Type: Full-time
    "|https://www.linkedin.com/jobs/view/3111036333|2022-07-25 10:54:12.696064
5|Portugal|Fullstack Developer|Fullstack Developer - Creator teams|Issuu|Braga, Portugal|2 weeks ago|12 applicants|Hybrid|Full-time|Mid-Senior level|51-200 employees|Online Audio and Video Media|"
          About IssuuIssuu is one of the largest content publishing and distribution platforms in the world, with millions of pieces of content (marketing collateral, magazines, catalogs, brochures and more) added every year.At the heart of Issuu is the Issuu Story Cloud, a suite of advanced features designed to transform a single piece of content into assets for every online marketing channel, including mobile articles, email graphics, and social stories for Facebook, Instagram and Pinterest (and more). Create once, share everywhere with Issuu.
We are looking for Fullstack Developers to join our ride to empower our creators. Our focus now is on building tools to create content and easily share it, staying true to our mission ‘Create Once. Share Everywhere’’. Some examples include: enhancing original uploaded content with links and videos for a more engaging reader experience and, building a new editor that enables easy creation of content for social media platforms.
Issuu Is The Place For You, If You...want to work on a product that matters to a lot of people – We receive hundreds of visits per second and host over 50M+ documents,consider yourself one of the best at what you do and you're looking for equally talented colleagues,are self-driven and would never just want to take the next ticket,are curious and never stopped learning and exploring new languages, technologies and solutions,seek a culture where all voices matter when it comes to shaping the future of the product,want to work with colleagues who have a ‘here to help’ attitude, and absolutely want to set you up for success,Be part of an international team that continuously challenges the status quo
What You Bring With you:Bachelor’s degree in CS or equivalent,4 to 6 years of relevant experienceExperience designing and building robust, high-volume production systems,Experience with scalable microservice architecture,Experience with dynamically typed systems (e.g. Javascript/Typescript or Python is a must),A passion for frontend engineering based on a modern stack (e.g. TypeScript, React, Sass, Design Systems).Extensive knowledge of Unix/LinuxExperience with relational databases (MySQL, Postgres, etc.)Excellent communication skills in English.
Other Things To Know:We're currently working on Issuu’s Story Cloud both on web and mobile apps, machine learning for better understanding of our content, and our famous reading experience to mention a few examples,We have an event driven microservice architecture, based on AMQPWe deploy multiple times a day on AWS and use Kubernetes, Postgresql, Redis, Node, etc.We strive to be agile (who doesn’t?), but we're not religious about Scrum, Kanban or any other methodologyWe have many cross-team guilds where we share knowledge, coordinate efforts, and help each other the best we can“20% time”- everyone gets one day a week to invest as they see fit (i.e. learn something new, experiment with new ideas in the product, join efforts with others, improve what you think matters, ...).
The Impact You Will Have on our CustomersCreate new things they could not have done before,Share those creations with more people than they could have reached before,Reach new levels of success than they could have imagined before.
What You Will Get:A competitive compensation package,Health and dental insurance,Flat structure – every opinion matters regardless of team or position,Mentorship from more senior people,Flexible working hours,The opportunity to contribute to Open Source,Great company events that bring everyone together.
The real reason to join Issuu is not all these perks, it’s our unique company culture that delivers the leading results in our industry - we ensure that by holding true to our company values of Care, Grit and Learning. Be yourself and thrive!
Founded in 2006 and headquartered in Palo Alto, with offices in Copenhagen, Berlin and Braga, Issuu is profitable, growing fast, and expanding our team across many departments. If you are a collaborative and ambitious professional looking to join a community that: deeply cares about our users and colleagues, has a growth mindset, sees and embraces challenges as a means for continuous improvement, and takes accountability to have a phenomenal impact, apply today!
Issuu is an equal opportunity employer. We are committed to providing reasonable accommodations and will work with you to meet your needs. If you are a person with a disability and require assistance during the application process, please don’t hesitate to reach out! We celebrate our inclusive work environment and welcome members of all backgrounds and perspectives.
    "|https://www.linkedin.com/jobs/view/3152583446|2022-07-25 10:54:33.185527
6|Portugal|Fullstack Developer|Software Engineer – Senior .NET Fullstack Developer|GRiT Solutions|Lisbon, Lisbon, Portugal|4 days ago|49 applicants| |Full-time|Associate|11-50 employees|IT Services and IT Consulting|"
          Software Engineer – Senior .NET Fullstack

There's no secret on the rule for being number-one, it takes willingness to improve and determination to pursue it. At GRiT® it is all about the journey getting there. We trust talent and intelligence are important, yet passion and perseverance are key to achieving any goal.

We are Tech Passionate People, with Purpose, delivering solutions while building strong long-term relations.

People. Technology. Innovation. All-around it.

Prove your grit and join our Team!

Minimum Qualifications
5 or more years of professional software development experience using .NETStrong experience with ASP. NET MVC, C# and .net coreGood knowledge of Frontend (React, or Angular2+)Professional experience with SQL Database; RESTful APIs and Cloud PlatformsExcited about writing professional quality, refactoring friendly codeSolid knowledge of software engineering best practicesPassionate about learning new skills, applying it and teaching othersExperience working in an agile environmentYou care about quality and you know what it means to ship high-quality code with demonstrable skills in building automated tests at various scopes – unit, integration and functionalExperience in identifying, debugging and resolving complex production issues
Valued Qualifications
Bachelor’s Degree in computer science or software developmentExperience building or at minimum using CI/CD processesEffective visual communicator – you can communicate complex problems to business and technology stakeholders using visual collaboration tools

    "|https://www.linkedin.com/jobs/view/2803497759|2022-07-25 10:54:59.343410
7|Portugal|Fullstack Developer|Fullstack Developer( .Net Core + Angular)|NEX T Engineering|Lisbon, Lisbon, Portugal|1 week ago|51 applicants|On-site|Full-time|Entry level|51-200 employees|IT Services and IT Consulting|"
          Gostas de partilhar, celebrar o sucesso em conjunto?

Escutas, pensas e propões?

Utilizas o inesperado para ter sucesso?

Gostas de inspirar os outros com a tua atitude?

Be The NEX T Fullstack Developer
Licenciatura ou Mestrado em Eng. Informática ou equivalenteExperiência de trabalho relevante de 3 a 5 anos em funções semelhantes;Conhecimentos e gosto de desenvolvimento aplicacional;Conhecimentos de SQL Server e C#, .Net Core, MVC, Microserviços, DDD e Clean Architecture;Experiência de Angular 5, 6 ou 7 (preferencial);Perfil dinâmico e orientado a objectivos e resultados

Oferecemos
Remuneração compatível com a experiência profissional;Evolução de carreira;Acompanhamento personalizado;Plano de Formação;Oportunidade para fazer parte de uma equipa em grande crescimento

Your NEX T job is right here!
    "|https://www.linkedin.com/jobs/view/2324055655|2022-07-25 10:55:12.161380
8|Portugal|Fullstack Developer|Java Fullstack Developer|atSistemas|Lisbon, Portugal|3 weeks ago|21 applicants|Hybrid|Full-time|Mid-Senior level|1,001-5,000 employees|IT Services and IT Consulting|"
          We are more than 1900 talents but we are missing you!At atSistemas we reach 2022 ready to continue betting on technology and innovation, with many challenges to discover and dreams to fulfill. Will you be the new member of the Familiaat that we are looking for? We take care of people, creating and reinforcing links that make us stronger thanks to digital tools. We have increased our turnover by 24% and we hope to continue doing so in the year that has just begun. Can you help us?
If you are passionate about what you do, you are not just looking for a place to work, but a place where you can dream and continue to grow as a professional and as a person, but where continuous training is also the protagonist: this is the place! We have a large portfolio of services that will help us in this growth to face new goals.
Join our team, join the Familiaat!
Requirements:Information and technology Degree (preferential);Experience in development with Java 8 and Angular JS;Frameworks: EJB, JPA, Hibernate e Webservices (REST and SOAP);Databases: MariaDB and Elasticsearch;Experience with ActiveMQ, WSO2 CEP, Linux, GIT, IntelliJ, and Visual Studio Code (preferential);Fluent in English and Portuguese.
Our Offer:• Training in the latest technologies• Flexible remuneration options (health insurance, capitalization insurance, daycare check, transport pass, gym, etc.)• Official certifications• Good working environment and possibilities for professional development in a growing company, organized by specialized centers with their own identity• Ambassador of our brand, through our Friend Plan• Events, meetups, tech days, lectures... In addition to other benefits and surprises that we hold throughout the year

If this offer is really for you then apply and come to meet us!
    "|https://www.linkedin.com/jobs/view/3143415128|2022-07-25 10:55:24.463754
9|Portugal|Fullstack Developer|Fullstack Developer|PrimeIT|Lisbon Metropolitan Area|1 week ago|47 applicants|Hybrid|Full-time|Mid-Senior level|1,001-5,000 employees|IT Services and IT Consulting|"
          PrimeIT is a Portuguese company specialized in IT, Telecom, Digital Marketing, Energy and Infrastructures projects. More than 15 years of experience allow us to deliver the best solutions in Consultancy, Turn-key Projects, Project Management and Nearshoring. We are in over 50 cities worldwide, and we have 16 offices all over Europe. The key to our success lays in the happiness, well-being and expertise of our specialized team of more than 2200 Primers. 
LISBOA | PORTO | MADRID | BARCELONA | PARIS | LYON | NANTES | LILLE | AIX-EN-PROVENCE | BORDEAUX | GRENOBLE | GENÈVE | KATOWICE | WARSZAWA | LONDON | SÃO PAULO
O que procuramos? Fullstack DeveloperLicenciatura em Engenharia Informática ou similares;Experiência de +2 anos em desenvolvimento frontend e backend;Proficiência em CSS, HTML, Javascript, PHP, Wordpress e MySQL;Disponibilidade para trabalhar em regime remoto ou híbrido.
Envia o teu CV para btiago@primeit.pt e junta-te à equipa Prime.
    "|https://www.linkedin.com/jobs/view/3166609889|2022-07-25 10:55:37.362572
