id|country|searchterm|job_title|company|job_location|time|applicants|workplace|working_time|job_level|company_size|industry|job_details|job_url|timestamp
0|Spain|Fullstack Developer|FULLSTACK DEVELOPER (H/M)|Gi Group|Spain|2 weeks ago|24 applicants|Remote|Full-time|Mid-Senior level|1,001-5,000 employees|Staffing and Recruiting|"
          Gi Group es la multinacional Italiana líder en el mundo que ofrece soluciones integrales para el desarrollo del mercado laboral. Nuestra misión es contribuir con una visión global al desarrollo del mercado laboral con el objetivo principal de aumentar la empleabilidad, basándonos siempre en el valor personal y social del trabajo. Trabajamos día a día con nuestros candidatos y trabajadores para guiarles en su carrera profesional, y con nuestros clientes, para lograr un crecimiento y consecución de éxitos conjunta.Actualmente estamos presentes en más de 40 países gracias a nuestra presencia directa o mediante partners en Europa, Asia, América y África. Con un equipo de más de 2.900 profesionales alrededor del mundo, nuestro modelo global ofrece soluciones y experiencia específica en un amplio rango de sectores, a través de nuestras divisiones especializadas a nivel internacional o local.Considerada por Staffing Industry Analyst como una de las mayores compañías del sector a nivel mundial, y miembro de World Employment Federation, alcanzando una cifra de negocios de 2.000 millones de €.
Conoce más en https://es.gigroup.com/
DESCRIPCIÓN DE LA OFERTADesde Gi Group buscamos incorporar a un/a Fullstack Developer para incorporarse a una empresa del sector turístico ubicada en Madrid.
FUNCIONES:Junto al equipo de desarrollo, analizar y estimar requisitos y solicitudes de cambio tanto en las aplicaciones existentes como en los nuevos desarrollos.Planificar y ejecutar el desarrollo, utilizando metodologías ágiles.Realizar y definir pruebas unitarias y funcionales.Gestionar y configurar los pases entre entornos.En determinados casos, ayudar a dar soporte interno de las aplicaciones.
REQUISITOS:Formación profesional o grado en Informática.Al menos 3 – 4 años de experiencia tanto en el desarrollo de aplicaciones web como en el desarrollo de web services.Experiencia en front o back end.Muy valorable orientado al entorno Microsoft.Conocimientos sólidos en .net Framework y net. Core.ASP.NET Web Forms (C# y VB) y ASP.NET MVC (o ASP.NET Core MVC).Maquetación web responsive con Bootstrap, HTML5- y CSS3.JavaScript, jQuery y AJAX.Servicios web de tipo SOAP, REST y comunicaciones WCF.ADO.NET, T-SQL, SQL Server y Entity Framework.real con XML y XSLT.
Requisitos valorables:Conocimientos del sector turístico.Experiencia en desarrollo multithreading.Conocimiento de patrones de diseño.Conocimientos básicos de accesibilidad.Experiencia en TypeScript y/o Vue.js.Facilidad para la lectura en inglés (técnico).Metodologías ágiles (Scrum).Conocimientos de Identity Server.MySQL.Otros ORM’s como Dapper.Azure Blobs.
SE OFERE:Contrato indefinido.Jornada laboral completa: L – J de 8:30h a 18:00h y V de 9:00h a 15:00h.Modalidad de trabajo: Teletrabajo.Salario bruto anual negociable según valía del candidato.
    "|https://www.linkedin.com/jobs/view/3155978037|2022-07-25 00:42:03.416718
1|Spain|Fullstack Developer|Fullstack developer (Java React)|Capitole Consulting|Spain|3 weeks ago|17 applicants|Remote|Full-time|Mid-Senior level|201-500 employees|IT Services and IT Consulting|"
          En Capitole queremos seguir aumentando nuestra Familia en Barcelona y por ello queremos incorporar un/a Fullstack Developer (Java y React) en un proyecto del sector Retail 100% en remoto
Requisitos:
Experiencia en desarrollo Backend con JavaExperiencia en desarrollo Frontend con ReactExperiencia trabajando con metodologías agileExperiencia haciendo testing unitario/integración
¿POR QUÉ CAPITOLE?
Somos geniales, pero contigo lo seremos más 😊 Para ello tendrás:
Presupuesto de formación individual para que lo utilices en lo que tú quieras (eventos tecnológicos, libros, formaciones, certificaciones etc.)Dietas por desplazamiento, no tendrás que pagar por tu desplazamiento, nosotros te ayudamosSeguimiento con tu equipo todos los meses para tener un continuo feedbackFlexibilidad horaria para ayudarte a conciliar tu vida profesional / familiarTeletrabajoRetribución Flexible (Tickets Restaurante, Tickets Transporte, Guarderia)Andjoy (Gymforless)Seguro médico Privado

Para que conozcas a toda la familia:Team Buildings todos los meses, no te puedes perder la Pool Party o la cena de NavidadEquipo de Fútbol patrocinado por CapitoleComunidades tecnológicas para que compartas tus conocimientos e ideas con los demás equipos. ¡¡¡Compartir el conocimiento interno es fundamental!!!
¿Aún no nos conoces? ¡¡Descúbrenos!!https://www.welcometothejungle.com/es/companies/capitole-consultinghttps://capitole-consulting.com/
Somos Originales, sabes que tenemos un videojuego para explicarte nuestros valores?https://capitole-consulting.com/game/
No dudes en enviarnos tu perfil, ¡estamos deseando conocerte!
    "|https://www.linkedin.com/jobs/view/3142530782|2022-07-25 00:42:30.838174
2|Spain|Fullstack Developer|Product Development: BackEnd Developer / Front End Developer / Fullstack Developer|NTT DATA Europe & Latam|Madrid, Community of Madrid, Spain|2 weeks ago|90 applicants|Hybrid|Full-time|Mid-Senior level|10,001+ employees|IT Services and IT Consulting|"
          ¿Buscas nuevos retos Profesionales? ¿quieres unirte a un equipo dinámico y con proyección de crecimiento y formación continua? Anímate, ¡INSCRIBETE A NUESTRA OFERTA!
Estamos ampliando nuestro equipo y buscamos Full Stack, FrontEnd, y BackEnd developer junior y senior para el desarrollo y la evolución de productos en grandes compañías que están llevando a cabo la transformación digital de sus empresas en diferentes sectores de actividad: banca, industria y energía. 
Creemos en el crecimiento de los equipos junto con el crecimiento del producto; por ello promoveremos el mantener los equipos estables un tiempo determinado hasta alcanzar el nivel de excelencia, periodo en el que iremos evolucionando el producto hasta acabar desarrollando todo lo definido en el Product roadmap.
Solemos integrar diferentes roles al equipo de trabajo, de los que seguro podrás aprender y a quienes podrás enriquecer: Arquitecto, Technical Lead, Backend Developer y FrontEnd Developer La combinación de tu perfil competencial, tu nivel de experiencia y tu deseo de crecimiento profesional, definirá que rol puedes ocupar dentro del equipo.
Si tuviéramos que resumir el entorno de trabajo que te encontrarás, lo definiríamos por un marco tecnológico puntero y un entorno Devops, los métodos ágiles, y los equipos multidisciplinares.
¿Quieres conocernos?
NTT Data somos todas las personas que la formamos. Un equipo de más de 139.000 profesionales, tan diverso cómo diversos son los 50 países en los que estamos presentes y los diferentes sectores en los que desarrollamos nuestra actividad; telecomunicaciones, sector financiero (banca y seguros), industria, utilities, sector público y sanidad.
¿Nuestra misión? Ofrecer soluciones tecnológicas, de negocio, estrategia, desarrollo y mantenimiento de aplicaciones, siendo un referente en consultoría. Todo gracias a la colaboración entre equipos, la calidad humana de nuestra gente y a que no nos conformamos con lo establecido, buscamos siempre la innovación que nos acerca al futuro.
Nuestra esencia nos ha llevado a la vanguardia de la tecnología, a romper paradigmas y a brindar las soluciones que realmente se corresponden a las necesidades de cada cliente. Nuestro talento nos ha hecho poder decir con orgullo que somos una de las 6 empresas TOP de tecnologías en el mundo.#Greattech, needs #GreatPeople, like you.
¿Qué podemos ofrecerte?Entorno de trabajo flexible; trabajando de forma remota o en un modelo mixtoTrabajar en un buen ambiente de equipo donde podrás aprender y enseñar.Formación ajustada a tus necesidades actuales y a las tendencias del mercadoCertificaciones metodológicas y técnicasEstabilidad laboral, gracias a un contrato indefinido desde el primer momento.Itinerario profesional individualizado y acorde a tus motivaciones y aspiraciones.Beneficios sociales (plan de ayuda flexible, seguro médico y seguro de vida).
¿Te interesa? Esto es lo que necesitas para encajar en la posición:
A nivel tecnológico, conocimiento en alguna de estas tecnologías y módulos: Java, Angular, REACT, HMTL5 / CSS, Java Script, SQL, SpringBoot, MicroServices, GIT (Branch, GITFlow) y Jenkins (Jobs, pipelines).Experiencia trabajando en alguna de las siguientes metodologías agiles: Scrum, Kanban, SAFe, Lean, etc.
Valoraremos positivamente, pero no es imprescindible:
Conocimiento en: BEST PRACTICES (Sonar, JavaDoc, etc), APIGeeNivel alto de inglés (C1)
Además, nos encantaría que tuvieses:
Actitud challenger (no te conformas y piensas en las mejores soluciones para conseguir el objetivo), learner (eres una persona inquieta y quieres aprender constantemente y aportar algo nuevo) y builder (te preocupas por dar soluciones intachables en su ejecución)Conocimiento e interés en el mundo digital y la tecnología.Pasión por formar parte y contribuir al desarrollo del conocimiento dentro de un equipo con profesionales en constante evolución.
En NTT DATA creemos que toda persona es única y diferente y por ello apostamos por una cultura inclusiva que reconoce y valora la diversidad. Trabajamos día a día para crear un entorno en el que podamos explorar, vivir y potenciar nuestra propia singularidad.#WeAreAS #ApplicationServices #ProductDevelopment #ProductEvolution #Agile #Fullstack #Front #Back #WeAreAllUnique #YouMakeUsUnique
    "|https://www.linkedin.com/jobs/view/3149623778|2022-07-25 00:42:43.199225
3|Spain|Fullstack Developer|Fullstack Developer (H/M)|Capgemini Engineering|Barcelona, Catalonia, Spain|6 days ago|2 applicants|On-site|Full-time|Associate|10,001+ employees|IT Services and IT Consulting|"
          Our offer

En nuestra área de Pharma, estamos buscando un Desarrollador Fullstack para trabajar en Sant Just Desvern.

Your role

Te encargarás de realizar desarrollos nuevos de herramientas corporativas, juntamente con el equipo backend y desarrollar nuevas funcionalidades para los distintos aplicativos

Your profile

Buscamos que tengas entre 3 y 5 años de experiencia con:
 FRONTEND: HTML5, CSS3, javascript, REACT BACKEND: .NET (C#), Visual Basic, SQL SERVERImprescindible nivel alto de Inglés

    "|https://www.linkedin.com/jobs/view/3174419386|2022-07-25 00:42:54.322319
4|Spain|Fullstack Developer|JUNIOR FULLSTACK|Ilimitas Talent|Alcobendas, Community of Madrid, Spain|2 days ago|24 applicants|Hybrid|Full-time|Associate|1-10 employees|IT Services and IT Consulting|"
          Buscamos Fullstack developer junior 
Experiencia minima 1 año en:Java + SpringJavascript + Hibernate
Modalidad de trabajo Híbrida : 2 mañanas en oficina de Alcobendas (Madrid)Contrato indefinido. Jornada completaSalario: 25k - 27k según CV
    "|https://www.linkedin.com/jobs/view/3176629988|2022-07-25 00:43:09.526122
5|Spain|Fullstack Developer|Full Stack Engineer|Joppy|Spain|3 days ago|17 applicants|Remote|Full-time|Associate|1-10 employees|IT Services and IT Consulting|"
          Job descriptionOne of the cool companies we work with is looking for a Fullstack Developer, who is comfortable with both front and back end programming with a focus on frontend. Someone who understands user needs and pains, and is able to solve them by implementing new features for our core product.You will be working in a team composed by frontend and backend developers, product designer and product owner. The company is currently using ReactJS, Redux, Styled Components, Webpack, Flow, Cypress and other state of the art libraries for the frontend.In the backend the company use a Hadoop-based big data stack with components written in Java and Kotlin using Vert.x, Hibernate and Jersey among other frameworks and tools.To serve their applications the company use Nginx and HAProxy. Jenkins is used to orchestrate the software delivery pipeline.To carry out the analysis of the data the company use a mix of more than 200 physical servers and virtual machines inside their own cluster.
Main functionsCollaborating with the areas of design and product to build new features and maintain existing ones.Help assessing viability and estimate development timings.Build pixel perfect UIs and robust APIs that are part of the Opticks’s core.Troubleshoot, debug and upgrade Opticks’s software.Write end to end and unit tests to ensure the quality and stability of the product.
What you will needMinimum of 2 years of experience developing frontend software ideally Single Page ApplicationsMinimum of 6 months of experience developing backend software.To understand the importance between testing every line of code and being pragmatic.Excellent teamwork and good verbal and written communication skillsStrong problem-solving skills Strong analytical and organisational skillsFluent in English and elementary Spanish levelYou are Spain/UE based
Hiring ProcessFirst interview with Product Owner followed by an assignment (you can re-use something you have already coded).Second interview with Tech team to walk though the assignment.Final closing interview to refine details if needed.
Joppy is a tech recruitment platform built for developers by developers. ✅ No CV required. Just say what you know and what you want.✅ Anonymous profile by default.✅ You choose who can talk to you. Companies can't write to you until you accept their offer.✅ Only relevant offers matching your preferences. No more Javascript offer for Java developers.✅ Get a reward if you get hired. Keep an eye on tech job opportunities anonymously and match the job that makes you happy.



    "|https://www.linkedin.com/jobs/view/3180480762|2022-07-25 00:43:18.649248
6|Spain|Fullstack Developer|FullStack Developer|SII Concatel|Madrid, Community of Madrid, Spain|2 weeks ago|29 applicants|Hybrid|Full-time|Mid-Senior level|10,001+ employees|IT Services and IT Consulting|"
          Somos una multinacional francesa que ofrece servicios y soluciones IT en todo el mundo, con presencia en 18 países, por lo que podrás disfrutar de movilidad geográfica si quieres vivir una experiencia internacional, así como participar en proyectos internacionales de gran envergadura, como en este caso.
Estamos ampliando el equipo de uno de nuestros principales clientes en Madrid, especializados principalmente en inteligencia artificial, seguridad digital, ingeniería biométrica,… Este equipo se dedica a desarrollar y poner a punto los controles aeroportuarios fronterizos de los países donde este cliente lleva sus dispositivos. Es un proyecto muy ambicioso e interesante para gente que quiera además de desarrollar, poner sus conocimientos de ingeniero y te estás formando continuamente.
Nuestro propósito es crear proyectos innovadores que faciliten la vida a nuestros clientes, contratando a los mejores profesionales y haciendo que se sientan realizados con su trabajo.No dejes pasar esta oportunidad de unirte a esta gran empresa, que sigue manteniendo las ventajas de una pequeña empresa, sin jerarquías y con un trato cercano, lo que nos permite seguir siendo ágiles.
¿Por qué trabajar aquí?
✅ FORMACIÓN PERSONALIZADA QUE TE PERMITIRÁ CRECER: Podrás disponer de acceso a nuestras plataformas técnicas Pluralsight & OpenWebinars, en las que podrás especializarte en Ciberseguridad, diversas tecnologías de desarrollo, Cloud…, así como a Open Sessions que te permitirán mejorar tus soft skills con cursos de Mindfulness, coaching...✅ PAQUETE RETRIBUTIVO FLEXIBLE: Te cuidamos y ponemos a tu disposición beneficios sociales (seguro médico privado, ticket restaurante, ticket guardería o ticket transporte).✅ SOMOS UNA FAMILIA: Sabemos que las personas son nuestro principal valor añadido y por eso queremos estar cerca de todos los compañeros realizando After-Works, cenas y eventos de empresa.✅ RESPALDO MULTINACIONAL: Formamos parte del Grupo SII, por lo que contarás con la posibilidad de trabajar en proyectos internacionales y movilidad para realizar un cambio dentro de los 18 países en los que estamos presentes.✅ BUEN AMBIENTE: Lo que más destacan todos los compañerxs es el buen ambiente de trabajo; además fomentamos esto con oficinas en las que se cuenta con máquina Arcade y futbolín.
¿Con qué tecnologías trabajarás?
🔧Typescript🔧Angular
¿Qué te hará triunfar en el puesto?
Buscamos Licenciados/as en Ingeniería o ciencias, profesionales con FP... con capacidad analítica y experiencia desarrollando frontendweb, pero sobre todo, con gran capacidad de aprendizaje y proactividad. Si además tienes un nivel medio-alto de inglés y demuestras capacidad para adaptarte a las diferentes tecnologías que se requieran en cada país... ¡tienes el éxito asegurado!

¡No esperes más, eres el talento que buscamos!
¿QUIERES SABER MÁS SOBRE NOSOTROS? ¡TE LO PONEMOS FÁCIL!Página web: http://www.sii-concatel.comLinkedIn: https://www.linkedin.com/company/siiconcatel/Instagram: https://www.instagram.com/siiconcatel/Twitter: https://twitter.com/SIIConcatelFacebook: http://www.facebook.com/SIIConcatel/
    "|https://www.linkedin.com/jobs/view/3161264643|2022-07-25 00:43:47.889744
7|Spain|Fullstack Developer|Senior Fullstack Developer FULL REMOTE|satec|Spain|1 month ago|38 applicants|Remote|Full-time|Mid-Senior level|1,001-5,000 employees|IT Services and IT Consulting|"
          En Satec_ estamos experimentando un continuo crecimiento, por esto nos encontramos en la búsqueda de varios perfiles Senior Fullstack Developer que se integren en nuestro equipo y nos aporten su talento.Somos Satec_, hace más de 30 años que ayudamos a optimizar el modelo de negocio de multitud de clientes en España, Namibia, Arabia Saudí, Reino Unido… Esto lo conseguimos gracias a la innovación, productividad, seguridad y eficiencia con la que realizamos proyectos de integración tecnológica, adaptándonos a la problemática específica de cada cliente y apoyándonos siempre en las tecnologías más innovadoras.
Como Senior Fullstack Developer en Satec_ trabajarás en un ambiente colaborativo, bajo un marco de metodología ágil, y en un equipo multidisciplinar integrado con todo tipo ingenier@s de SATEC que también participarán en los proyectos. Nuestro equipo de profesionales tiene las habilidades, el conocimiento y la determinación para marcar la diferencia en el mercado global.
ResponsabilidadesFormar parte de un equipo multidisciplinar Agile para la implantación de soluciones BSS (Business Support System) y de integraciones con herramientas de terceros.Participación en las decisiones de las arquitecturas y soluciones a utilizar.Diseño, implementación y pruebas de los componentes necesarios para el funcionamiento de la solución.Correcto uso de las herramientas y procesos estandarizados de integración continua (CI/CD)
Buscamos a personas con:Una experiencia valorable de entre 3 y 5 años como Fullstack Developer.Fuertes habilidades interpersonales y de comunicaciónConocimiento de metodologías, procesos y herramientas de desarrollo de software.Mentalidad de aseguramiento de la calidad del software para el uso de herramientas y las mejores prácticas integradas en el ciclo de vida de la entrega del software.Pasión por la tecnología y por la entrega de valor al cliente final.Mentalidad para desarrollar una carrera profesional, aprendizaje continuo y espíritu de mejora
Habilidades técnicas requeridas:Lenguajes de programación: Java 8+, Typescript / AngularJS.Capacidad para adaptarse a frameworks y soluciones de terceros.Experiencia diseñando o implementando REST APIs.Experiencia con bases de datos SQL como Oracle/Postgres/MySQL/MongoDB.Nociones de XML, YAMLL y JSON.Experiencia en el uso de MavenBuen nivel de inglés
Otras habilidades deseables:Conocimientos de Linux.Experiencia trabajando en equipos Ágiles (Scrum/Kanban).Frameworks (required): Spring and SpringBoot.Experiencia práctica con microservicios (diseño, desarrollo y despliegue)Experiencia con herramientas de integración continua (CI/CD).Experiencia con orquestación de contenedores (Kubernetes).Experiencia con plataformas Cloud (Google, Azure, AWS).Experiencia en soluciones de Observabilidad: stack ELK, Grafana.
En Satec_ apostamos por las personas, por eso, creamos el mejor entorno para trabajar por el mundo que imaginamos. Ponemos a tu alcance un Plan de carrera que adaptarás a tu crecimiento profesional.Al movernos en un entorno internacional, entendemos la importancia de los idiomas y ofrecemos clases gratuitas para todos.El teletrabajo es una realidad en Satec, las personas pueden decantarse por un modelo hibrido y trabajar desde cualquiera de nuestras oficinas repartidas por España o, si viven en otra ciudad, podrán teletrabajar 100%.Trabajamos con flexibilidad horaria ya que lo importante es que cada uno decida qué se adapta mejor en su día. Además, en Verano, nos gusta disfrutar las tardes, así que nos hemos decantado por fijar una jornada intensiva que coincide con el calendario escolar.
Únete al cambio!
    "|https://www.linkedin.com/jobs/view/3092090342|2022-07-25 00:44:21.301945
8|Spain|Fullstack Developer|Senior FullStack Developer - Spain|Skello|Barcelona, Catalonia, Spain|4 days ago|10 applicants|On-site|Full-time|Associate|51-200 employees|IT Services and IT Consulting|"
          Skello is a European company with one mission: to reinvent shifted work through a collaborative solution which enables the whole team to better anticipate, organize and communicate ⚡
In short, Skello is a workforce management solution for shift based workplaces that enables teams to tackle the hassle of complex scheduling. For managers, Skello optimizes work organization by helping them to make the best decisions in managing their staff costs. For employees, the tool facilitates easy and open communication and simplifies daily life .
Skello’s ambition is to be the number one solution for shifted work teams in Europe. To achieve this, Skello raised a €40M Series B round of financing from expert funds in the field (Partech, Aglaé Ventures & XAnge) in order to bring ever more value to our clients through new features and to open up new markets, beyond our historic industries such as hospitality, retail and health.
If you are interested in joining the adventure and taking part in our exciting success story, you are in the right place 🌟
ContextIn 5 years, the team at Skello has built a tool used by over 7000 locations, covering thousands of people. A website, mobile and tablet app… And that’s just the beginning! We have multiple projects and ideas to keep building on our product, and best answer our client’s challenges. To succeed in those projects, we need a fantastic tech team.
Your missions You will work on varied projects, where you can be autonomous and trusted, while exchanging with more senior developers - our lead developers and architects. You will be in charge of:- Managing tech projects- Developing performant and stable code, because at Skello we value quality first- Share your expertise with the rest of the tech team- Directly work to improve the Skello solution, in order to make the lives of thousands of professionals easier- Work on new projects and features as we improve and scale the Skello product
Our current challenges- Moving from a monolith app towards a microservice-based solution- Deploying the platform in new countries and markets- Developing new features centered around data science
But also- Introducing new tools to help scale the tech side of our website- Improving our mobile app (Android and iOS)The dev team is constantly growing, and it’s just the beginning, we plan to double the size of our tech team in 2022! Therefore, depending on your abilities and wishes, you will be given the opportunity to lead projects that you’ve selected.

What we’re looking for:You’ve been a developer for multiple years, and you’re already developed and maintained code in productionYou’re a full stack developer that’s curious, and likes to keep up-to-date with the latest technology news, in order to improve the quality of your code and the solutions you can bring to given challengesYou have a strong grasp on relational databases (SQL)You are user-focused, and have a strong sense of productYou’re interested in learning more about software architecture, so you can fully grasp the development process from the code side to the server sideYou have a strong knowledge of testing frameworks and best practices, and strongly believe that all code should be testedYou are convinced that code review and pair programming are absolutely essential to a good development teamYou’re looking to better understand and grasp the business challenges of the company you work atYou’re a good communicator and like to work in a teamYou have a professional level of English, and are interested in participating in internationalizing the companyFinally, you’re looking to get started with a first step in management
What we’re offering:Package between 60 and 70KJoin a fast-growing startupBring a simple solution to a key problemAn environment for you to keep learning and growing, thanks to the supervision of our CTO and solutions architectsAn opportunity to step up as a mentor by tutoring junior developers within the team10 extra holidays because everyone needs some rest from time to timeA 4€ extra per worked day each month so you can enjoy a little sweetness on your lunch break
Our Tech Stack:backend : Ruby on Rails 5.2, Node JS/Typescriptfrontend : VueJS for web, React Native for mobile/tablet appsdatabase : Postgresql / DynamoDBmicro service & serverless architecturesAWS HostingRspec / Capybara / Jest testsIf you’ve never used one of these languages, don’t worry, we will give you a chance to learn and grow!
Our recruiting process:1 short call with our recruiting team to get to know you and understand your aspirations - 15 min1 job-focused interview with your potential future engineering manager - 1h1 tech-focused discussion with one of our senior developers - 1h30A last meeting with Olivier, our CTO to understand your vision for your future
    "|https://www.linkedin.com/jobs/view/3127588963|2022-07-25 00:44:33.709881
9|Spain|Fullstack Developer|Senior Fullstack Developer (React + Nodejs)|Oxigent Technologies|Greater Barcelona Metropolitan Area|1 week ago|15 applicants|Hybrid|Full-time|Associate|51-200 employees|Internet Publishing|"
          ¿Te gustaría seguir desarrollándote como Full Stack Developer manejando React y Node.js dentro de un entorno agile?
Desde Oxigent Technologies, estamos seleccionando un/a Senior Developer para incorporarse en una empresa multinacional líder en el sector IT para la industria del transporte aéreo, ubicada en Barcelona capital.
Tu misión será participar en el desarrollo de una aplicación innovadora de la compañía que permite el intercambio y flujo de información en tiempo real entre los pilotos, el centro de control, y el personal en rampa y puerta. 
¿Cuáles serán tus principales funciones?Participar en el desarrollo de esta gran herramienta.Apoyo en la definición de la arquitectura de ciertas aplicaciones.Supervisión de los Junior developersApoyo a las tareas requeridas por el Product Owner
Para ello, los requisitos serían:Mínimo 5 años de experiencia como desarrollador React y NodejsInglés avanzado, necesario para la comunicación con el equipo.
Y llegados a este punto… ¿Qué te ofrecemos?Contrato indefinido.Salario acorde a la experiencia aportada (40.0000 – 47.000 euros brutos / año).Modelo de trabajo híbrido: 40% remoto 60% presencial.Horario flexible.Cheque formativo anual para que puedas seguir aprendiendo.Paquete de retribución flexible aplicable a seguro médico, restaurante, transporte, guardería y formación.Andjoy (aplicación de acceso a gimnasios con descuentos).
    "|https://www.linkedin.com/jobs/view/3148591749|2022-07-25 00:45:02.166001
