id|country|searchterm|job_title|company|job_location|time|applicants|workplace|working_time|job_level|company_size|industry|job_details|job_url|timestamp
0|United Kingdom|Fullstack Developer|Fullstack Developer|RemoteWorker UK|Birmingham, England, United Kingdom|15 hours ago| | |Full-time|Entry level|1-10 employees|Staffing and Recruiting|"
          Fullstack PHP DeveloperThis fully remote role will see you working directly with the senior developer, acting in both a developer and advisory position. You will be working predominantly with PHP but you will also gain exposure to a diverse tech stack that includes but is not limited to: JavaScript, GO(Lang), Node.js, CSS, HTML, XML, cloud services, Rest APIs.Key responsibilities The core resp... To view the full job details please click apply.
    "|https://www.linkedin.com/jobs/view/3187249847|2022-07-25 05:08:32.059721
1|United Kingdom|Fullstack Developer|Software Engineer|Understanding Recruitment|London, England, United Kingdom|2 weeks ago|32 applicants|Hybrid|£75,000/yr - £85,000/yr|Full-time · Associate|51-200 employees|Staffing and Recruiting|"
          Software Engineer / Net-Zero Transition
As a Fullstack Developer, you will join an innovative tech-for-good start-up in London. They are building the infrastructure for the net-zero transition, with the mission to decarbonise the economy!
You will be joining a team of versatile technologists that share a passion to positively impact society through continues innovations. The teams core system is run on Java Spring Boot, although, due to the teams experimental nature, they welcome new modern technologies due to their cloud-based infrastructure!
This is the perfect environment for a Fullstack Developer that is passionate about having a tangible, real-world impact!
Could this be of interest?
Apply now!
    "|https://www.linkedin.com/jobs/view/3160835013|2022-07-25 05:08:40.040985
2|United Kingdom|Fullstack Developer|FULLSTACK DEVELOPER|Grafton Recruitment|Leeds, England, United Kingdom|3 days ago|3 applicants|On-site|Full-time|Entry level|501-1,000 employees|Staffing and Recruiting|"
          Job Description

FULL-STACK DEVELOPER

LEEDS

c£55k DOE

Grafton Recruitment are looking to recruit a Full-Stack Developer to join a Global Leader in Digital Transformation.

As part of their long-term commitment to quality and continued growth, they are looking to recruit an additional Full-Stack Developer who will focus on supporting more traditional applications development and support

This Full-Stack Role would suit a forward-thinking person, who wants to work in a fast-paced environment.

THE ROLE:

As a Full-Stack Developer, you will be required to:

The role holder will work alongside DevOps engineers,Application architects and cloud architects with clients to understand their requirementsPropose solutionsLead all aspects of the implementation and then provide continued advice and guide to the delivery teams once up and running

Your day-to-day responsibilities include:

Technical elaboration of client requirements and low-level solution design.Implementation of frontend & backend systems for our clients.Quality assurance and code reviews of existing codebases.Participation in release management.Leading Agile Ceremonies.Mentoring a development team.Leading requirements discussions with Clients.

THE CANDIDATE:

The Ideal Full-Stack Developer

Skills we can't do without:

For this assignment we'd like to have SFIA6 developers who are experts in using Scala and the Play! Framework to develop cloud based micro service architecture services with both HTML web frontends and JSON APIs aligned to the GDS Service Standard.

Relevant experience in Scala with SBT, Play! Framework (Scala bindings), HTML, CSS and JavaScript, Continuous integration (Jenkins), Version control (Git & GitHub), NoSQL databases (MongoDB), Postman, Oracle Databases.

We'd love to have candidates, who:

Have worked within or led multidisciplinary teams in an Agile and DevOps environment.Have experience delivering solutions confirming to Accessibility Guidelines (WCAG 2.0).Have problem-solving skills and ability collaborate with developers to overcome development and operational issues.Have good interpersonal skills.Can work well in a team.Have experience working in Central Government, Military or Police accounts.Are able to undertake and optimally gain SC level security clearance checks.

Skills we'd like:

Wider experience in front end web development frameworksExperience of in one or more of these languages, Python, Ruby, Node.JS and Go.Qualified SCRUM Master and experience in delivering SAFe programmes.Experience defining the security carrying out measures to meet client's exacting security requirements, including OWASP top 10 and authorisation technologies.Confirmed experience of implementing unit testing of software, Behavior-Driven Development and/or Test-Driven Development.Background in the development of Restful Web Services.Use of public cloud & API services to deliver applications.Understanding how to build observable applications.

HOW TO APPLY:

To be considered for this role, please click on the link provided. If you would like any further information about this vacancy before applying, please feel free to contact Teodor Savu at our Milton Keynes office savu@Grafton-Recruitment.com / 07551 428596.

Other notes

For more related job opportunities visit https://uk.grafton-recruitment.com/en/job-search
    "|https://www.linkedin.com/jobs/view/3182055994|2022-07-25 05:08:59.179523
3|United Kingdom|Fullstack Developer|Fullstack Developer|Fruition IT|Leeds, England, United Kingdom|4 days ago|46 applicants|Remote|Contract|Mid-Senior level|11-50 employees|Staffing and Recruiting|"
          Fullstack Developer - React/Node£480 - £520 per day Outside IR353 Month Initial ContractRemote - Travel to Leeds office may be required
Are you looking for a new Outside IR35 contract? Do you want to work for a national organisation who are committed to leading their sector in sustainability?
This organisation are responsible for creating EV charging solutions across the UK and require a Fullstack Developer to assist in developing their internal charger management system, creating customer facing portals and integration with 3rd party software.
Key skills:You will be an experienced Fullstack Developer with React and Node experienceStrong experience with JavaScript / TypeScriptGood understanding of AWS or other cloud platforms are beneficialAbility to analysing and implement best coding practicesExperience developing CI/CD pipelinesKnowledge of writing unit / integration tests
This position is ideal for Fullstack Developers looking for an Outside Ir35 contract with a positive impact on the environment.
If you're interested in hearing more please either apply or email Cameron.goraya@fruitionit.co.uk
We are an equal opportunities employer and welcome applications from all suitably qualified persons regardless of their race, sex, disability, religion/belief, sexual orientation or age.
    "|https://www.linkedin.com/jobs/view/3180079287|2022-07-25 05:09:11.136473
4|United Kingdom|Fullstack Developer|Fullstack Developer - Node/AWS/React - Cheltenham or Remote|RemoteWorker UK|Woodchester, England, United Kingdom|21 hours ago| |Remote|Full-time|Entry level|1-10 employees|Staffing and Recruiting|"
          Fullstack Developer
React/NodeRemote OR CheltenhamMid LevelUpto £46,000React, Tailwind, AWS, Terraform, Node... Flexible working, remote working, pension, 25 days hol + 8 bank hols...(Fullstack Developer with .Net or PHP? They're happy for you to learn Node!)About ThemThis successful bunch have been established for more than 20 years at the heart of one of the largest B2B sectors. They're Any additional information you require for this job can be found in the below text Make sure to read thoroughly, then apply.Please click on the apply button to read the full job description
    "|https://www.linkedin.com/jobs/view/3187359020|2022-07-25 05:09:27.126774
5|United Kingdom|Fullstack Developer|Python Developer|Hays|Cardiff, Wales, United Kingdom|2 weeks ago|3 applicants| |Full-time|Entry level|5,001-10,000 employees|Staffing and Recruiting|"
          The role… 

I am supporting my client in the search for a Fullstack Developer. Working with Unix-type based systems, my client is ideally looking for experience with Python & Django with supporting MySQL Database expertise. The ideal candidate should have high energy and passion for Linux systems and Cloud based applications. Have a creative mindset for bringing the business forward with new technologies and understanding how to keep competitive.

The client… 

My client is based within the financial industry, focusing on the security of payment services and electronic invoicing. Due to this nature of business, both products require high levels of reliability and performance in which they can provide through their strong IT infrastructure.

To succeed in this role, you should have some of the following experiences….
Experience with Unix-type systems, preferably RedHat Linux.Python and Django commercial experience within the UK.Knowledge of networking - TCP/IP, addressing and routing.Scripting/software development skills for automation of tasks.Desire to learn new skills and stay abreast of technology changes, cyber security and available 3rd party products.Full driving license and willingness for occasional travel to our UK data centres.
Desirable Traits & Experiences…
Relevant industry certifications such as Cisco (CCNA)Industry experience within financeUnderstanding of Bash
What You’ll Get In Return…
You will get a salary of up to £90,000, depending on your experience. Be exposed to large institutions based in the UK where you will further your professional development.Various opportunities to get into a wider range of development and technologies including refactoring and redeveloping. Fantastic benefits package with a 10 – 12% pension match scheme.
Finding the right role takes careful consideration – and we’re just the life-long partners that can help you on your journey towards success. Here with you every step of the way – we can connect you with opportunities that match your priorities and goals. Because at Hays, we’re working for your tomorrow. #4238157
    "|https://www.linkedin.com/jobs/view/3178079139|2022-07-25 05:09:40.193464
6|United Kingdom|Fullstack Developer|Fullstack Developer|RemoteWorker UK|Rotherham, England, United Kingdom|21 hours ago| |On-site|Full-time|Entry level|1-10 employees|Staffing and Recruiting|"
          Seeking

Fullstack Developer for a growing luxury holiday company in South Yorkshire.Approach:

Fully Remote With Occasional Travel To The Office.Salary

£45,000 DOE plus Training, Progression, and BenefitsDo you want to join an ambitious company making waves within the Travel Industry?Responsibilities:Maintain and develop our existing eCommerce websitesEnhance core systems to optimise bus... To view the full job details please click apply.
    "|https://www.linkedin.com/jobs/view/3186086816|2022-07-25 05:09:50.118361
7|United Kingdom|Fullstack Developer|FullStack Developer|Energi Core|London, England, United Kingdom|5 days ago|5 applicants| |Contract|Entry level|51-200 employees|Internet Publishing|"
          About Energi

Energi (NRG) is a next-generation Proof of Stake (PoS) cryptocurrency, combining Ethereum-compatible smart contracts with on-chain governance, a self-funding treasury, and a layer 2 masternode network, enabling powerful DeFi applications.

We are a fully remote company with no fixed headquarters. The team is spread throughout the Americas, Europe, Africa, Asia, and Oceania. With more than 90 contributors, the team forms a well-linked network across a variety of locations, lifestyles, and backgrounds.

Energi's culture is driven by integrity, strategic thinking, leadership, and the shared desire to perform at our peak. While our differences make us adaptable and versatile, it's our shared values that give us the strength and drive to become the cryptocurrency for world consciousness.

What's in It for You?
Work flexible hours from anywhere and be part of a team that is driven by strong values and a clear shared vision.Directly shape the future of a completely new model for cryptocurrency and blockchain applications.Challenge your skills and push your creative limits working with the latest blockchain technologies & systems.Play an active role in one of the most significant technological innovations in human history. Receive a competitive salary paid in a combination of BTC and NRG.

What We're Looking For

We are looking for a detail-oriented full-stack web developer to drive our website and web app development.

To be an ideal candidate, you should be comfortable using front end technologies fused with blockchain plugins such as Metamask and web3 to develop robust and efficient web apps and dApps.

What You Will Do
Work alongside graphic and UX designers to implement web design featuresDevelop dApps on the Energi networkWrite effective APIsEnsure responsiveness of applications across all platforms and devicesSee through projects from conception to finished productsOrganize technical documentationMaintain the existing ecosystem to the highest degree of quality

Essential Requirements
Proven experience as a Full Stack Developer or similar roleProficiency with JavaScript frameworks such as AngularJS, React, Amber and GatsbyExperience with blockchain technology (web3, infura, etc.)Familiarity with server-side languages such as Python, Golang and PHPUnderstanding of database technologies such as MySQL, Oracle, and MongoDBExcellent organizational skillsAn analytical mindAttention to detailGood problem-solving skillsSelf-driven with the ability to deliver results with minimal supervisionFluent English communicatorPassionate and up-to-date on the rapidly changing world of blockchain technologyValues aligned with the Energi culture and values

Nice to Have
Strong organizational and project management skills

This role is not open to 3rd party organizations or agencies. Any candidates sent will be considered free of any charges

Energi is committed to creating a diverse environment and is proud to be an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, gender, gender identity or expression, sexual orientation, national origin, genetics, pregnancy, disability, age, veteran status, or other characteristics.
    "|https://www.linkedin.com/jobs/view/3178735259|2022-07-25 05:10:01.102892
8|United Kingdom|Fullstack Developer|Fullstack Developer|RemoteWorker UK|West Bromwich, England, United Kingdom|1 week ago|3 applicants|On-site|Full-time|Entry level|1-10 employees|Staffing and Recruiting|"
          Fullstack PHP DeveloperSkills, Experience, Qualifications, If you have the right match for this opportunity, then make sure to apply today. This fully remote role will see you working directly with the senior developer, acting in both a developer and advisory position. You will be working predominantly with PHP but you will also gain exposure to a diverse tech stack that includes but is not limited to: JavaScript, GO(Lang), Node.js, CSS, HTML, XML, cloud services, Rest APIs. Key responsibilities The core respPlease click on the apply button to read the full job description
    "|https://www.linkedin.com/jobs/view/3171371336|2022-07-25 05:10:16.057377
9|United Kingdom|Fullstack Developer|MRX Java Developer- Software Engineer|Xcede|London, England, United Kingdom|5 days ago|9 applicants| |Full-time|Entry level|51-200 employees|Staffing and Recruiting|"
          6-12-MONTH CONTRACT - FULLSTACK DEVELOPER - GLOBAL BANK!!

 

Want a new contract with extensions?

Want to test your tech skills for a multinational company?

Are you seeking more responsibility in your next role?

Then this is the opportunity for you.

 

Our client is a major Bank, seeking an experienced MRX Java Developer- Software Engineer

 

We are looking for Experienced developers who have strong technical exp on on the following:

Core:

(Snr Java, Microservces, k8's, Docker, Cloud GCP/GCE), Java Language Development (v.8+), Including build chain and class-path management, JVM, micro-service architecture, SQL from atleast one RDBMS, GCP implementation (BigQuery, BigTable, GKE, GCE), Azure/AWS, Big data e.g. Spark, Additional JS/Python/C++/C#

Desired:

Spring boot framework

This is a hybrid role with 80-90% being remote, and the rest of the time being in London offices!

 

If this sounds like you, please apply now!! Immediate start Available

 

Full Job Details available following successful application


    "|https://www.linkedin.com/jobs/view/3171240376|2022-07-25 05:10:29.998061
