id|country|searchterm|job_title|company|job_location|time|applicants|workplace|working_time|job_level|company_size|industry|job_details|job_url|timestamp
0|Austria|data scientist|Data Scientist Supply Chain Management (m/w/d)|HOFER Österreich|Trumau, Lower Austria, Austria|1 week ago|6 applicants|On-site|Full-time|Associate|10,001+ employees|Retail|"
          Aufgaben, die mich erwarten
aktives Mitwirken bei der Entwicklung und Optimierung unserer WarenbedarfsplanungUnterstützen bei quantitativen und qualitativen Analysen unserer Produkte und WarengruppenErmitteln, Validieren und Optimieren von Prognoseparametern unter Berücksichtigung der Bedarfseinflussfaktorenselbstständiges Ausarbeiten und Simulieren von Szenarien zur Optimierung unserer Beschaffungsstrategieenges Zusammenarbeiten und kontinuierliches Abstimmen von Ergebnissen mit internen Abteilungen
Qualifikationen, die ich mitbringe
laufendes oder abgeschlossenes Studium mit Schwerpunkt Mathematik, Statistik, Informatik, Wirtschaftswissenschaften oder Supply Chain Management Berufserfahrung im Umgang mit Datenverarbeitung fundierte Kenntnisse in Excel, Erfahrungen mit SAP, RStudio/Matlab sowie Programmierkenntnisse von Vorteilgute Englischkenntnisseausgeprägtes Interesse für DatenanalyseBereitschaft sich in neue Bereiche einzuarbeiten und innovative Lösungen zu entwickelnanalytische, selbstständige und lösungsorientierte Arbeitsweise
Angebote, die mich überzeugen
vielseitiges Tätigkeitsfeldumfangreiche Einarbeitungtop ausgestatteter ergonomischer Arbeitsplatz in einem modernen Bürogebäude Möglichkeit im Homeoffice zu arbeitenzahlreiche Weiterbildungsmöglichkeiten zur Unterstützung der persönlichen und fachlichen Entwicklungspannende After-Work Talkskostenlose Verpflegung in Form von täglich frischem Obst und Gemüse, Kaffee sowie TeeMöglichkeit eines mehrmonatigen Sabbaticalssicherer und verlässlicher Arbeitgeber
Entgelt

attraktives Brutto-Monatsgehalt ab € 3.285,- für 38,5 Stunden/Woche, Bereitschaft zur Überzahlung bei entsprechender Qualifikation

Arbeitsort

2521 Trumau, Hoferstraße 1

Arbeitsbeginn

ab sofort

Online bewerben

Jetzt online bewerben und Lebenslauf inklusive Motivationsschreiben, Foto sowie sämtliche relevante Zeugnisse beifügen.
    "|https://www.linkedin.com/jobs/view/3098974903|2022-07-23 09:25:22.818510
1|Austria|data scientist|Data Scientist Supply Chain Management (m/w/d)|HOFER Österreich|Sattledt, Upper Austria, Austria|1 week ago|13 applicants|On-site|Full-time|Associate|10,001+ employees|Retail|"
          Aufgaben, die mich erwarten
aktives Mitwirken bei der Entwicklung und Optimierung unserer WarenbedarfsplanungUnterstützen bei quantitativen und qualitativen Analysen unserer Produkte und WarengruppenErmitteln, Validieren und Optimieren von Prognoseparametern unter Berücksichtigung der Bedarfseinflussfaktorenselbstständiges Ausarbeiten und Simulieren von Szenarien zur Optimierung unserer Beschaffungsstrategieenges Zusammenarbeiten und kontinuierliches Abstimmen von Ergebnissen mit internen Abteilungen 
Qualifikationen, die ich mitbringe
laufendes oder abgeschlossenes Studium mit Schwerpunkt Mathematik, Statistik, Informatik, Wirtschaftswissenschaften oder Supply Chain Management Berufserfahrung im Umgang mit Datenverarbeitung fundierte Kenntnisse in Excel, Erfahrungen mit SAP, RStudio/Matlab sowie Programmierkenntnisse von Vorteilgute Englischkenntnisseausgeprägtes Interesse für DatenanalyseBereitschaft sich in neue Bereiche einzuarbeiten und innovative Lösungen zu entwickelnanalytische, selbstständige und lösungsorientierte Arbeitsweise 
Angebote, die mich überzeugen
vielseitiges Tätigkeitsfeldumfangreiche Einarbeitungtop ausgestatteter ergonomischer Arbeitsplatz in einem modernen Bürogebäude Möglichkeit im Home Office zu arbeitenzahlreiche Weiterbildungsmöglichkeiten zur Unterstützung der persönlichen und fachlichen Entwicklungspannende After-Work Talkskostenlose Verpflegung in Form von täglich frischem Obst und Gemüse, Kaffee sowie TeeMöglichkeit eines mehrmonatigen Sabbaticalssicherer und verlässlicher Arbeitgeber
Entgelt

attraktives Brutto-Monatsgehalt ab € 3.285,- für 38,5 Stunden/Woche, Bereitschaft zur Überzahlung bei entsprechender Qualifikation

Arbeitsort

4642 Sattledt, Hofer Straße 1

Arbeitsbeginn

ab sofort

Online bewerben

Jetzt online bewerben und Lebenslauf inklusive Motivationsschreiben, Foto sowie sämtliche relevante Zeugnisse beifügen.
    "|https://www.linkedin.com/jobs/view/2800234300|2022-07-23 09:25:38.112157
2|Austria|data scientist|Data Scientist Supply Chain Optimization(f/m/d)|HOFER Österreich|Eberstallzell, Upper Austria, Austria|2 weeks ago|52 applicants| |Full-time|Associate|10,001+ employees|Retail|"
          Tasks that await me
Shape actively the global supply chain of the ALDI SOUTH GroupDevelop and evaluate different supply chain network scenarios, taking into account national and international market conditionsCreate mathematical decision models on a strategic and tactical level in close cooperation with internal and external expertsContribute to data collection, data cleansing and reportingWork on international projects with modern software solutions as well as actively advancing new modelling/simulation issues
My Qualifications
Completed studies in the field of ITInitial professional experience in the field of data engineering, business intelligence, data science, programming or databases(Python, SQL) is beneficialVery good English skillsAn affinity for project workCommitted and analytical and has pronounced understanding of mathematicsProcess- and solution-oriented way of working
Convincing offers
Diverse and responsible field of activity within a modern, international business groupExtensive training Use of mobile work devices and equipment for flexible workingPossibility to work in home officeCooperation with international teamsRelocation support (including visa/employment permit request, home search service and relocation allowance) as per the company guidelinesExcellent development prospects beyond the bordersNumerous further training opportunities to support personal and professional developmentOption of taking sabbatical leave for several monthsSecure and reliable employer
Remuneration

Attractive gross annual salary starting from € 45.990.-, willingness to overpay with appropriate qualification

Place of work

4653 Eberstalzell, Solarstraße 7

Start of work

as soon as possible

Apply online

Apply online now and attach your CV including a letter of motivation, photo and all relevant certificates.
    "|https://www.linkedin.com/jobs/view/2982595836|2022-07-23 09:25:55.270234
3|Austria|data scientist|Senior Data Scientist - Computer Vision|Crayon|Vienna, Austria|2 weeks ago|43 applicants|Hybrid|Full-time|Mid-Senior level|1,001-5,000 employees|IT Services and IT Consulting|"
          Keen to join our AI Center of Excellence (CoE) and support in the delivery of customized computer vision, machine learning, and AI solutions? Interested in working with the newest technologies within AI & Machine Learning alongside some of the best in the industry?Want to become part of a leading global IT company that promotes innovation and continuous growth? 
Apply now and join our global team in Crayon, AI Centre of Excellence Europe in Vienna as a Senior Data Scientist for Computer Vision! 
At Crayon, we believe in the power of technology to drive the greater good and as a global leader in software & cloud analytics, technology, and digital transformation services, we have the largest independent cloud economics' practice. The services we offer deliver greater visibility on the entire cloud and on-premises software estate, providing usage and availability analysis to our customers. We have developed strong partnerships with the biggest names in software vendor management, including Microsoft, AWS, Adobe, Symantec, VMware, IBM, and Oracle. We are experts in supporting our customers in all industry sectors and through our unique team of more than 3800 colleagues, spanning 47 countries around the globe we help optimize our clients’ return on complex technology investments. As the winner of Microsoft AI and ML Partner of the Year 2019, Crayon’s global Center of Excellence (CoE) has been successful in understanding our customers’ business goals and delivering customized data-driven solutions in the past 5 years.
As a Senior Data Scientist, you will be part of our highly proficient and dedicated Computer Vision Team. As such, you will have the opportunity to work with rapid advancements in AI and cloud services. You will get to deliver innovative solutions that enable organizations to reduce their costs while improving their performance and accuracy. This role allows you to work with complex customer problem definitions, and handle large vision data, including Gigabyte, Terabyte, and Petabyte. Additionally, you will assume accountability for developing outstanding computer vision and machine learning solutions for our customers, both on-premises and on cloud platforms. You will become part of an international team in a global company using cutting-edge technologies to provide state-of-the-art and innovative solutions to make a global impact.
Key responsibilities to highlight:Collect, clean, and analyze data from diverse streams of structured and unstructured visual and other signal dataExtract meaningful insights from data and present it to customers and other internal and external stakeholdersResearch, design, implement and deploy scalable computer vision and machine learning solutionsBuild models that improve the accuracy of various processes within our pipelineWrite elegant machine learning and data analyzing code in Python as a part of larger local, regional, and international projectsApply vision solutions to both real-time live video streams and offline static imagesBuild quick prototypes and POCs for business requirements, and extend and improve them to more robust and scalable solutions for the future
We envisage you to be a self-driven, autonomous, and proactive professional, with strong organizational and analytical skills. You are an effective communicator and problem-solver, who easily translates technical requirements to business needs. We see you as someone who enjoys learning new technology concepts efficiently, and who thrives when working in a dynamic environment and multidisciplinary teams, collaborating with Data Scientists, Data Engineers, and Software Engineers.
Wanted competency & experience:B.Sc. or M.Sc. degree in a relevant field, such as computer science, information technology, mathematics, physics, etc.5+ years of experience in a relevant industry or academic environments focusing on computer vision and image processing, as well as in-depth comprehension of segmentation, classification, object detection, SLAM, feature extraction, context-aware video analysis, and time-seriesProven background and practical experience with computer vision solution development on embedded systems and smart cameras is advantageousPractical experience and deep understanding of machine learning, AI, CNN, deep learning, and model training and deploymentStrong practical experience in TensorFlow, Keras, Pytorch , or similar frameworksFormal training or relevant certificate in one or several of the following: computer vision, image processing, AI, Machine Learning, Signal ProcessingDeep understanding of mathematics, statistics, and probability
Practical Information: Location for this job: Vienna, Austria Language requirements: Professional level English, written & spoken. German language skills are beneficial.  Application deadline: ASAP. We will evaluate candidates continuouslyVisa requirements: Must have Austria/EU work permit/visa. We are looking for someone who is ideally already based in Austria and that could start relatively quickly. If you are located outside of Austria, please detail in your application when you are planning to move here and when you could start.
    "|https://www.linkedin.com/jobs/view/3149628478|2022-07-23 09:26:09.664633
4|Austria|data scientist|Data Scientist|Lenzing Group|Lenzing, Upper Austria, Austria|1 week ago|59 applicants|Hybrid|Full-time|Associate|5,001-10,000 employees|Chemical Manufacturing|"
          Are you keen on working in a sustainable business who are on a huge Digital Transformation journey?Take the opportunity to join us in the role of Data Scientist!
What you will do in this exciting role:You will work on data-driven digital projects, which includes the discovery of new insights and the autonomous creation of models and algorithms end-to-end (from requirements gathering to delivery and maintenance).You will deploy data science solutions to production plants. Operate, tune and monitor solutions after deployment.You will develop ideas for the value-adding use of Data Science together with business stakeholders and translate business demands into executable solutions.You will collaborate with other group functions to define a Data Strategy and Data Science Standards, which includes decisions on our machine learning stack, processes and our way of working.
What you should have for this role:You have a Master’s degree in Data Science, AI, Statistics, Computer Science or similar.You have more than 3 years of experience as a data scientist or machine learning engineer.You have a knowledge and hands-on experience autonomous development of machine learning pipelines and the application of machine learning models.You have experience in applying descriptive analytics and data mining methods in a business context/problem (ideally use-cases in the Operations/Manufacturing environment).You have basic knowledge of software development and experience in Python.You have experience and knowledge in professional software development, agile methodologies or data engineering are beneficial.You have professional working proficiency in English
What you will gain from this role:A dynamic, professional and inspiring working environment with career opportunities within the Lenzing Group sites and offices around the world.An individual training and development program.Flexible working hours with Home Office possibilities.Staff restaurant on-site with a focus on healthy and regional produced food.Health center on-site and supporting health and sport activities.Various social benefits: e.g. additional pension insurance as well as attractive discounts for employees.
    "|https://www.linkedin.com/jobs/view/3162570273|2022-07-23 09:26:21.774945
5|Austria|data scientist|Senior Data Scientist (m/f/d)|Magna International|Graz, Styria, Austria|3 weeks ago|22 applicants|Hybrid|Full-time|Mid-Senior level|10,001+ employees|Motor Vehicle Manufacturing|"
          Job description:

 Role Summary Magna Global IT is seeking a talented Data Scientist to lead the ramp up our data science practice and socialize the potential advanced analytics and machine learning use cases. We are looking for a self-starter supporting Finance, Treasury, Sales, Supply Chain Management, Quality, and other business functions building analytics and reporting to understand overall business performance and increase organizational efficiencies. 
This role applies industry-leading analytical methodologies for working with large datasets to extract meaningful business insight and creatively solve business problems. Performing exploratory data analysis to assemble metrics and KPIs and support teams delivering analyses and recommending process improvements to help the business continue to scale.
As an ideal candidate you thrive in an entrepreneurial environment and you are fired up by the challenge of building something from the ground up. You ask questions, are continually learning as well as finding opportunities to share knowledge with others. You're a strong problem-solver, who uses both quantitative and qualitative methods to get things done.

 Key Responsibilities  Design and develop algorithms and models to use against large datasets to create business insights. Incorporate business knowledge into solution approach by trustful collaboration with internal customers and cross-functional teams. Lead Data Science & Analytics projects & initiatives and work independently on solution development; Execute tasks with high levels of efficiency and quality; Make appropriate selection, utilization and interpretation of advanced analytical methodologies; Prepare reports, updates and presentations related to progress made on a project or solution. Effectively communicate insights, recommendations and its impact to both technical and non-technical leaders and business partners. Participate in establishing and continuously improving Magna’s data science practice by developing replicable solutions (e.g. codified data products, recipes, project documentation, process flowcharts). Seek further knowledge on key developments within data science, technical skill sets, and additional data sources. Work with Senior Management to establish a Data Science roadmap and play a lead role in its execution. Socialize Data Science use cases and be a driving force for establishing a Data Science Community within Magna.  Knowledge and Education  Advanced degree, applicable certification, or equivalent experience in Operations Research, Management Science, Industrial and Systems Engineering, Statistics, Mathematics, Economics, Computer Science or related field.  Work Experience  5+ years of practical experience with data processing and analytics. 3+ years in a data science role.  Key Qualifications/Requirements  Ability to sift through data, identify critical information, analyze, develop hypothesis and make recommendations to broader audience required. Experience developing and running simulation, optimization, and what-if scenario planning tools to support decision making. Experience building and maintaining predictive and/or prescriptive models in production at enterprise scale. Excellent written and verbal communication skills in English language, including ability to develop and deliver presentation. Additional Language skills are an advantage (German, Spanish, Mandarin). Advance Knowledge and engineering skills in (Cloud) big data & database technologies, data management & data pipeline development. Experience with Microsoft Azure stack (Azure Data Warehouse, Databricks, Azure Analysis Services, Power BI) is an advantage.   Work Environment For dedicated and motivated employees, we offer an interesting and diversified job within a dynamic global team, together with the individual and functional development in a professional environment of a global acting business. Fair treatment and a sense of responsibility towards employees are the principle of the Magna culture. We strive to offer an inspiring and motivating work Environment.
The physical demands described here are representative of those that must be met by an employee to successfully perform the essential functions of this job. Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions.
Normal amount of sitting or standing, average mobility to move around an office environment, able to conduct normal amount of work at a computer.
Regular overnight travel not to exceed 25%.

 Additional Information We offer attractive benefits (e.g. employee profit participation program) and a salary which is in line with market conditions depending on your skills and experience. The annual remuneration package for this position is a minimum of EUR 55.000,- with corresponding qualification. For dedicated and motivated employees, we offer an interesting and diversified job within a dynamic global team together with the individual and functional development in a professional environment of a global acting business. Fair treatment and a sense of responsibility towards employees are the principle of the Magna culture. We strive to offer an inspiring and motivating work environment.

 Awareness. Unity. Empowerment. At Magna, we believe that a diverse workforce is critical to our success. That’s why we are proud to be an equal opportunity employer. We hire on the basis of experience and qualifications, and in consideration of job requirements, regardless of, in particular, color, ancestry, religion, gender, origin, sexual orientation, age, citizenship, marital status, disability or gender identity. Magna takes the privacy of your personal information seriously. We discourage you from sending applications via email to comply with GDPR requirements and your local Data Privacy Law.

 

Profile description:

www.magna.com


    "|https://www.linkedin.com/jobs/view/3145939917|2022-07-23 09:26:38.206339
6|Austria|data scientist|Data Scientist Business Analytics (m/w/d)|HOFER Österreich|Sattledt, Upper Austria, Austria|1 week ago|26 applicants|On-site|Full-time|Associate|10,001+ employees|Retail|"
          Aufgaben, die mich erwarten
aktives Umsetzen von Projekten mittels neuer Technologien (z.B. Big Data - Hadoop, Machine Learning) zur Unterstützung der operativen Unternehmenseinheitenlangfristiges Mithelfen bei der Integration von Cloud Lösungen zur Unterstützung von Reportingprojekten zur datengetriebenen Unternehmensteuerungeigenständiges Erarbeiten von statistischen und analytischen Modellen zur Erfüllung von Businessanforderungen in einem Team aus nationalen und internationalen Business- und ProzessexpertenVerbessern von datengetriebenen Entscheidungsprozessen basierend auf modernen Maschine Learning Techniken für vielfältige Zwecke (Forecasting, Supervised Learning, Clustering, Pattern Recognition)Sensibilisieren von Businessexpertinnen und Businessexperten für die Möglichkeiten von modernen datengetriebenen Entscheidungshilfenselbstständiges Unterstützen bei der Interpretation statistischer Berechnungen/Modelle sowie Übersetzen von Fachanwenderanfragen in technischen AnforderungenMithelfen im Reporting Prozess mit ETL Tools und Front End Lösungen zur Visualisierung der Datenmodelle
Qualifikationen, die ich mitbringe
abgeschlossene Ausbildung auf Maturaniveau oder abgeschlossenes Studium im Bereich Data Science, Mathematik, Statistik oder ähnlicher Fachrichtungenerste Berufserfahrung im Bereich der Datenanalyse mit statistischen Methoden, Big Data und/oder Machine LearningErfahrung in der Analyse großer Datenmengen mit gängigen Analyse- und Data Mining Tools (RStudio, Python, VBA, SQL) von Vorteilidealerweise Kenntnisse in SAP (ERP/BW) und Business Intelligence Tools (z.B. Power BI/Tableau)sehr gute EnglischkenntnisseFreude an der Vermittlung komplexer Inhalte sowie ausgeprägte Datenaffinitätselbständige und gut strukturierte Persönlichkeit mit ausgeprägter Kommunikations- und Teamfähigkeit
Angebote, die mich überzeugen
vielseitiges Tätigkeitsfeldumfangreiche Einarbeitungtop ausgestatteter ergonomischer Arbeitsplatz in einem modernen Bürogebäude Möglichkeit im Home Office zu arbeitenzahlreiche Weiterbildungsmöglichkeiten zur Unterstützung der persönlichen und fachlichen Entwicklungspannende After-Work Talkskostenlose Verpflegung in Form von täglich frischem Obst und Gemüse, Kaffee sowie TeeMöglichkeit eines mehrmonatigen Sabbaticalssicherer und verlässlicher Arbeitgeber
Entgelt

attraktives Brutto-Monatsgehalt ab € 3.285,- für 38,5 Stunden/Woche, Bereitschaft zur Überzahlung bei entsprechender Qualifikation

Arbeitsort

4642 Sattledt, Hofer Straße 1

Arbeitsbeginn

ab sofort

Online bewerben

Jetzt online bewerben und Lebenslauf inklusive Motivationsschreiben, Foto sowie sämtliche relevante Zeugnisse beifügen.
    "|https://www.linkedin.com/jobs/view/2800232864|2022-07-23 09:27:02.780403
7|Austria|data scientist|Data Scientist (m/f/d)|Netconomy|Graz, Styria, Austria|1 day ago|16 applicants| |Full-time|Entry level|201-500 employees|Software Development|"
          DEINE AUFGABEN
Du führst Recherchen durch und entwickelst auf deren Grundlage Prototypen und Proofs of ConceptDu erstellst Berichte und Visualisierungen, um Ergebnisse sauber und übersichtlich zu kommunizierenDu arbeitest an der kontinuierlichen Verbesserung von Daten und Modellen anhand von Forschung und ExperimentenDu leitest technische Gespräche und Workshops mit dem Kunden in der Explorationsphase für potenzielle AnwendungsfälleDu führst den Austausch von Fachwissen und technische Überprüfungssitzungen durch, um dem Kunden den Fortschritt zu zeigenDu hältst dich über die neuesten Forschungsergebnisse und ML-Trends auf dem Laufenden und gibst dein Wissen im Team weiter

Deine Skills
Du kannst mindestens 2 Jahre Erfahrung in der Industrie oder im akademischen Bereich sowie abgeschlossene Projekte vorweisenDu bist versiert in Machine Learning Ansätzen und Machine Learning FrameworksDu hast ein gutes Gespür für ExperimenteDu bringst fundiertes Verständnis für Python und Bibliotheken wie Pandas, Numpy, Jupyter, etc. mitDu hast gute Kenntnisse in TensorFlow für die Implementierung von AlgorithmenDeine Grundlagenkenntnisse in der Nutzung von GPU-Beschleunigern sind von VorteilDu bist idealweiser vertraut mit Linux-basierter EntwicklungDu bist eine starke, teamorientierte Persönlichkeit mit ausgezeichneten KommunikationsfähigkeitenDeine Englischkenntnisse (mind. Level C1-C2) sind verhandlungssicher

UNSER ANGEBOT
Profitiere von einer Vielzahl an externen Schulungsprogrammen und unserem internen Bildungsangebot der NETCADEMYNimm an unseren wöchentlichen Social Club Events teil oder feiere Meilensteine mit deinem Team. Das geht aufs Haus :)Frühaufsteher oder Nachtschwärmer? Dank unserer flexiblen Arbeitsmodelle beginnt dein Arbeitstag wann und wo es dir am besten passtSei bei sozialen Initiativen dabei und beteilige dich an verschiedenen Projekten wie z.B. unserem NETCONOMY Charity RunHier macht der ""Büroalltag"" Spaß - egal ob in der Chillout-Lounge, bei einer Runde Billard oder in unseren modernen ArbeitsräumenErstklassiges Tech-Equipment, Mobilitätszuschuss, Ermäßigungen bei unseren Partnerunternehmen und alles, was du sonst noch brauchst

Hinweis für Österreich gemäß
9 Abs. 2 GlBG: Das Mindest-Grundgehalt laut IT-KV beträgt € 2.635,00 brutto / Monat bei Vollzeitbeschäftigung. Das tatsächliche Gehalt ergibt sich in Abhängigkeit von Ausbildung, Qualifikation und Erfahrung.
    "|https://www.linkedin.com/jobs/view/3117249523|2022-07-23 09:27:28.135393
8|Austria|data scientist|Werkstudent Data Scientist (m/w/d)|Groupe SEB|Vienna, Austria|3 weeks ago|29 applicants|On-site|Full-time|Associate|10,001+ employees|Manufacturing|"
          Die Groupe SEB (www.groupeseb.com) ist weltweit mit mehr als 34.000 Mitarbeiterinnen und Mitarbeitern führender Hersteller für Haushalts- und Elektrokleingeräte. Die Premiummarken Krups, Moulinex, Rowenta, Tefal, Emsa und WMF bilden ein Topsortiment für eine weiterhin erfolgreiche Wachstumsstrategie. Um die gute Marktposition in Österreich weiterauszubauen, suchen wir zum nächstmöglichen Zeitpunkt eine ambitionierte und verantwortungsvolle Persönlichkeit als

Werkstudent Data Scientist (m/w/d)

Ihre Herausforderung:
Unterstützung bei der Analyse und Aufbereitung von kundenspezifischen DatenVerantwortung für die Pflege und Weitentwicklung eines Reporting-SystemsKonzeption und Erstellung von Power-BI-Dashboards zum kontinuierlichen Monitoring relevanter KPIsUnterstützung, Aufbereitung und Präsentation von ErgebnissenProjektmanagement: Aufbau der Infrastruktur in engem Austausch mit den StakeholdernUnterstützung von Projekten im Bereich Analytics, Machine Learning (ML) und Artificial Intelligence (AI)Prüfung und Sicherstellung der DatenqualitätAbleitung von geschäftsrelevanten Erkenntnissen aus den erstellten Analysen möglicher VerbesserungsmaßnahmenAnalyse von Geschäftsprozessen unter Anwendung von Data-Science-MethodenEntwicklung neuer Ideen

Ihre Kompetenzen und Erfahrungen:
Immatrikulierter Student der Fachrichtung Betriebswirtschaftslehre Mathematik, Wirtschaftswissenschaften oder vergleichbarIdealerweise erste Praxiserfahrungen in Form von Praktika oder einer WerkstudententätigkeitHerausragende analytische FähigkeitenEine exzellente Auffassungsgabe und groβe Leidenschaft für Zahlen und dessen InterpretationIT-Affinität und sicherer Umgang mit MS-Office-Programmen insbesondere ExcelGute Englischkenntnisse in Wort und SchriftSehr gute Kenntnisse in Python und SQL (Ein guter Data Scientist beherrscht nicht nur die Structured Query Language (SQL), sondern ist sich auch der Bedeutung relationaler Beziehungen bewusst, kennt also auch das Prinzip der Normalisierung)Sehr gute Kenntnisse große Datenmengen einfach zu veranschaulichen z.B. in Power BI als auch Qlicksense und Qlickview Dasboards / Cockpits erstellen)Praktische Erfahrungen in der Erstellung von Datenbankabfragen und automatischen Reports.Eigeninitiative sowie TeamfähigkeitAnalytisches Denken und HandelnStrukturierte, lösungsorientierte ArbeitsweiseZuverlässigkeit, Flexibilität, OrganisationsfähigkeitHohe Motivation, Lernbereitschaft und eine positive ArbeitseinstellungDurchsetzungsvermögen


Unsere Leistungen:Eine spannende Aufgabe für Bewerber (m/w/d) mit Interesse an einer Tätigkeit in einem wirtschaftlich sehr gesunden Unternehmensumfeld. Je nach Eignung und Potenzial können sich Ihnen andere Perspektiven im Vertrieb oder Marketing eröffnen. In der Groupe SEB stehen Menschen im Zentrum – bringen Sie sich ein und tragen Sie zum Erfolg des Unternehmens bei! Wir belohnen Ihren Erfolgswillen und Ihren Einsatz.
Ihr Gehalt:Für diese Funktion bieten wir ein attraktives Vergütungspaket, das Ihrer individuellen Erfahrung und Qualifikation entspricht. Das kollektivvertragliche Brutto-Monatsgehalt beläuft sich bei einer Wochenarbeitszeit von 20 Stunden mindestens bei € 935 (14 x p.a.). Eine Überzahlung ist je nach Erfahrung und Ausbildung möglich.
Kontakt:Bitte senden Sie Ihre vollständigen Bewerbungsunterlagen per E-Mailan personal@groupeseb.com oder direkt über LinkedIn.
SEB Österreich Handels GmbHLanger Weg 28A-6020 Innsbruck
    "|https://www.linkedin.com/jobs/view/3146868694|2022-07-23 09:27:39.428545
9|Austria|data scientist|Data Scientist|Red Bull|Fuschl am See, Salzburg, Austria|2 weeks ago|116 applicants|On-site|Full-time|Associate|10,001+ employees|Food and Beverage Services|"
          Do you want to apply rigorous but pragmatic analytical frameworks to assist in the development of business actions with impact? Join our Global Analytics Lab as Data Scientist!In this exciting position, you'll become part of a broader specialist data department whose goal is to create business value through actionable application of data. Supporting data science projects at Red Bull, you'll be expected to implement statistical and machine learning models, as well as assist in the quality assurance process.
Areas that play to your strengthsAll the responsibilities we'll trust you with:
#CONTENT RESPONSIBILITY- Support and take part-ownership of analytics projects, focusing specifically on model application and testing- Work directly with other Data Scientists in an executive capacity for their advanced analytics needs, while maintaining a pragmatic approach in everything you do- Carry out thorough, exploratory analysis to evaluate a data set’s “fitness-for-purpose” as well as develop best practice modelling solutions ensuring the highest validation standards- Foster conscientious handling of data and an excellent ability to absorb new skills and techniques quickly- Act as a trainer of our internal analytics trainings and help advancing the business’ understanding of key analytical and visualization concepts
#OPERATIONAL RESPONSIBILITY- Be part of the Global Analytics Lab which is responsible for developing and managing analytics and data science for various departments- Support the Data Science team to implement projects in an efficient manner- Be responsible for quality assurance of projects from a methodological and pragmatic point of view
Your areas of knowledge and expertisethat matter most for this role:Master’s degree in data science, mathematics, statistics, theoretical physics or related fieldFluent in English, German is a plusRelevant experience in quantitative analytics and statisticsWorking experience in application of statistical modelling (e.g. R) with openness to learn others (e.g. Python)Experience with statistical techniques, including testing, regression, and classificationApplied knowledge of machine learning and deep learning algorithmsAbility to give understandable presentations on complex topicsVery good communication and interpersonal skillsStrong willingness to learn
We are looking forward to your online application!
    "|https://www.linkedin.com/jobs/view/3109310164|2022-07-23 09:27:55.979113
