id|country|searchterm|job_title|company|job_location|time|applicants|workplace|working_time|job_level|company_size|industry|job_details|job_url|timestamp
2|Portugal|data scientist|Staff Data Scientist|PandaDoc|Portugal|5 days ago|23 applicants|Remote|Full-time|Mid-Senior level|501-1,000 employees|Software Development|"
          Your role as the Staff Data Scientist is to build machine learning models to automate document-driven workflows. You will report directly to the Director of Engineering, AI, and Data and work closely with the Product, and Engineering organizations.

You will be working on machine learning models to help our customers better organize, search and filter documents, build detailed reports and give them actionable insights.

Examples Of Machine Learning Problems Include

Text classification models to understand the document types within a fileInformation extraction models to extract key data points from the document. e.g. for contracts and agreements, we are interested in parties, effective date, expiration date, total contract value, signors, signature date, and other data pointsObject detection models to detect bounding boxes of signatures and empty boxes where information can be entered

In This Role, You Will

Design and develop solutions for real-world business problemsBuild and deploy machine learning models to analyze the content, structure, and metadata of the document; extract various data points from the content of the documentUse state-of-the-art model architectures, language models, and techniques to improve the accuracy of modelsWork with large datasets of millions of documents

About You

5+ years of hands-on experience in a variety of applications of machine learning including Natural Language Processing and Computer VisionB.S. or M.S. in Mathematics, Statistics, Computer Science, Economics, and/or Engineering SciencesExperience working with cleaning, manipulating, and visualizing dataExperience with data science projects from end to end, starting with problem formulation to model development in productionExcellent communication and presentation skillsExcellent interpersonal skills, with a consistent record of working across all levels of the organizationTeam player who understands the collaborative nature of this workStrong Python, Pandas, Scikit Learn, PyTorch, or TensorFlow skills are requiredExperience with machine learning platforms and tools, AWS preferredAbility to communicate effectively in English, both orally and in writing

Company Overview

PandaDoc empowers more than 40,000 growing organizations to thrive by taking the work out of document workflow. PandaDoc provides an all-in-one document workflow automation platform that helps fast scaling teams accelerate the ability to create, manage, and sign digital documents including proposals, quotes, contracts, and more. For more information, please visit https://www.pandadoc.com.

Company Culture

We're known for our work-life balance, kind co-workers, & creative virtual team-bonding events. And although our Pandas are located across the globe, we stay connected with the help of technology and ensure that everyone on our team feels, well, like a team.

Pandas work best when they're happy. We retain our talent by upholding our values of integrity & transparency, and selling a product that changes the lives of our customers.

Check out our LinkedIn to learn more.

Benefits

An honest, open culture that emphasizes feedback and promotes professional and personal developmentAn opportunity to work from anywhere — our team is distributed worldwide, from Lisbon to Manila, from Florida to CaliforniaAn annual personal budget for educational classes, conferences, etc. — anything to further your professional knowledgeA competitive salaryAnd much more!
    "|https://www.linkedin.com/jobs/view/3175137820|2022-07-24 11:16:00.445985
3|Portugal|data scientist|"Data Scientist - Customer Analytics | Fidelidade"|Fidelidade|Lisbon Metropolitan Area|3 weeks ago|38 applicants|Hybrid|Full-time|Mid-Senior level|1,001-5,000 employees|Insurance|"
          Principais Atividades:Examinar e explorar grandes quantidades de dados estruturados e não estruturados a fim de descobrir conhecimento (insights) com interesse para o negócioUtilizar linguagens e ferramentas adequadas ao tratamento estatístico da informaçãoRecolher e preparar as variáveis relevantes para o processo de modelação (feature engineering)Selecionar o que melhor se adequa ao cenário em causa e configurar os respetivos hiper-parâmetros (hyperparameter), recorrendo a um catálogo atualizado de modelosDesenvolver modelos de venda cruzada (cross-sell), melhoria de produto (up-sell), propensão à fuga (churn), segmentação de clientes, entre outrosGarantir a disponibilidade e performance dos respetivos modelosImplementar as melhorias contínuas consideradas necessárias para manter a aderência dos modelos à evolução temporal da realidadeGarantir a existência da documentação necessária e suficiente sobre a atividade de modelação desenvolvidoComunicar o conhecimento (insights) obtido de forma clara e concisa ao negócioPropor, desenhar e desenvolver novas abordagens, metodologias analíticas, modelação matemática e prototipagem de algoritmos que melhorem processos existentes no negócio.

 Perfil pretendido:Formação superior em Estatística, Ciências da Computação, Matemática, Física, Engenharia ou campos quantitativos equivalentesExperiência profissional de 2 a 6 anos em funções similaresDomínio técnico e metodológico das principais técnicas estatísticas e de aprendizagem automática (machine learning)Proficiência na aplicação prática de técnicas analíticas para a solução de necessidades específicas de negócioProficiência principalmente em SAS, SAS Miner, R e PythonConhecimento de outras plataformas e linguagens analíticas são valorizadasFluência em Inglês (mandatório)Valoriza-se o conhecimento de técnicas de analítica avançada (advanced analytics), em particular em aprendizagem automática (machine learning) como modelos supervisionados (supervised learning), não supervisionados (unsupervised learning) e de aprendizagem por reforço (reinforcement learning)Capacidade de levantar requisitos de negócio e de traduzir as necessidades em soluções analíticas eficazesValoriza-se particularmente o pensamento crítico na interpretação das diversas análises univariada/bivariada e na escolha de variáveis que adicionem valor nos modelos a desenvolverAbordagem orientada à execução de projetos complexos e de alta visibilidadeÓtimas capacidades de relacionamento interpessoalCapacidade de trabalhar em equipaCuriosidade, criatividade, paixão pela aprendizagem contínua e interesse em novos desafios.
Caso considere esta oportunidade desafiante e reúna os requisitos, candidate-se! Envie-nos o seu Curriculum Vitae, até ao dia 31/07/2022.
    "|https://www.linkedin.com/jobs/view/3149183815|2022-07-24 11:16:10.910061
4|Portugal|data scientist|Data Scientist Specialist (2 Positions)|4TE|Lisbon, Portugal|2 days ago|17 applicants|Hybrid|Full-time|Mid-Senior level|11-50 employees|Insurance|"
          Full Time | Entry-level | Hybrid WorkReporting to the Head of MS&T, the Data Science Specialist is responsible for the technical execution of projects, especially Data Science projects from start to finish, with the goal of generating value from the data collected. Additionally, this position is involved conducting research, extracting, and analyzing data from various sources, assisting in data storage, and creating predictive modeling processes.In this role you'll get toCollect data for the construction of predictive models in the area of Life SciencePredictive analysis of medicinal products in the development phaseApply data mining techniques, perform statistical analysis and build high-quality forecasting systems integrated with company-client products and softwareImprove data collection procedures to include relevant information in the construction of analytical and predictive systemsProcessing, management, and verification of the integrity of the data used for analysisCreation of automated systems for the detection of anomalies and constant monitoring of product performance and communication of results to managementInvolve computational pairs throughout the research to identify recurrent problems that can be solved at scale, focusing on all data domains that are of practical use in the discovery and development of medicationDesign, implement and maintain robust methods, algorithms, and programs (python, R) that help the IT area solve challenges in an easier wayDesign and implement visualizations, dashboards, and web services for data disseminationIncrease understanding and control of manufacturing and implement online/real-time analytics technologies combined with multivariate data analysis tools to increase operational efficiencyIdentify opportunities for improvement within customer frameworks, test data-based, and science-based approaches, and define appropriate methodologiesFacilitate the definition of service levels and customer requirements, interacting regularly with them to assess their needs and develop plans for improvement in deliveryExecute internal projects with presentations at conferences or disclosure of patents for potential patent applicationsProduce training materials for internal courses or participate, such as speakers, in conferences and public presentationsProvide adequate training at internal and external levels (consulting with clients).We're looking for people whoFluency in EnglishTeamwork & CollaborationRigor & CommitmentActive ListeningInitiative & Proactivity AnalyticalThinking & Problem SolvingResults Oriented.What should be your education:BSc. in Engineering, Economics, Business Operations or related fieldsMaster’s Degree in related fields. (nice to have).Apply!

    "|https://www.linkedin.com/jobs/view/3174979518|2022-07-24 11:16:27.207488
5|Portugal|data scientist|Data Scientist - Banking Sector|Capgemini|Lisbon, Lisbon, Portugal|5 days ago|6 applicants|On-site|Full-time|Mid-Senior level|10,001+ employees|IT Services and IT Consulting|"
          At Capgemini Portugal , we are searching for a Data Scientist to reinforce our teams!

If you have at least 3 years of experience and you are looking for new challenges in Lisbon to help you evolve as a professional, Capgemini Portugal is the place for you!

What are we looking for?
Proven experience in Kibana, Logstash, ElasticSearch and Shell. Fluency in english and french is a plus. 
What are we offering?
The chance to work on interesting challenging projects for national and international clients;The opportunity to work in great, dynamic teams;Health and Life insurance;The possibility of investing on certifications and training;A permanent contract with an attractive compensation package and benefits.
    "|https://www.linkedin.com/jobs/view/3171273332|2022-07-24 11:17:03.467810
6|Portugal|data scientist|"Remote | Data Scientist (Search)"|OLX Group|Portugal|1 week ago|24 applicants|Remote|Full-time|Entry level|10,001+ employees|Internet Publishing|"
          WELCOME TO OLX GROUP

Over 300 Million monthly active users; US $1.6 billion in revenue and 18% revenue growth (FY 2021; 36% growth in FY2020); Part of Naspers’ Prosus, one of the biggest technology investors in the world (An early investor in Tencent and the owner of StackOverFlow). +30 countries. +20 Brands. Powered by +10,000 employees representing 81 nationalities. 

That’s what’s on our plate at OLX Group.

And that's why we need your help. Join Us. Shape your career with us.

Data Science org

The Data Science team at OLX Group is responsible for building algorithmic solutions to facilitate transactions between buyers and sellers. We are developing personalization technologies and optimization strategies that have a direct impact on OLX’s users as well as the company’s bottom line.

You will be encouraged to research state-of-the-art machine learning, in the areas of search relevance, ranking, recommender systems, and more. Applying these methods to core OLX product platforms deployed in the cloud that are affecting the user experience for millions of visitors per month, rolling your solutions to production, analyzing model results offline and online, and measuring site impact.

Some of the challenges that we are focusing on are maximizing the relevance of the search results by applying ML-based rankers, combining different sources of ads in search and recommendations to optimize the satisfaction of both buyers and sellers, estimating the impact that the interactions generated by the buyers have on the revenue, and detecting trending products even before they become popular.

The Buyer team

The Data Science Buyer team at OLX Group is responsible for unlocking the hidden value for our users by using data and artificial intelligence. Our main goal is to help our customers to find the best products in an efficient and enjoyable way. We have a track record of impactful applications of ML to solve business problems in some of the main user flows and we want to continue expanding the boundaries of what ML is capable of at OLX.

Our team collaborates with product teams from OLX, as well as the Motors and Real Estate verticals like Otomoto and Otodom, across the entire EU region. This means that our solutions need to scale to millions of data points and may be reused in markets with similar characteristics. We think of experimentation as a tool to learn what our users want. We always start simple and fail fast. This way we can create solutions that can be adapted to every market.

On a typical day, you will be interacting with other members of your cross-functional team. You may collaborate with a data analyst to analyse the results of an A/B test or discuss different alternatives to impact the team’s KPIs with the product manager, or you may have to present your amazing jupyter notebook to other data scientists to collect feedback. In any case, you will find a group of friendly people that wants to collaborate with you to improve the user experience and ultimately have fun together!

What You'll Be Doing
Work in multi-functional teams with people from different backgroundsFind opportunities where data science will make an impactHelp to translate business requirements into machine learning modelsBuild effective solutions with machine learningBring machine learning services to production together with engineersMeasure the impact of your models on company goalsCollaborate with internal and external stakeholders
What Are We Looking For
Strong data analysis and machine learning skillsAt least 2 to 3 years of professional data science experienceExperience participating in projects related to search relevance and rankingStrong engineering background: proficiency in Python and a good understanding of best engineering practicesExposure to other programming languages such as Kotlin, Java, Scala, etcExperience with at least two of the following machine learning frameworks: Scikit-Learn, XGBoost, TensorFlow, PyTorch, (or similar)Hands-on experience in the Python ecosystem for data science Understanding of A/B testing and experimentationProficient in English with excellent written and oral communication skillsBased in Portugal.
Nice To Have
Experience bringing models in production and serving models at scaleExperience using AWS for deploying machine learning solutionsExperience with building data pipelines using tools like Spark and AirflowExperience with Solr or ElasticsearchExperience with recommender systemsExposure to NLP libraries such as spaCy, SparkNLP or BERTExposure to production infrastructure and DevOps practices: monitoring, alerting, CI/CD, container-orchestrating platforms, and infrastructure-as-code tools (Grafana, Prometheus, Kubernetes, Terraform)Exposure to MLOps tools
What We Offer
Permanent contract.Annual bonus of 15% of your base salary.Strengths-based personal career development.Company mobile phone, MacBook Pro or Windows Dell along with necessary accessories to make your work comfortable.Competitive compensation and benefits (medical care, sports package and others).Training and conference budget.The opportunity to learn from each other and become better every day.A passionate and diverse team of data scientists spanning across several tech hubs in Europe and around the world.
a Bit More About Us

Check our careers website here.

Discover why you should join the OLX Group Now

Check out our talent, product, engineering and design blogs here

Follow us on Linkedin

We encourage people of all races, ethnicities, disabilities, ages, gender identity or expression, backgrounds and experiences to consider applying for this role. We are committed to building an inclusive culture that seeks out the diverse perspectives and experiences of our people and becomes a company superpower and strategic competitive advantage.

The OLX Group (OLX Group consists of OLX Global B.V. and its affiliated companies) will handle your personal data with care and will process your personal data to assess your fit for the position you are applying for. You can give your consent (optional) to allow us to store your data for up to 12 months after the application process. So that in case you are not fit for the role at stake we can consider you for other suitable roles.

Please refer to our Privacy Statement to find out more about how your application data will be processed.
    "|https://www.linkedin.com/jobs/view/3162052178|2022-07-24 11:17:20.779645
7|Portugal|data scientist|AWS Data Scientist|Devoteam|Portugal|1 month ago|175 applicants|Remote|Full-time|Mid-Senior level|5,001-10,000 employees|IT Services and IT Consulting|"
          ABOUT DEVOTEAMAt Devoteam, we believe that technology with strong human values can actively drive change for the better. Discover how Tech for People unlocks the future, creating a positive impact on the people and the world around us. We are a global leading player in Digital Transformation for leading organizations across EMEA, with a revenue of €652M. We believe in transforming technology to create value for our clients, partners and employees in a world where technology is developed for people. We are proud of the culture we have built together. We are proud of our people at the service of technology. We are proud of our diverse environment. Because we are #TechforPeople. Join our multidisciplinary team of Cloud experts, Designers, Business consultants, Security experts, Engineers, Developers and other extraordinary talents, spread across more than 18 EMEA countries. Become one of our +8.000 tech and business leaders on cloud, data and cyber security. Let’s fuse creativity with technology together and build innovative solutions that actively change things for the better.
What we're looking forWe are currently looking for a AWS Data Scientist.
The desired qualifications and skills are:Bachelor’s degree in the IT area or equivalent;Working experience with Amazon Web Services stack;Understanding of Amazon SageMaker and Amazon A2I;Hands-on experience with AWS Deep Learning is a plus;Great communication skills;Fluency in English (written & spoken).

Does this sound like you?Come build with us, innovative solutions that actively change things for the better.Apply today!
    "|https://www.linkedin.com/jobs/view/2867528461|2022-07-24 11:17:35.153439
8|Portugal|data scientist|Data Scientist|Smart Consulting|Lisbon Metropolitan Area|4 months ago| | |Full-time|Associate|201-500 employees|IT Services and IT Consulting|"
          Transformação, adaptabilidade e inovação fazem parte do nosso ADN. Somos apaixonados por tecnologia e queremos fazer parte da tua história.Queres tornar os teus objetivos de carreira nas áreas de IT e de Telecomunicações reais? Partilhamos da mesma paixão? Chegaste ao sítio certo, à Smart!

O que é preciso para seres um SMART DATA SCIENTIST? • Licenciatura em Engenharia Informática ou similar• Experiência profissional como Data Scientist• Experiência com R, Python, Java ou Scala • Experiência com base de dados não relacionais • Boa capacidade de comunicação• Flexibilidade e dinamismo• Inglês

Porquê ser SMART?• Tornamos reais os projetos em que participamos• Amamos o que fazemos, e temos orgulho no resultado do nosso trabalho• Somos simples e eficientes• Valorizamos as nossas pessoas• Somos uma equipa dinâmica, íntegra e de confiança
Onde podes ser SMART?Lisboa
Tens um perfil SMART?Envia o teu CV!
    "|https://www.linkedin.com/jobs/view/2650543918|2022-07-24 11:17:50.419545
9|Portugal|data scientist|Data Scientist (M/F) - Lisbon|Capgemini Engineering|Lisbon, Lisbon, Portugal|6 days ago|19 applicants| |Full-time|Entry level|10,001+ employees|IT Services and IT Consulting|"
          Oferecemos
Acesso a uma comunidade de mais de 400 pessoas em AI, sendo 50 em Portugal.Formação, sendo a integração na equipa efetuada com training imediato.Participação em projetos em Portugal e internacionais (a partir de Portugal).Desafios bastantes complexos em ambiente on-prem e Cloud.
Missao
Integração no World Class Centre da Altran para AI, Tessella, que opera em 7 países e tem mais 400 pessoas em AI sendo 150 PHDs.
Perfil
Formação superior em Engenharia Informática, Matemática ou Química, etc..;Conhecimentos de matemática e estatística;Interesse/conhecimentos em Machine learning e Deep learning;Interesse/conhecimentos de SparkML, Keras, TensorFlow, H20, Knime são um plus;Bom nível de Inglês;
    "|https://www.linkedin.com/jobs/view/3167475725|2022-07-24 11:18:00.624654
10|Portugal|data scientist| | | | | | |Full-time|Entry level|10,001+ employees|IT Services and IT Consulting|"
          Oferecemos
Acesso a uma comunidade de mais de 400 pessoas em AI, sendo 50 em Portugal.Formação, sendo a integração na equipa efetuada com training imediato.Participação em projetos em Portugal e internacionais (a partir de Portugal).Desafios bastantes complexos em ambiente on-prem e Cloud.
Missao
Integração no World Class Centre da Altran para AI, Tessella, que opera em 7 países e tem mais 400 pessoas em AI sendo 150 PHDs.
Perfil
Formação superior em Engenharia Informática, Matemática ou Química, etc..;Conhecimentos de matemática e estatística;Interesse/conhecimentos em Machine learning e Deep learning;Interesse/conhecimentos de SparkML, Keras, TensorFlow, H20, Knime são um plus;Bom nível de Inglês;
    "|https://www.linkedin.com/jobs/view/1702057007|2022-07-24 11:18:13.664860
11|Portugal|data scientist|Factory Data Domain Expert (Data Scientist) (m/f/d)|Siemens|Lisbon, Lisbon, Portugal|2 days ago|2 applicants| |Full-time|Mid-Senior level|10,001+ employees|Automation Machinery Manufacturing|"
          The time to change is now! 

It's time to build a sustainable future and define how we evolve through technology with purpose.

At Lisbon Tech Hub we create value in the business digital transition, from Portugal to the world, and IT solutions with purpose. Our team has more than 1300 experts working in areas such as Analytics & Business Intelligence, Application Lifecycle Management, Cybersecurity, IT Infrastructure Management, IT Project & Service Management and IT Strategy & User Experience.

Lisbon Tech Hub innovates, designs, transforms the information technology solutions and services for Siemens through our delivery units.

Transforming our future starts with every day!

Lisbon Tech Hub is the home of the new technologists - Dream Builders, Impact Creators & Future Makers.

Are you one of them? Join us!

What role will you play?

Build and lead strong team of data- and visualization engineers that can assume end-to-end responsibility for their projects or set of servicesSupport the team on identifying priorities, project escalations, individual coaching, and personal developmentGrow/foster an agile mindset and an agile way of working (e.g. agile working methods)Build deep relationships with customers to become a trusted advisor for their most critical data and visualization workloads that support their digital transformation Take ownership of key projects and manage those projects with the key stakeholders from the business.
We are looking for:

University Degree in Mathematics, Computer Science, Business Administration or similar quantitative field or equivalent practical experience.More than 3 years of experience in leadership of international teamsMore than 2 years of people management (project or team lead experience)Excellent communication and mediation skillsExperience with procurement data models (e.g. SAP raw data)Experience with AWS and Snowflake data warehousesExperience with logistics data models (e.g. SAP raw data)Experience in process mining (e.g. Celonis)Experience in SQL, analyzing and modeling datasetsExperience in Visualization technologies (e.g. Qlik, Tableau, PowerBI)Experience with AI/ML algorithmsAbility to understand technical concepts and turn them into business termsCustomer centric mindsetWork experience in agile methodologies (e.g. SCRUM)Business fluent English language skills (written and spoken)
What we have to offer:

A flexible home office and schedule policy, virtual budget to improve your home office setup, health insurance, a Pension Plan and a Siemens Share Program time and financial support to your studies, medical center in the facilities, sport groups, 2 days for volunteering initiatives and a cool and relaxed environment.

Access to e-learning platforms (Learnlight, Bookboon, Linkedin Learning and more), discounts with partners.

#Siemens #LXTechHub #ITMakesUsMove

We recognize that building a diverse workforce is crucial to the success of our business. Therefore, Siemens provides equal employment opportunities to all qualified individuals without regard to race, creed, color, religion, national origin, age, gender, marital status, sexual orientation, or non-disqualifying physical or mental handicap or disability.

We strongly encourage applications from a diverse talent pool and welcome the opportunity to discuss workplace adjustments with all our applicants to develop agile working and innovation.

Organization: Information Technology

Company: Siemens S.A.

Experience Level: Mid-level Professional

Job Type: Full-time
    "|https://www.linkedin.com/jobs/view/3182472184|2022-07-24 11:18:24.115159
