id|country|searchterm|job_title|company|job_location|time|applicants|workplace|working_time|job_level|company_size|industry|job_details|job_url|timestamp
4|Spain|data scientist|BUSINESS DATA SCIENTIST|Iberdrola Renewables|Madrid, Community of Madrid, Spain|10 hours ago|6 applicants| |Full-time|Entry level|10,001+ employees|Electric Power Generation|"
          Compañía

I-DE REDES ELE INTE S.A.U

Ubicación

MADRID, M, ES

#job-location.job-location-inline {

display: inline;

}

Instalación

EDIFICIO IBERDROLA MADRID
buttontextc2287843d29bf375 a{
border: 1px solid transparent;

}
buttontextc2287843d29bf375 a:focus{
border: 1px dashed #427135 !important;

outline: none !important;

}

Compañía Compañía Iberdrola es un líder energético global el primer productor eólico y una de las mayores compañías eléctricas por capitalización bursátil del mundo. El grupo suministra energía a cerca de 100 millones de personas en decenas de países como España, Reino Unido (ScottishPower), Estados Unidos (AVANGRID), Brasil (Neoenergia), México, Alemania, Portugal, Italia o Francia y cuenta con una plantilla de más de 35.000 personas. Iberdrola lidera la transición energética hacia un modelo sostenible a través de sus inversiones en energías renovables, redes inteligentes, almacenamiento de energía a gran escala y transformación digital para ofrecer los más avanzados productos y servicios a sus clientes. Gracias a su apuesta por las energías limpias, es una de las compañías con menores emisiones y un referente internacional por su contribución a la lucha contra el cambio climático y a la sostenibilidad.

¿Quieres formar parte de la compañía líder en el sector energético? ¿Eres una persona con iniciativa, orientada a resultados y apasionada? ¿Te gustaría crecer como profesional en la multinacional líder en energías limpias? Misión

Generación de valor/eficiencias para el negocio de Redes España a partir del conocimiento de los procesos y de los datos generados por ellos, mediante el desarrollo de modelos de analítica avanzada. Responsabilidades

Creación de casos de uso analítico Diseño de modelos matemáticos adecuados y ejecución del mismo del caso de negocio Gestión del caso de negocio Participación en el desarrollo de la Unidad Analítica del Dato Habilidades y Requerimientos

Grado en Matemáticas o Ingenierías Recomendable Máster especialización en datos Inglés nivel C1 Experiencia en análisis de procesos, modelos de relación y tratamiento de datos ¡SÚBETE A LA ENERGÉTICA DEL FUTURO!
    "|https://www.linkedin.com/jobs/view/3185669905|2022-07-24 04:15:25.829050
5|Spain|data scientist|Data Scientist Intern – Advanced Analytics (Nordics)|Verisure|Pozuelo de Alarcón, Community of Madrid, Spain|1 day ago|47 applicants|Hybrid|Full-time|Entry level|10,001+ employees|Consumer Services|"
          Data Scientist Intern – Advanced Analytics (Nordics)



Verisure is seeking a talented, innovative, passionate Data Scientist Intern to join our team.

This is your chance to visibly impact on Verisure’s growth and the development of a best-in-class organization that is present in 16 countries (Europe and America). The role will work closely with the finance teams in the Nordic countries, and other key roles in the organizations with the aim to further build and enhance the Finance function in the Nordics and share best practices.

The company’s success depends on its people and invests in them every day. Working with Verisure is being part of an industry leading world-class company that has a strong entrepreneurial spirit. 



 Strategic context and Value proposition



Over the past years, Verisure has experienced an exceptional and resilient financial performance with a very long track record of double-digit growth - thanks to continuous drive for Innovation, our very sophisticated Go to Market and replicable business model for expansion into new countries. Our strong and visionary Management Team is now supporting the business’ next phase of growth with a robust business plan for value creation. In the Finance Team, we work every day to understand the economic drivers that are impacting our business and shaping our future performance. We see huge opportunities to scale, drive transformation and to accelerate growth and best practice sharing and find more common opportunities among the Cluster Countries.

This role is all about developing advanced analytics models and tools for decision making. Your goal is to use data to present a clear picture of our current business situation and opportunities. Moreover, we expect you to help us to harmonize and standardise shared processes and analysis among the Nordic Countries.

Key responsibilities

 Help the Finance Nordic Cluster team to understand and manage data in order to make complex decisions in a business environment. Drive the process for extracting the data and using it (e.g., data cleaning, data analysis, result interpretation) in creative ways to reach business conclusions. Apply advanced analytics models and quantitative tools to solve complex business problems and drive our company strategy. Advise on analytical and technical requirements to continue growing based on a data-driven mindset.  

 Examples of day-to-day tasks

 Understand our digital ecosystem to use data for other ad hoc analysis (ie. Identifying customers’ turn trend, evaluation business channels profits...) Design dashboard for monthly closing routines and analysis. Support the development of the Revenue Assurance Model to identify those opportunities to improve the company profit. 

 Location



Madrid.



 Reports and organization structure



The role will be part of the Nordic Cluster Team.

Candidate profile



 Experiences and Competencies



 Top, successful educational background (mathematics, statistics, physics, engineering). Knowledge in programming (e.g., SQL, R or Phyton). Knowledge in advanced statistics techniques (e.g., ANOVA, Factor Analysis, Cluster Analysis, Regression Analysis, etc.). Advance in Excel and Power Point. Desirable knowledge in Power BI. Fully proficient in English. Strong analytical skills to drive insights through metrics presenting conclusions effectively. Reliability - ability to produce work of very high quality on a timely manner, ability to prioritize and handle multiple tasks within tight deadlines. Agility - able to manage uncertainty and adapt to change with pragmatism. Knows how to get things done in ambiguous, executive settings. Team player, humble, comfortable and effective in a hands-on, team-oriented environment.  



 Verisure will offer you



Our internship programmes are incredibly successful with a high retention rate and the potential to join us on a permanent basis. Verisure will offer you:

 Paid internship with a full-time schedule and flexibility. Hybrid model. Work from home and at our great Madrid offices in Pozuelo de Alarcón. Lunch included at our canteen. You won’t need to pay for your daily meal when you are at the office. Holiday/Vacation entitlement. Dynamic and vibrant environment. Our office is an open-plan space in which you will be able to interact with the best professional from different teams at all levels. A minimum term of 6 months with the potential to extend to an additional 6 months.  



 Strong fit with our Company DNA

Passionate in Everything We Do: Our people have a sense of energy that is unmistakable, one that drives us to delight our customers and focus on creating impact quickly. Committed to Making a Difference: When we say we will do something; we deliver with excellence. We are accountable, focused and operate with discipline. Always Innovating: We believe that Innovation can be big or small; it’s a continuous state of mind that inspires us to think differently and always make things better. We are risk takers and we learn continuously. Winning as a Team: Our people know that by leveraging one another’s strengths, investing in and developing our team’s capability and by collaborating well, we will win. With Trust & Responsibility: Operating with integrity is core to our success. We are humble, honest and value deep mastery and expertise. We do the right thing, always.
    "|https://www.linkedin.com/jobs/view/3180190407|2022-07-24 04:15:40.976658
6|Spain|data scientist|Data Scientist (Andorra)|Gauss & Neumann|Barcelona, Catalonia, Spain|2 weeks ago| |Hybrid|Full-time|Entry level|11-50 employees|Consumer Services|"
          At Gauss & Neumann, we are looking for PhDs, MSc and BS mathematics, physics and engineering to work with us in our office in Andorra. We do Search Engine Marketing (SEM) worldwide and work for international clients. We love and breath technology and everyone at the company has a tech background.We believe that advertising on search engines (SEM) should provide perfect answers to the users. Gauss & Neumann creates data structures and technologies that help our clients deliver a perfect response to queries and provide value to search engine customers like Google or Bing.  What we look for:Professionals with a PhD, MSc or bachelor degree in Mathematics, Physics, Computer Science, Software Engineering, or other engineering disciplines. We search for natural problem solvers with initiative that push the needle always a bit further and have the self-discipline to get things done. We look for people that have fun at work and create a great atmosphere with their teammates. We value personal attitude at the very top.  Responsibilities:Design SEM keyword structures for international clientsCreate predictive algorithms for bidding in real timeCreate scripts for optimizing keyword structuresCreate technologies that disrupt the SEM industryData research and visualizationManage campaign daily operations with large clients mainly in the United States. 
What you need to haveBachelor, MSc or PhD level degree in Mathematics, Physics, Computer Science or Software Engineering or similar engineering degree.Programming skills ( Python, SQL, PHP, R…). Statistics knowledge
Other skills we valueEnglish fluency (written and verbal)Project management experienceNatural ability to deal with ratios and numbersBeing up to date with programming librariesWillingness to learn and go beyond what's necessary. 
Contract DetailsContract: Full timeSalary: based upon value and experience providedPrivate insurance
LocationOur new office is right in the heart of the capital of Andorra, in the main shopping area in the center, with stunning views of the mountains and in a natural environment.Ideal for those who love outdoors and work surrounded by nature.
    "|https://www.linkedin.com/jobs/view/3155817551|2022-07-24 04:15:50.007419
7|Spain|data scientist|Data Scientist|GDS MODELLICA, S.L.|Madrid, Community of Madrid, Spain|1 day ago|30 applicants|On-site|Full-time|Entry level|51-200 employees|Consumer Services|"
          GDS Modellica, S.L. (GDS) is a leading provider of technology and service solutions to the financial industry, with market-leading clients across numerous financial verticals. GDS' software provides power and flexibility to rapidly implement and automate comprehensive credit risk strategies, decisioning and processes in the context of virtually any lending and account management platform. In addition to a dynamic workflow interface that helps streamline manual review and exception processing, GDS offers analytical credit modeling solutions, and adds tremendous value by seamlessly incorporating a multitude of third-party data sources throughout the decisioning process including risk assessment, fraud prevention and mitigation, credit bureau data, income and employment verification, etc. The GDS group has five international offices including the United States, United Kingdom, Spain and the Philippines. For more information, please visit http://www.gdslink.com.
We are looking for candidates with a technological or scientific background who want to develop their career in the Data Science world. They will join our corporate Advanced Analytics team in Madrid to participate in the definition and development of innovative decision solutions to our global client base. They will build solutions in the financial realm to predict client behavior, to detect financial fraud, to monitor model performance, among other targets. You should be a proactive individual with sound programming and statistical modeling basis, willing to constantly adapt to an evolving environment and continuously learn new technologies.
Requirements
Required skills
• Master's degree in Statistics, Mathematics, Physics, Economics or Engineering PhD preferred• Strong analytical and problem-solving capacity• Strong Programming skills Python, experience with the data mining and machine learning libraries with a minimum of 3 years’ experience. • Knowledge of SQL
Highly valued skills / experience
• Experience in Financial industry is a plus.• Knowledge of cloud solutions (Amazon Web Services)• Knowledge of NoSQL solutions (MongoDB, Cassandra, HBase)• Knowledge of graph-based solutions (Neo4j)• Knowledge of Big data technologies as Hadoop, MapReduce, Hive, Spark, Impala…• Knowledge of visualization tools (R Shiny, Dash)
What we can offer • Full-time permanent position among the GDS Link Advanced Analytics team• Vibrant and dynamic work environment in a very international group with projects all over the world• Competitive salary• By joining the Advanced Analytics, you will be able to grow your skills and learn from passionate people
***THIS POSITION IS LOCATED IN Madrid, Spain. CANDIDATE MUST BE AUTHORIZED TO WORK IN SPAIN.
    "|https://www.linkedin.com/jobs/view/3180512717|2022-07-24 04:16:01.414524
8|Spain|data scientist|Health Insights Data Scientist / Analytic Programmer, Real World Evidence|IQVIA|Madrid, Community of Madrid, Spain|8 hours ago|1 applicant| |Full-time|Entry level|10,001+ employees|Hospitals and Health Care|"
          Health Insights Data Scientist / Analytic Programmer, RWE Agile Analytics 

Location: EMEA

Home/Office based

Join us on our exciting journey! 

The vision of our Real World Evidence teams is to pioneer and lead with scientific and technical expertise, the generation and dissemination of high-quality Real World Evidence that make a true difference to patient lives, globally. We have unique opportunities to define the way our clients develop and apply Real World Evidence for healthcare decision making, so we are looking for the best talent to join us in this effort.

Job Overview

IQVIA Real World Evidence Agile Analytics is hiring for a Health Insights Data Scientist / Analytic Programmer position. The team is looking for someone who takes initiative, thrives in a fast-paced data-driven environment, and wants to utilize their knowledge of data science and data warehousing as it relates to observational research studies utilizing a variety of primary and secondary data sources.

As a member of the Agile Analytics team, you are a contributing member of a small multi-disciplinary scientific team focused on understanding client needs, expectations, and producing accurate data-driven results that impact real-time decision-making. You will lead and participate in data curation and development of analytic datasets using complex and fit-for-purpose data sources, mapping of new data sources, identifying proper linkages between data sources, and driving data quality requirements and implementation. You will also have the opportunity to conduct ad hoc analytics, communicate analytic results to a variety of audiences and contribute to scientific presentations. Research topics may include safety surveillance and monitoring, program evaluation, protocol evolution, injury prediction and prevention, and drug/device intervention effectiveness.

Key Responsibilities: 
Performs exploratory analysis of new data sources to assess data quality, feasibility of use for research, and applicability based on project research needs.Cleans and integrates data from a variety of primary and secondary sources, including electric health records, diagnostic results, genomics, registry, and survey data.Leads the creation of fit-for-purpose analytic datasets through both automated and supervised data curation processes, driven by internal and external requirements gathering.Leads and may oversee comprehensive data management tasks, data quality control processes, and data cleaning to support scientific-focused project and task needs.Manages and participates in cross-functional communications with various internal and external technology partners and subject matter experts (clinicians, epidemiologists, regulatory experts, etc.), with an eye towards ensuring team needs are consistently and continually met.Works with data integration programmers and database administrators to manage their development, implementation, and maintenance of internal SQL databases and related technology platforms. As part of a larger data team, leads and oversees: requirements gathering, data mapping activities, identifying proper cross-source data linkages, data validation, and other ongoing database enhancements.Conducts ad hoc and scheduled analytics using SAS or R as part of a large analytic and cross-functional team in a fast-paced environment.Prepares reports or presentations that summarize these analyses, interprets the results, and provides conclusions and recommendations in non-technical language.Builds, manages, and oversees automated reports and data listings.Brings solution-oriented approach to project challenges and enjoys complex problems and working through unknowns.May participate in client-facing project meetings as a recognized member of the project team, and directly interfaces with the client to coordinate deliverables and develop requirements.Mentors and guides junior team members, including providing direction and oversight on data-focused and analytical tasks.Participates in the evaluation and integration of potential new analytic technologies and applications.Develops data visualizations and/or analytic insights.
Our ideal candidate will have: 
Bachelor's Degree with 6-8 years relevant experience.Master's Degree in Computer Science, Applied Mathematics, Operations Research, Information Systems, Statistics, Data Science, or related field, with 3-5 years relevant experience.Strong SQL programming skills along with an understanding of database design and data collection methodology, including the underlying relational and dimensional data models.Working knowledge of general-purpose programming applications (Python, Perl, Ruby, C++, Java, etc.); familiarity with an object-oriented programming language is a plus.Use technology in various settings (i.e., tech savvy), have experience performing data management, curation, and analytics utilizing real-world data, and have a solid understanding of data warehousing in a healthcare setting.Basic familiarity with SAS required (including Base SAS, SAS/STAT, SAS/GRAPH, SAS/ACCESS, Enterprise Guide), moderate to advanced knowledge is a plus; additionally, knowledge of R is a plus. Proficient in Microsoft Excel (including PivotTables), Word, PowerPoint, and related skills.Familiarity with basic statistical analysis techniques (e.g., regression/modelling, hypothesis testing, categorical data analysis) and data visualization is a plus.Excellent critical thinking and analytical skills, strong attention to detail, and ability to effectively prioritize and manage multiple tasks.Ability to work independently and as a contributing team member.
IQVIA is a leading global provider of advanced analytics, technology solutions and clinical research services to the life sciences industry. We believe in pushing the boundaries of human science and data science to make the biggest impact possible – to help our customers create a healthier world. Learn more at https://jobs.iqvia.com


    "|https://www.linkedin.com/jobs/view/3185753085|2022-07-24 04:16:10.636739
9|Spain|data scientist|Data Scientist|Conexus|Barcelona, Catalonia, Spain|5 days ago| |Hybrid|Contract|Mid-Senior level|11-50 employees|Staffing and Recruiting|"
          Conexus are currently working with a large Spanish Pharmaceuticals company, who are looking for a data scientist to join there team on an initial 6 Month contract. 
ResponsibilitiesAnalyse raw data: assessing quality, cleansing, structuring for downstream processingDesign accurate and scalable prediction algorithmsCollaborate with engineering team to bring analytical prototypes to productionGenerate actionable insights for business improvements
QualificationsBachelor's degree or equivalent experience in relevant field (Statistics, Mathematics, Computer Science, Engineering, etc.)At least 1 - 2 years' of experience in quantitative analytics or data modellingDeep understanding of predictive modelling, machine-learning, clustering and classification techniques, and algorithmsFluency in a programming language (R, Python, SQL)Familiarity with Big Data frameworks and visualization tools (Power BI, Spark, Tableau)
If this position is of interest of you or anyone within your network. Apply or send an updated CV to jamie.hine@conexusdx.com
    "|https://www.linkedin.com/jobs/view/3169457919|2022-07-24 04:16:37.616923
10|Spain|data scientist|EUIPO - Data Scientist H/M|Inetum|Alicante, Valencian Community, Spain|17 hours ago|1 applicant|On-site|Full-time|Entry level|10,001+ employees|IT Services and IT Consulting|"
          Mission

Responsible for the design and implementation of solutions based on new technologies and platforms for complex business problems. Experience and knowledge in the industrialization, installation and deployment of Data Science systems (such as Machine Learning models, Natural Language Processing systems or Chatbots).Provision of advice and assistance in any area associated with the procurement, provision, delivery, maintenance, deployment, hosting, effective use of information systems and their environments Provision of security technical consultancy, security assessments or other security matters associated with information system projects. Technical risk analysis. Provision of technical consultancy, technical expertise, technical evaluations in relation with information systems.

Perfil

Minimum 10 years of relevant technical consultancy and experience in last 15 yearsGood knowledge of information systems. Proven knowledge in IT consulting. Strong capacity in preparing and writing technical consultancy. Proficient communication skills in a multilingual environment. Capable of working in an international/ multicultural environment.Proven ability to speak, write and read fluently in English (C1)DURACIÓN - 5 MESES - RENOVABLE

Organización

Somos un grupo internacional de consultoría digital ágil. En la era de la post transformación digital, nos esforzamos por permitir que cada uno de nuestros 27 000 profesionales se renueve continuamente viviendo de manera positiva su propio flow digital.

Cada uno de ellos puede moldear su trayectoria profesional de acuerdo con sus preferencias, emprender de forma práctica para construir junto a sus clientes un mundo más positivo, innovar localmente en 26 países y armonizar su carrera profesional con su bienestar personal.

Únete a Inetum. Live your positive digital flow
    "|https://www.linkedin.com/jobs/view/3185197916|2022-07-24 04:17:03.372716
11|Spain|data scientist|Data Scientist - AI|Menhir Financial|Pozuelo de Alarcón, Community of Madrid, Spain|11 hours ago|11 applicants|On-site|Full-time|Entry level|1-10 employees|Software Development|"
          Menhir Financial is an early-stage startup aiming to radically transform how Distressed Portfolios are analyzed. We bring Quantitative Investing to this complex asset class.

We are building the next generation of Distressed Investing technology by combining machine learning models that already manage +800M€ worth of loans, a carefully crafted WebApp and the power of network.

We are a bootstrapped business working with Top Tier financial institutions. Working with us will give you an incredible exposure to the top executives of the financial world (Banks, Investment Funds, Asset Managers, ...)

We are looking for a Data Scientist who is proficient in AI development, testing and deployment. As an early technical hire in this exciting venture, you'll design, implement, review and deliver the artificial intelligence algorithms that power or asset management.

You'll solve hard problems and have deep impact on the end-product. Expect to work in a fast-paced environment, with amazing engineers who believe in our mission. We're looking for passionate engineers who love building and learning.

Tasks

🚀 The job:
You'll be developing and deploying new AI algorithms. These algorithms will be used to analyse portfolios, predict behavioral outcomes, and understand the financial markets for our customers to have a seamless portfolio management experience. All covered by tests. Untested code is broken code..We like to put models into competition to assess which are best, and most important, why.We make technical decisions as a team. You'll get to make critical decisions on how we evolve our platform and stack.We know for a fact that talent attracts talent. We'd love for you to help bring on board the people you've most enjoyed working with.
Requirements

🧠 The Requirements:
+1 year of experience in a challenging Data Scientist role.Engineering or Mathematics background, and being obsessed with performing at your peak.You are proficient in Python and the state of the art frameworks and algorithms for AI model development.English is a must.
We will value:
You are acquainted with Google Cloud Platform.You are familiar with financial platforms and investing jargon (ROI stands for Return On Investment)You understand CI/CD, build and deployment tools (e.g. Jenkins, Github Actions) and monitoring systems.Experience with Docker or containers in general.You've worked in fast-paced startup environments.
Benefits

📊 Benefits:
Above market pay.Partially remote: we are flexible, so if you are in Madrid you can work from our office, but we don't mind if you need days of full focus working remotely.Flexible hours and unlimited vacation (given common sense is used).Stock options.
We solve complex problems, apply and we'll email you a challenge you can prepare for the interview!
    "|https://www.linkedin.com/jobs/view/3185216544|2022-07-24 04:17:28.914434
12|Spain|data scientist|Data Scientist Python R|Client Server|Madrid, Community of Madrid, Spain|1 week ago|71 applicants| |Full-time|Mid-Senior level|51-200 employees|IT Services and IT Consulting|"
          Data Scientist (Python R Mathematics) *Remote*. Are you a talented Data Scientist looking for an opportunity to work on hugely complex pricing systems within a fully remote role?

You could be joining a successful car insurance company that puts technology and engineering at the core of everything they do. The company's platform is highly complex as it processes millions of data points to rapdily provide a comprehensive and accurate insurance quote.

As a Data Scientist, you will be joining the company's Pricing team where you will design and build the proprietary predictive technology in areas such as, prediction of future claims, renewal probability, price demand, and portfolio value optimisation. You will seek to implement new technologies to solve complex problems that arise and will be encouraged to achieve team goals in an innovative way, suggesting new ideas to generate value for the company.

The company is based in Madrid however, you can work remotely from anywhere within Madrid, the Netherlands, Amsterdam, or the UK.

Requirements:
You have experience within Data Scientist and have a good understanding of key data analysis librairesYou have very good Python and R programming skillsYou have experience working on pricing systems previouslyYou are degree educated in a STEM subject such as Statistics, Mathematics, or PhysicsYou have strong problem solving and analytical skillsYou are fluent in English and ideally Spanish (although this is not essential)You have excellent communication and collaboration skills

As a Data Scientist you can expect to earn a competitive salary (up to €70k) plus benefits.

Apply today or call to have a confidential discussion about this Data Scientist (Python R) role.
    "|https://www.linkedin.com/jobs/view/3167598199|2022-07-24 04:17:47.251526
13|Spain|data scientist|Senior Data Scientist - Banking and Finance|Quotacom|Madrid, Community of Madrid, Spain|2 months ago|116 applicants|Hybrid|Full-time|Mid-Senior level|11-50 employees|Staffing and Recruiting|"
          Quotacom are proud to be partnered with a Globally leading and forward-thinking Digital & Data transformation consulting organisation. Our client is renowned for developing and deploying innovative and scalable products and solutions that solve their clients complex organisational and business challenges, utilising the latest technologies and data models
As part of their continued growth, alongside increased client demand, particularly within their Finance & Banking unit, they are seeking an experienced Data Scientist, with expertise across the Finance and Banking domain to join their team. 
Their impressive Finance & Banking unit, sits within their Business Analytics team. This team delivers projects and solutions end-to-end, therefore it’s important that you bring strong ability to communicate with client stakeholders to understand and identify challenges, as well as create and deploy solutions that drive value and objectives. 
This is a fantastic opportunity to join an industry leading organisation offering significant scope to continue your own personal development and learning, whilst working on cutting edge projects and technologies. 
Key Skills & Experience: Strong experience working as a Data Scientist within a production environmentExcellent communication skills and able to engage senior stakeholder groupsUnderstanding and experience working within Financial Services or Banking topics (AML / Credit Risk / Treasury / Cash Management / CIB)Experience with descriptive and exploratory analyticsStrong Python or R skillsExperience with relational databases such as SQLSkills and experience within Machine Learning and Advanced Analytics techniques
If this sounds like a great match to your experience, please apply with your CV as soon as possible to sonny@quotacom.com and we will be in contact to discuss the opportunity in more detail. At Quotacom, we take the security and privacy of your personal data very seriously, any data we hold will be in accordance with data protection legislation. Full details of our privacy notice can be found at www.quotacom.com/privacy-notice/
    "|https://www.linkedin.com/jobs/view/3063134658|2022-07-24 04:18:00.449875
