id|country|searchterm|job_title|company|job_location|time|applicants|workplace|working_time|job_level|company_size|industry|job_details|job_url|timestamp
2|United Kingdom|data scientist|Data Scientist - Digital Products|RemoteWorker UK|London, England, United Kingdom|15 hours ago|4 applicants| |Full-time|Entry level|1-10 employees|Staffing and Recruiting|"
          Digital Product AnalystInside IR356 months initiallyFully RemoteA Multinational Insurance Company is looking for an experienced Digital Product Analyst to join its team!This is a Data Analysis role where you will be working closely with the Product Manager and Engineering Department to create and standardise product data processes; define, assist and police best practices. You will be responsible for the following:Define key product metrics and track KPIs to analyse what really mattersMine data for insights, test and validate hypotheses about customer behaviour and demonstrating how product enhancements delight our customersWork closely with product and engineering to make sure we collect the right data to produce relevant business insightsStandardise our product data processes; define, assist and police best practicesHelp us understand our users behaviour and identify levers to help move key metricsHelp us measure and drive adoption and engagement of the product, down to individual features and feature updatesCreate effective data visualisations to communicate insights to management, the product teams and customers.Raise the bar for data analytics in Product by providing craft guidance, championing best practices and ensuring the correct tools are availableTo do so, you will need to demonstrate the following qualifications:3-5 years' experience in product data analytics within an agile environment, playing a key role in data gathering, data analysis and helping the team make data based decisionsExperience working on Digital Products in any industry is mandatory (full products or any user-side features like logins etc..)Self-starter, with demonstrated success in using analytics to drive the understanding, growth, and success of a productExperience working for a SaaS solutions providerExperience in a fast-paced, product-led organisationStrong hands-on experience with SQLExperience with data visualisation toolsExperience with business intelligence and BI toolsExperience with AB testingExceptional communication skills to help deliver insights to diverse stakeholdersIf this sounds like a role for you, please let us know!
    "|https://www.linkedin.com/jobs/view/3184898909|2022-07-23 23:14:29.976828
3|United Kingdom|data scientist|Data Scientist / Senior Data Scientist|StackAdapt|United Kingdom|1 day ago|25 applicants|Remote|Full-time|Associate|501-1,000 employees|Internet Publishing|"
          StackAdapt is the no. 1 performing programmatic advertising platform helping brands accelerate customer engagement and acquisition. This state-of-the-art platform is where some of the most progressive work in machine learning meets cutting-edge user experience.

Ranking the highest in performance by G2 Crowd for the fourth time, we're one of the fastest growing companies in Canada and ranks 6th in Deloitte's Technology Fast 50 ranking and 23rd in Fast 500 in North America.

We are searching for a talented Data Scientist to join our engineering team as we continue to expand our data science efforts. Our platform is connected to thousands of publishers and advertisers worldwide and as a result, we're dealing with millions of requests each second, making billions of decisions. We utilize the latest technologies to solve challenges in traffic, data storage, machine learning, and scalability.

Want to learn more about our Data Science Team: https://alldus.com/ie/blog/podcasts/aiinaction-ned-dimitrov-stackadapt/

Learn more about our engineering culture here: https://www.youtube.com/watch?v=LXM2NrkhKZc

Watch our talk at Amazon Tech Talks: https://www.youtube.com/watch?v=lRqu-a4gPuU

StackAdapt is a Remote First company, and we are open to candidates in various of our operating locations throughout the globe!

What you'll be doing:
Develop models and algorithms to maximize ROI and advertising performanceImplement machine learning models in production, sometimes with the assistance of Data EngineersImplement a data analysis framework to analyze and test models effectivelyGenerate insights on user behaviour and implement necessary solutionsBe able to test results using historical data and optimize efficiently in production

We'll be reaching out to candidates who:
Have a Masters degree or PhD in Computer Science, Statistics, Operations Research, or a related field, with dual degrees preferred.Have relevant experience as a Data ScientistHave the ability to take an ambiguously defined task, and break it down into an insightful analysisAre proficient with relevant data science tools such as Spark, Python (scipy, sk-learn) etc.Have a comprehensive understanding Bayesian modeling, machine learning techniques, and optimizationHave the ability to innovate custom algorithmic solutions to machine learning problemsHave worked with large datasetsUnderstand multivariate regression, and classificationBackground in advertising technology or a related field is a plus

StackAdapters enjoy:
Competitive salary3 weeks PTO, 3 personal days, birthdays off and 1 volunteer dayMedical, Dental, Vision and Life benefits + 401K MatchingWork from home reimbursementsCoverage and support of personal development initiatives (conferences, courses, etc)An awesome parental leave policyA weekly $15 lunch credit via RitualA friendly, welcoming, and supportive cultureOur social and team events (virtually!)

StackAdapt is a diverse and inclusive team of collaborative, hardworking individuals trying to make a dent in the universe. No matter who you are, where you are from, who you love, follow in faith, disability (or superpower) status, ethnicity, or the gender you identify with (if you’re comfortable, let us know your pronouns), you are welcome at StackAdapt. If you have any requests or requirements to support you throughout any part of the interview process, please let our Talent team know.

About StackAdapt

StackAdapt is a self-serve programmatic advertising platform used by the most exceptional digital marketers. This state-of-the-art platform is where some of the most progressive work in machine learning meets cutting-edge user experience. Ad buyers plan, execute, and manage data-driven digital advertising campaigns across all devices, inventory, and publisher partners. StackAdapt is a Top 100 Software Product on G2, being the only DSP on the Best Software Products and Highest Satisfaction lists.

We've been recognized for our high performing campaign conversion rates, award-winning customer service, and innovation by numerous industry publications including:

#1 DSP on G2 and leader in the Video and Cross-Channel Advertising Categories

Top 5 on Ad Age's 2022 Best Places to Work

Great Place to Work® named StackAdapt as one of Canada’s Best Workplaces for Start-ups in 2021

A Top Growing Company in Canada based on the Globe and Mail's 2020 Business Report

Named a Technology Fast 50™ Program Winner for 2021


    "|https://www.linkedin.com/jobs/view/3184388630|2022-07-23 23:15:19.425871
4|United Kingdom|data scientist|Senior Data Scientist|The Institute of Clever Stuff|London, England, United Kingdom|1 day ago|16 applicants|Hybrid|Contract|Mid-Senior level|11-50 employees|Executive Offices|"
          At the ICS, we are driven to make a difference, solve complex problems, drive change and innovate using data science. We see the world through the simple lens of Future Takers and Future Makers. Future Takers have a ‘we don’t need to change’ mindset. Future Makers are the holy grail of leaders; they are bold and create a vision for the future.
We help organisations leap ahead in analytics by combining a diverse network of highly experienced senior leaders, entrepreneurs, data scientists and designers while utilising state of the art tools and innovative methods.
Are you a Senior Data Scientist looking to be part of an extensive network? Do you want to do so with a team that love to supporting one another and are excited to leave a legacy of positive impact – commercially, operationally and ethically? 
We are currently looking for a Senior Data Scientist to join our extended network. The role is a blend of hands-on and hands-off skills and the successful candidate will have experience in the following:
Experience of shaping, scoping and delivering single customer view programmesProcessing, cleaning, and verifying the integrity of input dataUndertaking ad-hoc data analysis and to present insights in a clear and concise mannerPresenting insights to senior client stakeholders in a compelling wayCollaborating with a team of Data Scientists, Data Engineers, Software Developers, Designers and internal Subject Matter ExpertsUsing Python, SQL and any major cloud provider (preferably Azure)With Python: Data science libraries, for example numpy, scipy, pandas and scikit-learnWith Python: Data visualisation libraries, for example such as matplotlib, seaborn and plotlyUsing Git/GitHub
Experience in any of the following will also be beneficial:Working with loyalty programmes, retail data and completing basket analysisSKU-level forecastingWorking on CRM programmes
Location and flexibilityAs the world settles into new working patterns post-Covid, we will need to maintain flexibility in how we work. For an organisation like the ICS, this will require us to work in a way that responds to the needs of our client. At this time this role will be remote working.
Our commitment to equity, diversity and inclusionThe Institute of Clever Stuff is committed to creating a diverse and inclusive environment. All qualified applicants will receive consideration for employment without regard to race, colour, religion, gender, gender identity or expression, sexual orientation, national origin, genetics, disability, age, or veteran status. We want our commitment to embracing diversity and fostering an inclusive environment to stand us apart – being a place where colleagues feel comfortable to bring their whole selves to work.
If reading any part of this advert excites you, get in touch with us for an initial conversation.
    "|https://www.linkedin.com/jobs/view/3176732440|2022-07-23 23:15:32.874375
5|United Kingdom|data scientist|E Retail Data Scientist- £70k + 30%|Brewster Partners|London, England, United Kingdom|1 week ago|98 applicants|Hybrid|£65,000/yr - £70,000/yr|Full-time · Associate|11-50 employees|Staffing and Recruiting|"
          Our client is a global name on the high street is looking to grow their Data team. This role will be pivotal in building the data & insight, planning and reporting of the D2C channels (physical and online). This role will also require descriptive, diagnostic, predictive and prescriptive analytical approaches. Providing not only KPI performance reporting but deep consumer insights, that help us identify lost revenue opportunities and transform these lost opportunities into actionable insights that drive business and customer value. This role will join the data-centric Direct to Consumer team in the Area supporting markets such as France, Sweden, UK, and Denmark. ROLE This role will be pivotal in building the data & insight, planning and reporting of the D2C channels (physical and online). This role will also require descriptive, diagnostic, predictive and prescriptive analytical approaches. Providing not only KPI performance reporting but deep consumer insights, that help us identify lost revenue opportunities and transform these lost opportunities into actionable insights that drive business and customer value.This role will join the data-centric Direct to Consumer team in the Area supporting markets such as France, Sweden, UK, and Denmark.   THE ROLE We are looking for a numerate, logical individual who is curious about customer data and passionate about creating actionable insights. (Diagnostic, Predictive & Prescriptive Analytics, which includes data modelling).  As a Consumer insight Analyst, you will utilise CRM & sales data & consumer feedback and behavioural website data to develop customer insights that inform the development and targeting of our personalised marketing communications. Your role will involve analysing data from multiple sources to identify audiences for our marketing campaigns, building customer/ campaign segments and working closely with stakeholders to help them understand the drivers behind campaign selections and performance. (E.g Through using some data science tools like Dataiku to automate model outputs and create bespoke segments like likelihood to churn) 
You will also be translating your findings effectively and presenting them to our business partners, providing insight that helps shape future strategies to improve what we do and drive commercial value.  REQUIREMENTS:Able to clearly identify and articulate key insights and recommendations.Strong analytical and problem-solving skills with the ability to collect, organize, analyse, and disseminate significant amounts of information with attention to detail and accuracyA passion for working with an array of digital data sources, a desire to deliver insight from it and to bring it to life for those with less technical knowledge.The ability to thrive in an entrepreneurial and fast-paced environment.Excellent communication skills to drive daily contact with business stakeholdersAt least a 2:1 degree from a top tier university or equivalent (e.g., data science or, data engineering or Maths/ Statistics, Physics)The ability to translate business questions or challenges into analytical problems and use available data and tools to develop a scalable solution.Experience with analysing customer data, related to eBusiness / online shopping / e-retail.Experience in analysing data sets through SQL or similar toolsExperience in revenue attribution modelling, statistical modelling & CRM KPI revenue reporting.Strong verbal and written communication skills - you will be presenting complex results to less technical audiences, using data visualisation skills to make complex ideas easier to digestAbility to translate business questions or challenges into analytical problems and use available data and tools to develop a scalable solution.Strong attention to detail, with the drive, to proactively investigate potential data challenges.Ability to organise and prioritise own workload, often balancing multiple projects simultaneously.Experience in collaborating with others to achieve shared team goals.An excellent understanding of commercial drivers, data management & advanced analytics tools such as Micro Strategy, Dataiku, and Power BI.Demonstrable record of delivering results in a commercial environment.Expertise in working with digital analytics & big data.Proficiency in coding languages i.e., SQL.
DESIRABLEProficiency in coding languages such as R, Python etc.Experience with data visualisation tools such as PowerBI, DataikuExperience in targeting, optimisation, or measurement of marketing activity, using Adobe Target or similar.Experience using a relational databaseDemonstrable record of delivering results in a commercial environment.Expertise in working with large structured and unstructured data setsProficiency in a coding language such as SQL, R, Python etc.Experience with data management in a range of CRM systems SFMC, SFSC.
    "|https://www.linkedin.com/jobs/view/3164413116|2022-07-23 23:15:47.239658
6|United Kingdom|data scientist|Senior Data Scientist|easyJet|Luton, England, United Kingdom|1 day ago|19 applicants|Hybrid|Full-time|Mid-Senior level|10,001+ employees|Airlines and Aviation|"
          We have disrupted the way people travel since we started 25 years ago, and we don’t intend on stopping. We have recently faced the biggest challenge in our history, but we took the right action and emerged from the pandemic stronger and better – and now we want you to play a part in our continued growth and #belongherewithus.
In 2019 we launched our brand new easyJet holidays business, combining handpicked hotels and best-in-class technology with easyJet’s flexible flights to provide hassle-free personalised holiday experiences under a trusted brand. We’ve built a successful business that is agile, innovative, energetic and continues to disrupt the holidays market, and this year we’ve been named as one of the Top 20 Best Workplaces in Travel.
We’re an ambitious bunch and have big plans but we’re on the lookout for additional hands. All we need are the right people. People with energy and get-up-and-go, who want to create great experiences for our customers, help us spread the word and are up for a challenge. That’s where you come in – join us as a Senior Data Scientist and help us build a world class team.
TEAMThis vacancy sits within Technology team at easyJet holidays. The role forms part of the Data Science team responsible for developing new prediction, simulation, optimisation and AI capabilities that will help transform easyJet into the world’s most data driven airline. The team is made up of a very diverse group of Data Scientists working collaboratively to develop bespoke solutions to complex, yet interesting business problems.
The Data Science team is an integral part of the wider Data team, which also includes Data Analytics and Data Management teams, and is closely integrated with the IT team, especially in areas of Demand Management, Data Engineering and Service Delivery. The team works closely with a growing number of internal stakeholders across easyJet on multiple transformation projects. The team also works in partnership with a select few external stakeholders who augment our capabilities such as Algorithm support.
This role reports into the Head of Data Science.
JOB PURPOSE> Delivering Data Science projects with minimal support from senior team members providing decision recommendations that fulfil business requirements and enhance existing and new business processes> Participating in the majority of the Data Science Project Lifecycle> Management Track; line managing junior team members with support from senior team members> Specialist Track; developing a sufficiently broad area of specialism (e.g. a Technical area such as Optimisation, or a Business area such as Revenue Management), and becoming a valued and trusted expert within the Data Science team
JOB ACCOUNTABILITIES> Contribute to the majority of the Data Science Project Lifecycle from idea to live> Compile, integrate, and analyse data from multiple sources to answer business questions> Build, validate and manage intermediate prediction, simulation, optimisation and reinforcement learning models and algorithms> Analyse results and make recommendations to improve customer experience and business performance> Work with senior team members to define and use the key performance indicators (KPIs) and diagnostics to measure performance against business goals> Understand and monitor data quality to improve confidence in the data used for analysis> Contribute to hiring Data Scientists for your team
Management Track:> Management responsibilities for direct reports, including defining clear objectives for individuals and personal development plans
Specialist Track:> Using knowledge of a sufficiently broad area of specialism (e.g. a Technical area such as Optimisation, or a Business area such as Revenue Management), to act as a valued and trusted expert within the Data Science team> Coach and Mentor colleagues within the Data Science team to help them develop technical excellence, including delivering training sessions for the Data Science team in your specialist area
Requirements of the Role
> Proven commercial experience as a Data Scientist> A good knowledge level of the Data Science Toolbox (i.e. the fundamentals of Mathematics and Statistics, computer programming, Data Ingestion, Data Munging, Data visualisation, Machine Learning, Optimisation, Simulation, Reinforcement Learning and Big Data techniques and technologies)> Analytical thought process and ability to process complex information> Experience of setting up and configuring Data Science technology environments> Experience using Big Data and Cloud environments and the common Data Science toolset> A degree or MSc in a scientific/engineering field (Statistics, Maths, Computer Science, Engineering, Physical Sciences) or equivalent commercial experience> Are familiar following Agile methodologies and the hypothesis-driven approach
Please click on the apply button to complete your application. Occasionally we receive a large volume of applications for our roles and when that happens we sometimes bring the closing date forward, so please apply promptly to avoid disappointment.
At easyJet, we see people first and foremost for their performance and potential. We are committed to building a diverse and inclusive organisation that supports the needs of all. As such we will make reasonable adjustments at interview through to employment for our candidates and strongly encourage applications from a diverse candidate pool. We are open to discussions around flexibility and flexible working and we operate a hybrid work structure.
    "|https://www.linkedin.com/jobs/view/3180505166|2022-07-23 23:16:04.873029
7|United Kingdom|data scientist|Data Scientist - Fintech/eCommerce/Credit Risk Background Essential|Orbition|United Kingdom|4 days ago|103 applicants|Remote|Full-time|Mid-Senior level|1-10 employees|Business Consulting and Services|"
          Data Scientist - Fully Remote - Rapidly Scaling Tech Start Up 
I'm working with an exciting but stable tech start up who are truly making a name for themselves in the B2B eCommerce payments space, and they're looking for a solution-focused and entrepreneurial Data Scientist who can support them through building machine learning models that will optimise their risk strategy.
There are many reasons why this is a superb opportunity: - You'll be an integral part of this company's growth trajectory, it's your opportunity to grow, build and nurture something- It's fully remote, but you'll have the opportunity to get together with the team once a quarter - potential in a great European location- However, this business has secured some fantastic funding and is economy-proof- The data science and engineering team are one and the same - they work collaboratively together - This role offers you the opportunity to create ML models - it's not just about data collection and cleaning - it's a true scientist role
If you're interested in learning more, please send your CV for review and we'll be in touch to schedule a call!
    "|https://www.linkedin.com/jobs/view/3177996755|2022-07-23 23:16:18.104242
8|United Kingdom|data scientist|Data Scientist|ICAEW|Milton Keynes, England, United Kingdom|4 days ago|17 applicants|Hybrid|Full-time|Mid-Senior level|501-1,000 employees|Accounting|"
          Data Scientist

Milton Keynes

Permanent

Full Time

Hybrid Working Available - 2 days office, 3 days home

£56,100pa

 

Join our team

 

Do you lead your field in data insight and can provide rich and compelling data which enables change? If so read on!

 

Purpose

 

We are looking to hire a data scientist who can lead the development of our data insight function. This will be with the view to supporting member growth and the firms we regulate. The current structure of data insight is at a foundational level so you will be responsible for leading the standards on how we manage, cleanse, abstract and aggregate data to centralise analytics to users within the business. With the insight provided, you will play a key role in building the reputation of the data team across the organisation and make data-based recommendations about how we achieve our strategic objectives.

 

Requirements

 

You will already be a Data Scientist with strong technical knowledge including developing and establishing data insight within a business and the challenges which may occur. You will have good interpersonal skills and be used to working with local and remote stakeholders at all levels. You will have the ability to work collaboratively in a fast paced environment with both technical and non technical audiences.

 

Technically, you will have experience of integrations and data management and have an excellent understanding of quantitative and qualitative methods and analysis techniques. You will be well-versed in analytics tools like Snowflake and have experience of business reporting tools like JET and Cognos. You will have used a full range of analytical techniques such as data mining, time series forecasting and modelling. You will also be fully conversant with either R or Python.

 

Why work at ICAEW?

As well as offering employee benefits, we truly believe in creating a diverse and empowering culture where our teams can thrive and be themselves. We support sustainability, corporate and social responsibility campaigns and encourage our employees to take a day to work for a cause of their choice, or to work collaboratively as a team in doing this. We nominate and support two charities every year and run all manner of events to raise money. Our active social committees provide fun events ranging from the seasonal parties, to quiz nights and bowling tournaments. We are a disability confident employer.


    "|https://www.linkedin.com/jobs/view/3171232527|2022-07-23 23:16:29.093064
9|United Kingdom|data scientist|Data Scientist (R&D)|Harnham|London, England, United Kingdom|3 weeks ago|2 applicants|On-site|Full-time|Entry level|201-500 employees|Staffing and Recruiting|"
          Central London

£75,000

Harnham is working exclusively with the R&D unit of a leading retail brand who are looking to add a Senior Data Scientist to its team.

This Includes

The team has been running for over 3 years and has brought huge success to several areas of the company.
 supply chain optimisation warehouse/store optimisation product recommendation customer behaviour
Everything this team does involves how the use of machine learning and sophisticated algorithms can be used to benefit the business.

Vital for this role is to be able to apply complex machine learning knowledge to real-world challenges faced by the business.

This is the perfect opportunity for someone who is a problem-solver at heart.

The Role - Data Scientist

You Will Be
Working alongside a team of R&D Data Scientists (several come from academic backgrounds)Designing experiments for multiple optimisation projects across the businessLeveraging complex machine learning algorithms to make sense of huge data setsTranslating business challenges and converting them into clear and concise projects
Experience - Data Scientist
M.Sc. or Ph.D. in: Statistics, Applied Mathematics, Computer Science, Engineering, etc.Experience using Python is a must (tools like AWS and Spark are beneficial)Strong knowledge of statistical/machine learning models applied to real-world problemsA keen interest in problem-solving
Benefits

As a Senior Data Scientist, you could earn up to £75,000 + benefits package

How To Apply

Please register your interest by sending your CV via the Apply link on this page. For further details or to enquire about other roles, please contact Kayla Kirby at Harnham.

KEYWORDS

Python, SQL, Spark, AWS, Kafka, machine learning, analytics, insight, Data Science, Data Scientist, Retail
    "|https://www.linkedin.com/jobs/view/3181644407|2022-07-23 23:16:47.315841
10|United Kingdom|data scientist|Data Scientist|Harnham|London, England, United Kingdom|1 day ago|28 applicants|Hybrid|£55,000/yr|Full-time · Mid-Senior level|201-500 employees|Staffing and Recruiting|"
          Data ScientistLondon (Hybrid)Competitive Salary  
OVERVIEWHarnham is working with one of the UK's biggest retailers. The company is going through a huge transition and is looking to take on the best Data Scientists to help see them through!  
THE ROLEIn this role you will be:Working closely with a team of Data Scientists to drive businessUsing data to understand and investigate things such as customer experience, changes in revenue, and customer interactionsIdentifying business challenges and opportunities, and taking a commercial approach when providing effective strategies and solutionsBuilding customer predictive models and recommendation systems to assist with business sales  
SKILLS AND EXPERIENCEYou will need:MSc or PhD. in a relevant subject e.g., Statistics.Tech: SQL, R, Python, and TableauStrong experience in a commercial roleExcellent communication skills, ability to present to non-technical audiences  
SALARY AND BENEFITSCompetitive SalaryHybrid WorkingAmazing benefits package
  HOW TO APPLYTo be considered for this opportunity, please submit your details using the Apply button on this page. Or for more information regarding other roles please contact Kayla Kirby at Harnham. 
 KEYWORDSdata scientist, retail, customer, prediction, recommendation, python, tableau, SQL, pricing, optimisation, data science
    "|https://www.linkedin.com/jobs/view/3180507245|2022-07-23 23:17:03.654413
11|United Kingdom|data scientist|Data Scientist II, Analytics|Egencia|London, England, United Kingdom|16 hours ago|9 applicants| |Full-time|Entry level|1,001-5,000 employees|Travel Arrangements|"
          Why Join Egencia?

Connections matter when it comes to business, and those connections start with our inclusive team of travel enthusiasts and technologists.

Our customers love working with us because we know satisfied customers start with a knowledgeable and enthusiastic team to support them. So, we are committed to creating an inclusive work environment with a diverse workforce. We make sure every voice is heard. We trust each other to get great work and we encourage everyone to speak up, speak out, and be themselves.

Position Overview:

Egencia Analytics team is seeking a talented candidate for the role of Data Scientist/ Sr Business Analyst. We are looking for intelligent, results-oriented, passionate self-starters to join our team. Using advance analytical techniques, the role will support the Egencia Commercial teams through critical projects and influence decisions based on data and analyses to help achieve internal partners’ objectives.

You will have the opportunity to work on a broad spectrum of areas such as Marketing operations, Supplier analytics etc.

This position will be highly rewarding and lots of fun. Training and development opportunities will abound in this position, and impactful individuals will find a long-term career path within the company. This role represents an exciting opportunity to join Egencia, an American Express Global Business Travel company.

Responsibilities:
Passionate about story-telling and bringing data to life by partnering with key stakeholders and lead strategic and quantitative analysis to support and enable the continued growth critical to Egencia. You will help design and build models to prioritize and classify critical touch points along the client journey in order to improve internal guidance and prioritization. Influence partners and senior leaders by communicating across various levels of the organization in a clear and compelling way. Maintain, consolidate, and enrich current reports/dashboards to visualize data analysis and insights. Support ongoing needs for analytical/ operational reporting, and day-to-day needs that impact our partner teams. Support data migrations, updating links, and ratifying and consolidating existing reports Identify, prioritize, and drive operational improvements. 

Competencies and Experience:
Relevant Bachelors or Masters degree in any of the following fields: computer science, statistics, mathematics, physical sciences with strong understating of data analytics. Proven experience with marketing technologies, such as Salesforce, Marketo, JIRA or similar technologies is a plus. The applicant should have at least 5 years of work experience in a relevant business environment. Proficiency in SQL (to feel comfortable manipulating data, creating scripts that combine different data sources and interpret results) and Python/R. Strong experience using Tableau to pull data from diverse sources, develop and publish automated reports and dashboards Passion for solving problems and finding patterns and insights within structured and unstructured data Able to perform in a fast-paced environment and be comfortable with ambiguity. A sharp focus on results and solid attention to detail. Excellent verbal, written and data presentation skills. Deep understanding of data and reporting requirements, with the ability to collaborate on analytics models, reporting tools, and return on investment analysis 

Relocation (Y/N): N

Location

United States - New York - New York Head Quarters

It is our policy to provide equal employment opportunities to all individuals based on job-related qualifications and ability to perform a job, without regard to age, gender, gender identity, sexual orientation, race, color, religion, creed, national origin, disability, genetic information, veteran status, citizenship or marital status, and to maintain a non-discriminatory environment free from intimidation, harassment or bias based upon these grounds.

GBT Recruitment Privacy Statement
    "|https://www.linkedin.com/jobs/view/3173412187|2022-07-23 23:17:14.910493
